7DC8FD8D	7D79D26E 801C69C4 75E23461 7D841819 7F038C5E 756AF76B 81C8C3E5 76327E06 5AACBDB2 078F6EDA 7DEA890A 80EC73B5 6884A7C2 7925D9BC 84CEE644 6F2418DF 76F3BCFF 5E3E8A4D 791244BF 588A7651 76A1EC3B 7D69F367 772AA85A 811F1A86 7F19CA9E 5ED92832 7AB04155 019B13AB 78137420 7CF79669 7CF7DE44 08B9F7EC 6250D408 7F12CD21 7CC4EA72 7D125E86 7E271537 7CF12231 83400A62 769B08F7 8559BB4F 7D575229 80C26DA6 5BE479E8 801685B5 779463B5 75FF11D6 762ABE7E 7D13CE4D 7F6F97EF
7CFE1F79	740222C5 81726C06 79A66323 04B14B94 5C59FEED 812A5476 8037ED87 810A973D 6D703302 5D5D7D1F 7E8728D7 0190C4B3 80DB8F7E 7D64839E
7F4377DF	7ED2629A 7D870D93 7E3BE29D 7B26E4E4 81BCA1C2 7F66C647 7F3F2820 75B44174
7AD244B1	7A8ABF7F 78ED30B2 7BAA3C92 7EBAEA4C 75139870 7DFFC035 7E1ADC5A 7542DBCF 80CBA308
7E212FB9	80D5388A 04AE04B5 7A0BE7EA 7FF6CB4F 0BDEDEF9 79A642A1 80B756DF 7F23E8F1 815151A4 7C642026 800519B8 7BCBA772 7E2DC1A3 7911100E 85C9DE94 7E43DCEF 7B441544 7B70CC57 7D27B3EB 77370DC0
7EEB83D6	810EEDE0 7EE9C476 79FA1CB5 7C4A8F6B 76B843CA 0B01A23A 7FC713C6 7DAC07DD 752393E3 77887CCE 7EF57D33 75D00FC8 141F3839 78C80A8A 862A2359 79399E5B
81DBD8F3	7CB193B5 6521D6B9 68472993 7ACD60FE 7E34BBCB 83532FFC 75EBBAA8 468AE9CE 8624EBED 7A99C66D 817878B3 06F444EE 7D11EB80 7E52BA9B 80D5BF86 794BD551 78439623
77E6FF43	7F954C78 7F9E5F42 770D3D48 816E50A9 77776035 79FCE79B 7DEEB900 7D86F2FD 80C5937B 7EDF598C 759D9EAD 76A14F71 7A303BD1 8119C3F1 7EA0C748 80B7ECB1 7D3050E2 7A9E02C2 7E2BD3FC 5C64C541 5CAFB049
810AFA28	762883FD 7A5D2A4B 7F2EDD0B 7F9C141C 76F6A597 7A4AA629 80373DBF 7B3AC484 77B3A150 7D950285 598CDC40 6FB36419 7F9EA92F 8124F4EF 801988D7 7E0662E6 7FF481C9 5CF7E540 6F54BEFF 7776BADA 7E7504CB 5BB789F4 7D855F4B 5F18F498 7EF4551B 7F6B7C20 5FCE9CED
81452371	7DA3638D 77B687EA 7DCAF8A4 5F415BCA 7D2C4698 8209CC81 7FDD87F7 7AB9E5D3 5832949C 800B5D28 7FC8C528 7FE86DC9 7CE8884A 7DF589F2
7D7FF5CF	7B3AC6A2 777C7E47 7607F150 812A8D2E 7EEC41E7 7C8D3ACD 7BA242C5 6BD1990B 7BE38235 7ED9286B 6D6EAE96 7DAE317F 02154DE6
75A4FFCC	80C4C968 79A9DE41 7F6E6102 75516D11 8010EE03 774E6693 813F0A9B 00F46A6F 77886C96 77966DDB 7E61AFA2 05120663 78BF6237 76F71321 7CBCBF07 773E59A5 7A063652 79DCF2DD 79CB25EB 7FC67622 76EE8C6E 76190FC2 80E18B5E
7DDB5A3C	7CC07684 7D562159
7B9BA2F3	7ED7FFA0 7C10DEBF 7D8DA9FF 7FC45158 7C1CCDC8 803B9448 79135A91 799079A8 7AED8208 7B6CB9BF 5F2BF881 7B2E49EF 80A09833 80B87D29 7C61EFA4 85C9DE94 78746F7D 75222B21 771D210A 592FFFD5 7F79CFAF 7A151173 7F23E8F1 808FD230
7E9EA860	7F4285A7 75EF8EA5 811EE89D 7663D8DB 78C9FF5C 74A567C2 7E11A9EC 78C522CE 78D1669E 7653C765
7BAC1EC8	7D1FEBF4 80254113
7DFBCEB2	5EC8CE67 7FAD26CD 58DD342D 7F42456A 7AD6F4FE 77A2A60F 7DEF36AA 7A1666F1 7ED25C40 80C6F155 75DB91D8 7705E4EE 7DDFE0C6 7E7D79EA 790C88A3 7E8C7882 7B3BF01A 7A8F7B04 75B3F08A 5A3C5A75 7ED73591 7FD3930D 7C487300 7EC6FF74 784917B3 007A61E6 5F5ACFF7 77F891CE
812433AC	0B35846F 7A39AD70 7761916A 7B5B0440 6D54F313 7BE94B28 7C2A8514 598A4A59 7D4B0F77 77690365 68B5AA90 07BBD168 08A2310F 7958B610 5B6C6B75 789DA406 7D60EF79 7A7C3ACC 754EE063 80DDEA92
8137CF38	773B89F1 6DD1EC74 760E2F84 7F721DDF 77F264CB 80769809 7EA51E03 5DA98957 0051B6B4 7B03EE6D 78B506DB 7E3D205C 81699AD6 7F7F512C 7A2BDBF6 7F52B706 7C572AA1 7DE26D94 7A1B09A4 7E206152 7798C2AC 77E3BCE7
8102654E	7EA1D803 794A2B37 804A1171 7EF4F5C3
7DB00962	7A36B3DE 5D1DB08B 7DDC6DEF 78ED6394 5C5B1890 7D45E02E 8041DD38 81D24302 80E47728 0AE95DCA 654370D6
791CEE63	809F8CD3 813E230C 7DD9D4D6 773E4550 7FBE0023 7D68CE11 8091A563 7B2E3147 800FDA7F
7C02F4EE	778C9AB0 7771C8E4 5F56A7F0 765100F8 757131DC 7CA0762B 7E163F59 78F9AE93 066601A5 0A5D0DE5 7FF50D08 7CF0C44F 810D61DE 75A4F77C 7704589C 7C395D05 7D2E4ABF 7EA9FE34 7F22C203 800985E1 799D8003 7F8A3005 7C7C8713 7AC376D6 766EE671 7A01B258 7C273E05 7E2D359B 811F1A86 789FFDF9 030166FF 769B08F7 80DB12A6 5A6108E2 80C26DA6 805EFFD4 7D820266
7DD73515	8148D27C 7FD676F5 7795240A 8100A103 7F320DDC 76F44F74 5C7A4FAA 7630BE35 7F70E674 7FD999C1 77111684 80530CCD 7E2FA6EF 794D939E 7F6A3B2F 7F94D71A 7EB0645F 80B756DF 81052849 7FCCBDB5 7C6BD451 7F415696 7E799FAF 7FCF005C 76BAA0EF 7E3E8138 7F7B3134 7FC21399 80259E79
7EC47371	04D29E2F 7826783E 64532EB3 80A60A5C 5C8A08AA
801EDC1C	80668E40 80B756DF 7D1F553F 7FF6CB4F 5E424ED9
7DB07C68	08A39133 046D8EE3 031E3C0D 7A263043 06495C4A
81638F79	771272B2 7C337FA6 7FAFC7B4
81300B34	760C70D1 7999FFB6 7F1EF167 7F6CF161 7DAD59AD 7AFCF8BB 7D6701D2 1454D1B1 80CD1564 5A0AD893 794774F2 7FF0D2DB 7A2A38BA
