Id,Label,indegree,outdegree,Degree,closnesscentrality,betweenesscentrality,Authority,Hub,eigencentrality
0,7F1A1204,0,1,1,0.352941,0,0,0,0
1,77D18CE3,0,1,1,1,0,0,0,0
2,7672BD29,3,0,3,0,0,0,0,0.010942
3,5D73BE80,0,3,3,0.8,0,0,0.001455,0
4,7D5C8426,1,0,1,0,0,0,0,0.003647
5,765F7541,3,3,6,0.666667,12,0.000356,0.072664,0.010942
6,7F20F477,0,3,3,0.555556,0,0,0.003631,0
7,7EB72EEB,0,1,1,1,0,0,0,0
8,7658BE17,2,1,3,1,6,0,0,0.028963
9,80543536,1,0,1,0,0,0,0,0.003647
10,7E9A9E02,0,1,1,1,0,0,0,0
11,7EB693D9,1,0,1,0,0,0,0,0.003647
12,7DA7F0D3,0,1,1,1,0,0,0,0
13,80659B31,0,1,1,1,0,0,0,0
14,77D2EF8A,0,2,2,1,0,0,0,0
15,7DE1C03F,0,1,1,1,0,0,0,0
16,80220D15,2,4,6,0.833333,10,0,0,0.007295
17,7E18AE27,0,1,1,1,0,0,0,0
18,81125569,0,3,3,1,0,0,0,0
19,7E5F683C,2,0,2,0,0,0,0,0.007295
20,7E24E343,0,1,1,0.666667,0,0,0,0
21,8126EB32,5,3,8,0.473684,34.166667,0.010716,0.002433,0.056448
22,7F20C5DB,2,0,2,0,0,0.037308,0,0.077368
23,78FC75A6,0,6,6,1,0,0,0.000056,0
24,5CB09E70,0,2,2,0.363636,0,0,0,0
25,7F3FD626,0,2,2,1,0,0,0,0
26,5974FE6A,3,0,3,0,0,0.000001,0,0.016498
27,80703000,0,1,1,1,0,0,0,0
28,7D255104,1,1,2,1,1,0,0,0.003647
29,8082ADB4,1,0,1,0,0,0,0,0.003647
30,7FA618A6,1,0,1,0,0,0.000078,0,0.006425
31,798822D5,1,0,1,0,0,0,0,0.003647
32,81703B53,0,1,1,1,0,0,0,0
33,7EA9699B,0,3,3,0.578947,0,0,0,0
34,80C886EE,0,1,1,1,0,0,0,0
35,73C632B0,1,0,1,0,0,0,0,0.003647
36,7F88D262,1,0,1,0,0,0,0,0.003647
37,80183E34,0,4,4,1,0,0,0,0
38,76E3A0F5,1,0,1,0,0,0,0,0.003647
39,7FFE48FC,0,2,2,0.545455,0,0,0.000133,0
40,7F19ABC0,0,1,1,0.352941,0,0,0,0
41,7CF051F8,0,2,2,0.666667,0,0,0.000924,0
42,808B1DF5,0,2,2,1,0,0,0,0
43,7E46D2A2,5,7,12,0.576923,59.333333,0,0,0.029349
44,7DFD5EC7,0,1,1,1,0,0,0,0
45,76F85060,1,0,1,0,0,0,0,0.003647
46,7699C0D6,1,0,1,0,0,0,0,0.003647
47,804A4A23,0,1,1,1,0,0,0,0
48,7F860ACB,0,1,1,1,0,0,0,0
49,7AD74B2C,1,0,1,0,0,0,0,0.006425
50,7CFAD85B,1,0,1,0,0,0.000039,0,0.006425
51,80EA7AE7,2,0,2,0,0,0,0,0.018762
52,7EDB62AB,0,1,1,1,0,0,0,0
53,842D0A45,0,3,3,0.8,0,0,0,0
54,7DF6E6B1,0,1,1,1,0,0,0,0
55,7D5E1D94,1,0,1,0,0,0,0,0.003647
56,773F1E71,0,1,1,0.6,0,0,0,0
57,8105192F,2,0,2,0,0,0,0,0.015629
58,76312D87,0,2,2,0.5,0,0,0,0
59,735D723A,4,0,4,0,0,0,0,0.022923
60,79D5A9B6,0,1,1,1,0,0,0,0
61,80B15C82,1,0,1,0,0,0,0,0.007728
62,7CF3A009,0,1,1,1,0,0,0,0
63,7EED6CAF,1,0,1,0,0,0,0,0.003647
64,7D9BDD0D,3,1,4,0.6,8,0,0,0.010942
65,7BF3DAF2,0,2,2,1,0,0,0,0
66,810D4D59,0,1,1,0.277778,0,0,0,0
67,7F99C6CA,1,6,7,0.52,14,0.028295,0.194975,0.073721
68,7EEDA05D,1,0,1,0,0,0,0,0.003647
69,7F21F234,1,0,1,0,0,0,0,0.003647
70,80AD29C3,3,2,5,1,6,0,0,0.01372
71,5E5536BF,1,0,1,0,0,0,0,0.006425
72,78554133,1,0,1,0,0,0,0,0.003647
73,7E9583C6,2,2,4,1,1,0,0,0.007295
74,79AA435B,1,0,1,0,0,0,0,0.011981
75,813A9991,0,1,1,1,0,0,0,0
76,73D5E309,1,0,1,0,0,0,0,0.003647
77,7B783913,3,0,3,0,0,0,0,0.016498
78,7EAE00EB,1,0,1,0,0,0,0,0.003647
79,7D8AEF45,4,2,6,1,8.7,0.008292,0.05111,0.017367
80,80807BCB,1,0,1,0,0,0,0,0.003647
81,7629F160,0,2,2,1,0,0,0,0
82,8373042D,0,3,3,0.583333,0,0,0,0
83,7FB21CBB,1,0,1,0,0,0,0,0.003647
84,7F428A61,1,0,1,0,0,0,0,0.003647
85,80E18AA5,3,3,6,1,2,0,0,0.01372
86,7B1D3F19,2,0,2,0,0,0.000233,0,0.015984
87,79B32703,0,1,1,1,0,0,0,0
88,7DFE12F8,1,0,1,0,0,0,0,0.003647
89,7D2E244C,4,1,5,1,8.5,0.001226,0.000087,0.065918
90,7D6596FA,2,0,2,0,0,0.000771,0,0.049245
91,7EF155D8,0,25,25,0.54902,0,0,0.000001,0
92,7E9AC0E0,1,0,1,0,0,0,0,0.003647
93,7515C4D9,1,2,3,1,2,0,0.000159,0.003647
94,7CF09AC8,0,2,2,0.571429,0,0,0.000022,0
95,751E2A49,1,0,1,0,0,0,0,0.011981
96,80D75B61,1,1,2,1,1,0,0,0.003647
97,806AD5CC,0,1,1,0.320755,0,0,0,0
98,7C306A5F,0,3,3,1,0,0,0,0
99,800A8249,2,2,4,0.75,4.833333,0,0,0.007295
100,7A042E53,1,0,1,0,0,0,0,0.003647
101,5D39BD45,1,0,1,0,0,0,0,0.016848
102,79B27DB8,2,0,2,0,0,0,0,0.010073
103,7E5EC9D8,0,1,1,1,0,0,0,0
104,7D9C5A05,0,1,1,1,0,0,0,0
105,78D9B413,1,0,1,0,0,0.011054,0,0.003647
106,7ED9E5C1,1,1,2,1,0,0,0,0.006425
107,7D84050A,0,2,2,1,0,0,0.00302,0
108,7CCD27CD,0,1,1,1,0,0,0,0
109,7F163C22,1,0,1,0,0,0,0,0.003647
110,8014EA84,0,1,1,0.466667,0,0,0.000016,0
111,7F7688E1,1,0,1,0,0,0.000268,0,0.030827
112,7E45F15F,0,1,1,1,0,0,0,0
113,7C385AF5,1,0,1,0,0,0,0,0.003647
114,7E3CF831,1,1,2,1,1,0,0,0.003647
115,7F32B95A,2,0,2,0,0,0,0,0.007295
116,7F5993D3,0,4,4,0.833333,0,0,0,0
117,7F25CEF5,0,1,1,1,0,0,0,0
118,813FFC20,0,2,2,0.264463,0,0,0.000013,0
119,5DF87F99,0,1,1,1,0,0,0,0
120,772E759D,0,1,1,1,0,0,0,0
121,79E4CEB9,0,1,1,1,0,0,0,0
122,5A4BA049,1,0,1,0,0,0,0,0.013026
123,75FA2C48,0,1,1,0.6,0,0,0,0
124,80433969,0,1,1,1,0,0,0,0
125,7D5A83FF,2,0,2,0,0,0,0,0.010073
126,7EE97B88,1,0,1,0,0,0,0,0.006425
127,7E0909FB,1,0,1,0,0,0,0,0.003647
128,80D7F092,2,0,2,0,0,0,0,0.007295
129,802F5CCF,0,1,1,1,0,0,0,0
130,7D3E2A82,0,3,3,0.8,0,0,0.000001,0
131,5DFAEE26,3,0,3,0,0,0,0,0.019631
132,7F49AA36,0,1,1,0.363636,0,0,0,0
133,7786EDB4,0,2,2,1,0,0,0,0
134,7F9A5602,1,0,1,0,0,0,0,0.003647
135,7E6B3D43,2,4,6,0.413043,32.333333,0.011205,0.035082,0.007295
136,7F4325B1,0,1,1,1,0,0,0,0
137,803933EB,0,1,1,1,0,0,0,0
138,7F3754A1,1,0,1,0,0,0,0,0.003647
139,7DC14320,1,0,1,0,0,0,0,0.003647
140,7E99AABF,3,4,7,0.465116,75.7,0.088518,0.13502,0.080664
141,7B205A19,3,0,3,0,0,0,0,0.01372
142,781B5C10,2,0,2,0,0,0,0,0.010073
143,64BCB478,2,0,2,0,0,0,0,0.010073
144,7F4654CA,1,1,2,1,2,0,0,0.006425
145,7E904677,0,1,1,1,0,0,0,0
146,7DB8DCCC,0,5,5,1,0,0,0,0
147,7D79B7C9,3,0,3,0,0,0,0,0.010942
148,7F79D34C,7,3,10,0.8,41.5,0,0,0.038732
149,8609F3D0,1,0,1,0,0,0,0,0.003647
150,7CA45007,2,0,2,0,0,0,0,0.010073
151,761B5EE9,0,1,1,1,0,0,0,0
152,7B25FFF8,0,1,1,1,0,0,0.002337,0
153,7D7C8361,0,1,1,1,0,0,0.002155,0
154,7D61B357,1,0,1,0,0,0,0,0.003647
155,7AA97908,1,0,1,0,0,0,0,0.003647
156,7D79A073,1,0,1,0,0,0,0,0.003647
