Id,Label,indegree,outdegree,Degree,closnesscentrality,betweenesscentrality,Authority,Hub,eigencentrality
0,7F25CCB0,0,4,4,0.2849,0,0,0.009566,0
1,81039622,0,2,2,0.390805,0,0,0.001319,0
2,7C69316C,0,2,2,0.390805,0,0,0.001313,0
3,5BB9D88B,0,3,3,0.391667,0,0,0.004728,0
4,5F503C8C,1,1,2,0.470588,2.156746,0.000545,0.021803,0.00124
5,7B6F2F61,1,0,1,0,0,0.002361,0,0.001461
6,7EDB7F54,1,3,4,0.4,20,0,0.001408,0.00124
7,756D741C,0,1,1,0.315068,0,0,0.000025,0
8,7CD9CA8B,0,3,3,0.298893,0,0,0.000047,0
9,082D3158,0,5,5,0.401163,0,0,0.001828,0
10,76D96F0A,0,1,1,0.307692,0,0,0.001484,0
11,78B8944B,0,3,3,0.371429,0,0,0.000325,0
12,7BBDDA34,0,2,2,0.392157,0,0,0.000114,0
13,805251B3,0,1,1,0.6,0,0,0.011673,0
14,6B897324,1,2,3,0.370242,4,0.000004,0.000077,0.001461
15,779160B0,0,2,2,0.351351,0,0,0.000112,0
16,8063E9D6,0,2,2,0.312236,0,0,0.000001,0
17,7C9B79D4,0,2,2,0.391813,0,0,0.001625,0
18,5CD4BE1A,0,1,1,0.302632,0,0,0,0
19,7A009AAF,0,2,2,0.485714,0,0,0.022426,0
20,8008EDA9,1,5,6,0.43125,46,0.000032,0.003418,0.00124
21,6B589238,1,0,1,0,0,0.000009,0,0.00124
22,623CB31B,8,0,8,0,0,0.004771,0,0.010361
23,5B7C16A3,0,1,1,0.279661,0,0,0.00003,0
24,78F37D12,0,6,6,0.410112,0,0,0.002849,0
25,7E3212FE,0,1,1,0.444444,0,0,0.000002,0
26,7F1E9260,0,8,8,0.427673,0,0,0.005484,0
27,7CECA034,0,3,3,0.548387,0,0,0.050602,0
28,7BC43D20,1,1,2,0.292308,1.2,0.000191,0.001,0.00124
29,7DC78E3F,1,0,1,0,0,0.000835,0,0.00124
30,5D2BF039,0,1,1,0.375,0,0,0.00018,0
31,814AC548,1,2,3,0.416667,1,0.000056,0.001404,0.00124
32,753D4638,78,3,81,0.454545,398.506978,0.007768,0.002935,0.172456
33,5F36E076,0,3,3,0.4,0,0,0.001703,0
34,6C51CD7A,0,7,7,0.331633,0,0,0.039614,0
35,80AE316D,1,4,5,0.300578,52,0,0.033712,0.00124
36,7D7EADC8,1,2,3,0.533333,10.033333,0.000396,0.048475,0.001461
37,80B86DA9,2,3,5,0.548387,15,0.00226,0.050247,0.002701
38,816B2372,0,3,3,0.4375,0,0,0.005799,0
39,01692016,0,6,6,0.442308,0,0,0.036291,0
40,7D73E77F,1,3,4,0.333333,40.033333,0,0.000146,0.00124
41,80C92EEF,0,8,8,0.512821,0,0,0.003213,0
42,76DCC349,0,1,1,0.387283,0,0,0.001311,0
43,7D1CDB65,1,0,1,0,0,0,0,0.00124
44,7654E100,0,2,2,0.416667,0,0,0.002658,0
45,7BE0E8BE,1,4,5,0.319797,13.5,0.000246,0.027902,0.00124
46,8146E280,0,1,1,0.321429,0,0,0.00814,0
47,7C3736F2,1,0,1,0,0,0.001974,0,0.00124
48,7595C0D7,1,0,1,0,0,0,0,0.00124
49,5EB0DC9C,0,2,2,0.533333,0,0,0.048475,0
50,7BE0E960,4,2,6,0.314286,27.366667,0.006361,0.002501,0.004959
51,75C6AE07,1,0,1,0,0,0.000009,0,0.00124
52,76A2168D,49,52,101,0.574586,4318.439409,0.00189,0.00653,0.062783
53,0A379844,1,0,1,0,0,0.000013,0,0.00124
54,7E6E2523,0,1,1,0.5,0,0,0.001268,0
55,80674BFB,0,2,2,0.228571,0,0,0.000002,0
56,7A43A5FC,0,1,1,1,0,0,0.000004,0
57,019A2CC0,9,0,9,0,0,0.01402,0,0.013046
58,7D04C0EA,0,3,3,0.347826,0,0,0.001286,0
59,7E95CD7F,1,0,1,0,0,0,0,0.00124
60,764EFF1E,0,2,2,0.397661,0,0,0.001977,0
61,755C2BDB,4,9,13,0.402367,102.047172,0.005611,0.041655,0.006749
62,809E2EA5,0,5,5,0.419162,0,0,0.001598,0
63,7F23679D,9,0,9,0,0,0.001001,0,0.015417
64,796CB3E9,0,2,2,0.6,0,0,0.029377,0
65,7D0C49B6,0,2,2,0.390805,0,0,0.001333,0
66,8058F725,0,2,2,0.35,0,0,0.000219,0
