Id,Label,indegree,outdegree,Degree,closnesscentrality,betweenesscentrality,Authority,Hub,eigencentrality
0,7D85D00B,0,1,1,1,0,0,0,0
1,7A6F6CCC,1,0,1,0,0,0.00006,0,0.013758
2,7DD5B89F,0,3,3,0.355556,0,0,0.001219,0
3,7537A223,0,2,2,1,0,0,0,0
4,7DD2A050,0,4,4,0.344828,0,0,0.006627,0
5,77C7B5E8,0,1,1,1,0,0,0.003126,0
6,5DE2FF98,0,1,1,1,0,0,0.000945,0
7,7E56FCD5,2,2,4,0.75,4,0.000112,0.001428,0.007271
8,800E392E,3,4,7,0.833333,9,0.001636,0.000794,0.016678
9,78B7767F,0,1,1,1,0,0,0,0
10,7E2FBAAE,3,0,3,0,0,0.021035,0,0.019105
11,5E068C5F,0,1,1,1,0,0,0.00531,0
12,768C99F1,0,1,1,0.448276,0,0,0.013735,0
13,7D0172BC,0,1,1,1,0,0,0.00531,0
14,7A35FBC1,1,0,1,0,0,0.000035,0,0.003635
15,59F3B2EE,7,0,7,0,0,0.000731,0,0.129067
16,8140D5D3,1,4,5,0.357143,20,0.000398,0.008101,0.003635
17,7EDC1856,1,0,1,0,0,0,0,0.003635
18,7D453AB6,1,0,1,0,0,0.000007,0,0.005559
19,7F6C369F,0,2,2,0.666667,0,0,0.001459,0
20,761CA984,1,0,1,0,0,0,0,0.009957
21,811FC9DE,0,1,1,0.666667,0,0,0,0
22,7FD232AA,0,1,1,1,0,0,0.000028,0
23,755F61AC,1,3,4,0.30303,58,0.001316,0.00452,0.003635
24,7C3A0E28,4,0,4,0,0,0.024041,0,0.035703
25,80656E61,0,1,1,1,0,0,0.000252,0
26,80E915D0,3,0,3,0,0,0.000191,0,0.064852
27,777374F1,1,1,2,0.387755,0,0.000018,0.000075,0.003635
28,148F0660,0,1,1,0.428571,0,0,0.006056,0
29,7F5358E4,2,0,2,0,0,0.006571,0,0.009195
30,800379FB,0,1,1,0.5,0,0,0,0
31,7D9600B7,0,7,7,0.818182,0,0,0.034486,0
32,7D8D4BA3,1,2,3,1,0,0.000279,0.000049,0.007986
33,7D16C979,0,3,3,0.8,0,0,0.000662,0
34,7F5EEB8E,2,1,3,1,2,0,0.000014,0.007271
35,7FB0AC68,0,1,1,0.666667,0,0,0.000542,0
36,7D64A879,2,0,2,0,0,0.005733,0,0.013042
37,7E4483E2,1,1,2,0.666667,2,0.001467,0.0006,0.003635
38,764D36CF,0,8,8,0.684211,0,0,0.075954,0
39,02A6CAF9,1,4,5,0.75,6,0,0.000077,0.003635
40,5D606A47,0,7,7,1,0,0,0.000328,0
41,7D53BC3D,0,2,2,1,0,0,0.017402,0
42,7D2FFE45,1,0,1,0,0,0.00208,0,0.003635
43,7F15A0D2,0,1,1,1,0,0,0,0
44,76365878,1,0,1,0,0,0.000556,0,0.025479
45,06BB7685,1,0,1,0,0,0.001234,0,0.005559
46,81264627,0,4,4,0.404762,0,0,0.012733,0
47,78962548,0,1,1,0.354839,0,0,0.000252,0
48,7CEC8964,0,10,10,0.335079,0,0,0.0148,0
49,7F6AF193,0,1,1,1,0,0,0,0
50,7B186DEB,1,2,3,0.75,14.333333,0.009279,0.00125,0.023377
51,7812E916,1,1,2,1,0,0,0,0.005559
52,75FD9583,4,0,4,0,0,0.019162,0,0.039551
53,81593BED,2,1,3,0.6,3.333333,0.001778,0.006936,0.007271
54,804E5562,1,6,7,0.6,56,0.001115,0.028918,0.013345
55,7E04162B,0,7,7,0.439252,0,0,0.004709,0
56,5DB5964B,1,0,1,0,0,0,0,0.003635
57,7ED85637,0,2,2,0.444444,0,0,0.003805,0
58,7FA7A45A,5,1,6,1,1.833333,0.01601,0.067616,0.022528
59,80F9F540,1,2,3,1,2,0,0.001688,0.003635
60,77B95777,0,2,2,0.294872,0,0,0,0
61,7FC849D5,0,2,2,0.75,0,0,0.001869,0
62,7B0615FC,1,0,1,0,0,0,0,0.003635
63,8103CF9A,1,1,2,1,0,0.009279,0.000844,0.023377
64,7D62607A,3,6,9,0.424658,68,0.008039,0.089066,0.010906
65,7F1A2460,0,1,1,0.37037,0,0,0.005604,0
66,75EF892D,0,2,2,0.370968,0,0,0.001335,0
67,5AFC62A7,0,4,4,0.313043,0,0,0.007052,0
68,70D9780E,1,0,1,0,0,0,0,0.007483
69,7DF20134,0,4,4,0.5,0,0,0.006669,0
70,7BD5410F,3,2,5,0.538462,28,0.000054,0.002876,0.01283
71,78E1EDFA,0,1,1,1,0,0,0.000693,0
72,587C34AC,11,0,11,0,0,0.046285,0,0.146197
73,7E730A2D,0,4,4,0.56,0,0,0.001512,0
74,0B2C3D7C,0,4,4,0.388889,0,0,0.000953,0
75,6CFAE423,1,2,3,1,2,0,0.00139,0.003635
76,7ECB9AA4,1,1,2,0.666667,0,0.009279,0.000803,0.023377
77,8140D342,0,1,1,1,0,0,0.001382,0
78,810AF06F,0,1,1,0.666667,0,0,0.000527,0
79,7DF83938,0,2,2,0.363636,0,0,0.006003,0
80,7FD52FF8,0,1,1,0.666667,0,0,0.00145,0
81,7D3C9F90,6,3,9,1,21.083333,0.03115,0.007944,0.060559
82,805E033C,9,0,9,0,0,0.000016,0,0.049492
83,79B5AA5B,6,11,17,0.522388,291.5,0.004448,0.028845,0.028087
84,7E3CA34B,4,2,6,0.441176,90,0.000469,0.010357,0.023244
85,8024F21C,0,1,1,1,0,0,0.00531,0
86,7E774B71,1,0,1,0,0,0,0,0.045748
87,7F673A41,0,3,3,0.483871,0,0,0.030176,0
88,8099551B,0,1,1,0.6,0,0,0.006936,0
89,7C63472D,0,3,3,0.5625,0,0,0.068748,0
90,7BFA9B67,1,0,1,0,0,0.000085,0,0.003635
91,8175E641,2,0,2,0,0,0.000018,0,0.010146
92,7F649C8F,1,0,1,0,0,0.001425,0,0.014261
93,79131BE6,5,0,5,0,0,0.003416,0,0.033241
94,7EB285F6,0,1,1,1,0,0,0.000001,0
95,807A40AA,0,2,2,0.555556,0,0,0.078586,0
96,80322D31,2,0,2,0,0,0.001345,0,0.009195
97,7803BEEF,0,3,3,0.368932,0,0,0.006862,0
98,7EE30C24,0,1,1,1,0,0,0,0
99,7B88C91F,0,1,1,1,0,0,0,0
100,7987AB2E,2,6,8,0.647059,18,0.000426,0.009402,0.007271
101,7841DAF9,0,4,4,1,0,0,0.069183,0
102,7CE33DDF,5,1,6,0.306667,73.333333,0.015317,0,0.018177
103,7F26A341,2,2,4,0.307692,20,0.000639,0.005407,0.009195
104,811FA871,0,4,4,0.533333,0,0,0.010813,0
105,8179C901,2,2,4,0.75,3.083333,0.000497,0.005046,0.009195
106,7A058BC3,1,0,1,0,0,0.000325,0,0.003635
107,7F000B1F,4,1,5,1,3,0.00667,0.001384,0.018389
108,7EC5F62D,4,1,5,1,11,0.003563,0.00014,0.033453
109,7ACA3745,1,0,1,0,0,0.00466,0,0.005559
110,817697ED,1,0,1,0,0,0,0,0.003635
111,486EBECB,0,6,6,0.351955,0,0,0.000629,0
112,7F95B18D,1,4,5,0.36,9,0.000235,0.002673,0.007483
113,7BCC48BF,1,0,1,0,0,0.000399,0,0.003635
114,7CEB34A9,0,3,3,0.8,0,0,0.00001,0
115,7ED768EE,0,3,3,0.352941,0,0,0.003753,0
116,5B0321DC,1,0,1,0,0,0.000679,0,0.003635
117,8063B0B6,0,3,3,0.482759,0,0,0.020193,0
118,808BF16C,9,3,12,1,35.5,0.018549,0.010469,0.093455
119,7914B5BB,5,0,5,0,0,0.001235,0,0.020101
120,7744E45D,3,0,3,0,0,0.000327,0,0.010906
121,7FD71310,0,9,9,0.462687,0,0,0.017251,0
122,7DE61337,0,2,2,0.396552,0,0,0.005279,0
123,7F315C93,2,8,10,0.590909,26,0.000001,0.027591,0.007271
124,807A10C7,3,0,3,0,0,0.000691,0,0.014754
125,807D6861,0,4,4,1,0,0,0.000268,0
126,5E518C07,4,0,4,0,0,0.000571,0,0.016465
127,7E3C1D58,0,3,3,0.666667,0,0,0.001579,0
128,799628FA,1,0,1,0,0,0.000755,0,0.006063
129,808D0C5F,3,3,6,0.714286,14,0.001954,0.000048,0.010906
130,7E33E04B,1,1,2,0.448276,0,0.001179,0.013735,0.005559
131,7F3DA408,2,2,4,1,38,0.00171,0.001881,0.019269
132,5DBEEAA9,1,1,2,1,0,0,0,0.003635
