7E3B4287	Information not present<---Pattern Recognition and Neural Networks
756CF312	Information Processing Letters<---Constructing optimal binary decision trees is NP-complete
7663A40B	Computational Intelligence<---Instance-based prediction of real-valued attributes
07055C70	Information not present<---A Theoretical Framework for Back-Propagation
6E6A3872	Information not present<---A Further Comparison of Simplification Methods for Decision-Tree Induction
5BBCC2A5	National Conference on Artificial Intelligence<---OC1: randomized induction of oblique decision trees
5ABFD9C2	Information not present<---Inferential Theory of Learning: Developing Foundations for Multistrategy Learning
7E8D734E	IEEE Transactions on Pattern Analysis and Machine Intelligence<---Globally optimal fuzzy decision trees for classification and regression
61B1A771	Information not present<---Genetic Algorithms in Search, Optimization and Machine Learning
7C66892E	IEEE Transactions on Pattern Analysis and Machine Intelligence<---An iterative growing and pruning algorithm for classification tree design
7FAB06AB	IEEE Transactions on Fuzzy Systems<---Fuzzy membership function based neural networks with applications to the visual servoing of robot manipulators
7DD3A52B	IEEE Transactions on Pattern Analysis and Machine Intelligence<---A comparative analysis of methods for pruning decision trees
60AB48A5	Information not present<---Parallel analog neural networks for tree searching
7CF2B3D0	International Symposium on Neural Networks<---Fuzzy rule extraction from a multilayered neural network
7DC0ADEE	Neural Information Processing Systems<---The cascade-correlation learning architecture
7BB98473	IEEE Software<---Empirically guided software development using metric-based classification trees
5F587D80	Information not present<---Uci repository of machine learning databases
66F2EDF1	IEEE Transactions on Computers<---Analysis of Algorithms for the Evaluation of Monotonic Boolean Functions
76521A99	Neural Computation<---Rule-based neural networks for classification and probability estimation
7D493CE0	Information not present<---Faster learning variations on back propagation: an empirical study
592DC6ED	Synthese<---Fuzzy logic and approximate reasoning
7AA54B8F	Neural Computation<---An efficient gradient-based algorithm for on-line training of recurrent network trajectories
807834E0	Information not present<---METHODOLOGIES OF PATTERN RECOGNITION.
78FDF762	Decision Sciences<---Rule‐Based Expert Systems and Linear Models: An Empirical Comparison of Learning‐By‐Examples Methods*
7F477A20	IEEE Transactions on Computers<---Estimation of Mutual Information in Two-Class Pattern Recognition
6029EB41	International Symposium on Neural Networks<---Capabilities of three-layered perceptrons
7EAD4110	IEEE Transactions on Systems, Man, and Cybernetics<---A survey of decision tree classifier methodology
7C43B6E0	Neural Information Processing Systems<---Uci repository of machine learning databases
013CE901	Information not present<---A neural-net training program based on conjugate-gradient optimization
77FC25F8	Fuzzy Sets and Systems<---Weighted fuzzy production rules
790669E5	Contemporary Accounting Research<---An empirical investigation of some data effects on the classification accuracy of probit, ID3, and neural networks*
7DFA28C0	International Conference on Machine Learning<---An incremental method for finding multivariate splits for decision trees
75635FF5	Acta Informatica<---Algorithms for Fast Evaluation of Boolean Expressions
7D901B1F	Annals of Statistics<---A Universal Prior for Integers and Estimation by Minimum Description Length
7C04A2EC	IEEE Transactions on Pattern Analysis and Machine Intelligence<---Pattern Recognition as Conceptual Morphogenesis
79FBD356	Pattern Recognition<---Binary tree versus single level tree classification of white blood cells
7EE1701E	Communications of The ACM<---Multidimensional divide-and-conquer
774923C0	Information Sciences<---Fuzzy controls under various fuzzy reasoning methods
7783774A	International Conference of the IEEE Engineering in Medicine and Biology Society<---Sleep classification with a combination of symbolic learning and learning vector quantization
80F0B9A5	Information not present<---Conversion of decision tables into decision trees
804645A2	Neural Information Processing Systems<---Neural Net and Traditional Classifiers
80E30ADB	International Conference on Pattern Recognition<---Handwritten zip code recognition with multilayer networks
7CE78255	SIAM Journal on Computing<---Learning decision trees using the Fourier spectrum
07EF4A67	Information not present<---Machine Learning Bias, Statistical Bias, and Statistical Variance of Decision Tree Algorithms
7AF1AC8A	Journal of Systems and Software<---Evaluating techniques for generating metric-based classification trees
7B060024	Intelligence\/sigart Bulletin<---Model-directed learning of production rules
7F0BC60E	Ibm Journal of Research and Development<---Compiling optimized code from decision tables
7EE24691	IEEE Transactions on Neural Networks<---Comparison of adaptive methods for function estimation from samples
7FFB34E3	Machine Learning<---Instance-Based Learning Algorithms
7F29C11A	IEEE Transactions on Software Engineering<---Machine learning approaches to estimating software development effort
7F02C119	International Symposium on Circuits and Systems<---Layered neural net design through decision trees
7B942D7D	Machine Learning<---Knowledge Acquisition Via Incremental Conceptual Clustering
808F596B	Emerging Technologies and Factory Automation<---Batch-mode decision tree learning applied to intelligent reactive robot control
7CEF562B	International Conference on Machine Learning<---DECISION TREES AS PROBABILISTIC CLASSIFIERS
7B8672EB	Pattern Recognition<---Design of multicategory multifeature split decision trees using perceptron learning
71BE728A	Information not present<---Neuro-fuzzy systems for intelligent robot navigation and control under uncertainty
7EBDF6B6	Communications in Statistics-theory and Methods<---The table look-up rule
7E7CD842	IEEE Transactions on Information Theory<---Nearest neighbor pattern classification
7CE9DDEC	IEEE Transactions on Neural Networks<---Regression modeling in back-propagation and projection pursuit learning
5B11A733	Information not present<---11 - LEARNING FROM OBSERVATION: CONCEPTUAL CLUSTERING
7A779843	Automatica<---Modeling by shortest data description
7AB60F67	Sigplan Notices<---Optimized code generation from extended-entry decision tables
759E514A	Fuzzy Sets and Systems<---The role of fuzzy logic in the management of uncertainty in expert systems
79A536B4	Psychological Review<---The perceptron: A probabilistic model for information storage and organization in the brain
05D4F899	Information not present<---A combined non-parametric approach to feature selection and binary tree design
7BA9189A	IEEE Transactions on Fuzzy Systems<---ID3-derived fuzzy rules and optimized defuzzification for handwritten numeral recognition
7E3012D1	Annals of Mathematical Statistics<---Upper and Lower Probabilities Induced by a Multivalued Mapping
7DD29DF5	Information not present<---Blending reactivity and goal-directedness in a fuzzy controller
765A3999	IEEE Intelligent Systems<---Assessing Credit Card Applications Using Machine Learning
78D1443D	IEEE Transactions on Pattern Analysis and Machine Intelligence<---The multiscale classifier
01216F31	International Joint Conference on Artificial Intelligence<---An Appraisal of a Decision Tree Approach to Image Classification
5F333001	Information not present<---Foundations of Neural Networks, Fuzzy Systems, and Knowledge Engineering
0FF1DDBB	Information not present<---Language Acquisition and Machine Learning.
77D70AAD	IEEE Transactions on Electronic Computers<---A Theory of Adaptive Pattern Classifiers
7B5096AC	Applied Intelligence<---Iterative rule induction methods
7D0DD182	IEEE Transactions on Information Theory<---On the mean accuracy of statistical pattern recognizers
05FDFD8A	IEEE Transactions on Information Theory<---The Reduced Nearest Neighbor Rule
7D0F8347	IEEE Transactions on Software Engineering<---A pattern recognition approach for software engineering data analysis
05BFC981	International Joint Conference on Artificial Intelligence<---Learning DNF by decision trees
7807A61A	Biological Cybernetics<---A model-based monitor of human sleep stages.
780BBE95	Management Science<---A composite approach to inducing knowledge for expert systems design
7B7EF37A	Communications of The ACM<---Information theory applied to the conversion of decision tables to computer programs
7D8D5D56	ACM Computing Surveys<---A Survey of Analysis Techniques for Discrete Algorithms
76050F1B	Pattern Recognition<---A combined nonparametric approach to feature selection and binary decision tree design
588BF7E9	Information not present<---An introduction to fuzzy control
77608E86	Pattern Recognition<---A decision theoretic approach to hierarchical classifier design
7846B706	IEEE Transactions on Computers<---A Recursive Partitioning Decision Rule for Nonparametric Classification
80A686B7	World Congress on Computational Intelligence<---Structure determination in fuzzy modeling: a fuzzy CART approach
78B22755	IEEE Transactions on Pattern Analysis and Machine Intelligence<---Automated classification of nucleated blood cells using a binary tree classifier
7E33788E	International Conference on Robotics and Automation<---Self-supervised neural system for reactive navigation
7EA9C51B	Information not present<---C4.5: Programs for Machine Learning
812BBF45	International Conference on Acoustics, Speech, and Signal Processing<---Vector quantizer architectures for speech and image coding
76B5060C	International Symposium on Neural Networks<---Training of a neural network for pattern classification based on an entropy measure
5D203B0E	Information not present<---How learning can guide evolution
81623C1E	Bell System Technical Journal<---The design and analysis of pattern recognition experiments
78AFC75B	Information not present<---An expert system for decision making
5D5A7FC5	Information not present<---Cost-sensitive pruning of decision trees
7BD362C3	IEEE Transactions on Systems, Man, and Cybernetics<---Fuzzy Decision Tree Algorithms
5E848630	International Joint Conference on Artificial Intelligence<---Multi-Interval Discretization of Continuous-Valued Attributes for Classification Learning
83E45808	Information not present<---Improving the bias/variance tradeoff of decision trees - towards soft tree induction
79DF8C67	Journal of the Operational Research Society<---Rule Induction with Statistical Data|[mdash]|A Comparison with Multiple Regression
7AC6A89E	IEEE Transactions on Systems, Man, and Cybernetics<---Adaptive Pattern Recognition with Random Costs and Its Application to Decision Trees
7840ED31	IEEE Transactions on Systems, Man, and Cybernetics<---Fault Diagnosis of Digital Systems
586D37B9	Information not present<---UCI repository of machine learning databases-a machine-readable data repository
7F720552	Ibm Journal of Research and Development<---Some studies in machine learning using the game of checkers
7773C4CD	IEEE Communications Magazine<---Pattern classification using neural networks
798E45B4	Communications of The ACM<---A fast parallel algorithm for thinning digital patterns
7ADA4E85	Ibm Journal of Research and Development<---Linear Convergence of the Conjugate Gradient Method
0A917353	International Joint Conference on Artificial Intelligence<---Branch-and-Bound and Beyond
792F99F5	Robotics and Autonomous Systems<---Learning by an autonomous agent in the pushing domain
75651137	Proceedings of the National Academy of Sciences of the United States of America<---Multisurface method of pattern separation for medical diagnosis applied to breast cytology.
80D585BD	International Symposium on Neural Networks<---Comparison between entropy net and decision tree classifiers
03B8A029	IEEE Transactions on Information Theory<---Decision tree design using a probabilistic model
7AFD2BF8	Acta Informatica<---A branch-and-bound algorithm to obtain an optimal evaluation tree for monotonic Boolean functions
7B020197	Communications of The ACM<---Some comments on the use of ambiguous decision tables and their conversion to computer programs
58B4792F	Information not present<---SMART User's Guide
01914F82	Information not present<---Experience in the use of an inductive system in knowledge engineering
0B3B1079	Information not present<---Time-space tradeoffs for straight-line and branching programs
76704322	Communications of The ACM<---Conversion of decision tables to computer programs by rule mask techniques
7B48DF10	Acta Informatica<---Optimum binary search trees
73E6EAB6	Information not present<---Fuzzy modeling by induction and pruning of decision trees
7E9595B6	IEEE Transactions on Systems, Man, and Cybernetics<---A bat-like sonar system for obstacle localization
7E89467C	IEEE Computer<---Self-organization in a perceptual network
78C1DC0F	Physics Today<---Numerical recipes in C: the art of scientific computing
7BEA43F2	Mathematics of Computation<---Algorithms for minimization without derivatives
07ACA3A2	International Joint Conference on Artificial Intelligence<---Generating production rules from decision trees
7A9FE254	Robotics and Autonomous Systems<---Fuzzy logic techniques for mobile robot obstacle avoidance
7FE582F8	IEEE Transactions on Neural Networks<---Fuzzy min-max neural networks-part 1: classification
75D679B7	Neural Networks<---Analysis of hidden units in a layered network trained to classify sonar targets
7B9E5BE6	Financial Management<---Using an Expert System with Inductive Learning to Evaluate Business Loans
5F69950F	Information not present<---Data Structures and Algorithms
80604EB6	International Symposium on Neural Networks<---Backpropagation: past and future
7B9D9A4A	Sigplan Notices<---An analysis of programming via decision table compilers
76DE23A6	Decision Sciences<---PREDICTING STOCK MARKET BEHAVIOR THROUGH RULE INDUCTION: AN APPLICATION OF THE LEARNING‐FROM‐EXAMPLE APPROACH*
7A98D6F0	Evolutionary Computation<---Adding Learning to the Cellular Development of Neural Networks: Evolution and the Baldwin Effect
5C8DA199	International Conference on Machine Learning<---A Comparative Study of ID3 and Backpropagation for English Text-to-Speech Mapping
7A9FECEB	Communications of The ACM<---Extending the infomation theory approach to converting limited-entry decision tables to computer programs
7696A514	IEEE Transactions on Information Theory<---Bibliography on estimation of misclassification
7CB447E5	Neural Networks<---A neural network approach to character recognition
80A48ADE	IEEE Transactions on Systems, Man, and Cybernetics<---Neural implementation of tree classifiers
7A7E582A	Mathematics of Computation<---Tables for testing significance in a 2 x 2 contingency table
77C9B907	Machine Learning<---Machine Learning as an Experimental Science
792634B3	Communications of The ACM<---Conversion of decision tables to efficient sequential testing procedures
0A9C2FAD	Information not present<---The Group Method of Data Handling-A rival of the Method of Stochastic Approximation
81407DAD	International Symposium on Neural Networks<---Adding a conscience to competitive learning
782201F3	Neural Computation<---Self-organization as an iterative kernel smoothing process
0C2427B7	European Conference on Artificial Intelligence<---Estimating Probabilities: A Crucial Task in Machine Learning
7712C658	Communications of The ACM<---Combining decision rules in a decision table
7D05D233	IEEE Transactions on Neural Networks<---A simple procedure for pruning back-propagation trained neural networks
5CB38732	International Conference on Machine Learning<---An Empirical Comparison of Genetic and Decision-Tree Classifiers
75FE5376	Foundations of Computer Science<---Learning quickly when irrelevant attributes abound: A new linear-threshold algorithm
6450208B	IEEE Transactions on Computers<---On the Properties and Applications of Fuzzy-Valued Switching Functions
5B975253	International Conference on Machine Learning<---Improved Decision Trees: A Generalized Version of ID3
760E3217	Journal of the ACM<---Decision tree reduction
742D4F6E	Information not present<---Decision table languages and systems
7573AD15	Communications of The ACM<---Optimizing decision trees through heuristically guided search
7F151B83	Journal of Experimental Psychology: General<---Attention, similarity, and the identification-categorization relationship.
5C6DBFD8	Pacific-Asia Conference on Knowledge Discovery and Data Mining<---An Efficient Single-Scan Algorithm for Mining Essential Jumping Emerging Patterns for Classification
806D3A80	Information not present<---Learning internal representations by error propagation
5DCBD806	International Conference on Machine Learning<---Deconstructing the digit recognition problem
7DDE46F4	Neural Computation<---A penalty-function approach for pruning feedforward neural networks
6D504835	Journal of Artificial Intelligence Research<---Improved use of continuous attributes in C4.5
7B19B92F	Pattern Recognition<---Structure-driven induction of decision tree classifiers through neural learning
0B65E986	Information not present<---A machine learning algorithm (GID3*) for automated knowledge acquisition improvements and extensions
7951CAA7	IEEE Transactions on Software Engineering<---Metric Analysis and Data Validation Across Fortran Projects
78520B10	Machine Learning<---Classifier Systems and the Animat Problem
08824618	Information not present<---Machine processing of remotely sensed data
7C1EAE94	Psychological Review<---"Schema abstraction" in a multiple-trace memory model.
765607A9	IEEE Transactions on Computers<---A Prime Implicant Algorithm with Factoring
81368B69	IEEE Transactions on Neural Networks<---A machine learning method for generation of a neural network architecture: a continuous ID3 algorithm
76A1B518	International Symposium on Neural Networks<---Phoneme classification experiments using radial basis functions
77F036D1	The Computer Journal<---Function minimization by conjugate gradients
117EDCB8	International Joint Conference on Artificial Intelligence<---Noise-Tolerant Instance-Based Learning Algorithms
755B2AC7	Annals of Statistics<---Stochastic Complexity and Modeling
5D2B21A8	International Conference on Acoustics, Speech, and Signal Processing<---Variable block-size image coding
7CFA2486	American Journal of Psychology<---Fuzzy set theory and its applications
7887D583	IEEE Transactions on Pattern Analysis and Machine Intelligence<---An Automated Approach to the Design of Decision Tree Classifiers
7EE7B369	Machine Learning<---Learning Quickly When Irrelevant Attributes Abound: A New Linear-Threshold Algorithm
7CE2C706	Symposium on the Theory of Computing<---Probabilistic, nondeterministic, and alternating decision trees (Preliminary Version)
7770DE19	Communications of The ACM<---The conversion of limited-entry decision tables to optimal and near-optimal flowcharts: two new algorithms
7B6F7779	Information Processing Letters<---Occam's razor
5F45E989	Information not present<---Inductive learning of tree-based regression models
04231267	National Conference on Artificial Intelligence<---The attribute selection problem in decision tree generation
7E54A098	IEEE Transactions on Systems, Man, and Cybernetics<---Fuzzy decision trees: issues and methods
716081BA	International Symposium on Neural Networks<---Neural net pruning-why and how
771863BC	Neural Networks<---Optimization of the hidden unit function in feedforward neural networks
791B4FA3	International Conference on Software Engineering<---Calculation and use of an environment's characteristic software metric set
011DFC3F	National Conference on Artificial Intelligence<---Perceptron Trees: A Case Study In Hybrid Concept Representations
80C6BBDC	Artificial Intelligence<---HEURISTICALLY GUIDED SEARCH AND CHROMOSOME MATCHING,
7A7D19EF	Numerische Mathematik<---ON THE ASYMPTOTIC DIRECTIONS OF THE S-DIMENSIONAL OPTIMUM GRADIENT METHOD
786F18AF	Artificial Intelligence<---Maximizing the predictive value of production rules
791F32A8	Fuzzy Sets and Systems<---On the handling of fuzziness for continuous-valued attributes in decision tree generation
7B058DCD	International Journal of General Systems<---ON THE CONNECTION BETWEEN THE COMPLEXITY AND CREDIBILITY OF INFERRED MODELS
7AFA9998	Fuzzy Sets and Systems<---Automatic induction of fuzzy decision trees and its application to power system security assessment
7A71C267	Journal of the ACM<---Conversion of Limited-Entry Decision Tables to Optimal Computer Programs I: Minimum Average Processing Time
8016EDD2	IEEE Transactions on Information Theory<---Computation of channel capacity and rate-distortion functions
09A3623E	Information not present<---Dynamic Error Propagation Networks
11B109C2	Information not present<---Some Current Concepts and Problems in Pattern Classification and Feature Extraction.
780C2FED	Information Processing Letters<---Equivalence of free boolean graphs can be decided probabilistically in polynomial time
769FAA5C	Management Science<---Inducing rules for expert system development: an example using default and bankruptcy data
75D5533C	International Journal of Industrial Ergonomics<---A fuzzy rule induction method using genetic algorithm
7DF70261	Foundations of Computer Science<---The effect of number of Hamiltonian paths on the complexity of a vertex-coloring problem
5C2F040B	Information not present<---Introduction to switching and automata theory
7B87684D	Pattern Recognition<---Efficient decision tree design for discrete variable pattern recognition problems
757153C9	IEEE Transactions on Geoscience and Remote Sensing<---The decision tree classifier: Design and potential
7B6C469C	Fuzzy Sets and Systems<---Identification of fuzzy relational equations by fuzzy neural networks
6D8F20B6	Information not present<---Fuzzy modeling by ID3 algorithm and its application to prediction of heater outlet temperature
7C926030	Machine Learning<---Boolean Feature Discovery in Empirical Learning
7951F896	ACM Computing Surveys<---Translation of Decision Tables
