7E3B4287	Information not present<---Pattern Recognition and Neural Networks
7BA3EB0B	Conference on Decision and Control<---Artificial intelligence applied to on-line transient stability assessment of electric power systems
7BF96EAE	Journal of the Operational Research Society<---Expert Systems - Rule Induction with Statistical Data
5A322F50	Information not present<---Automatic Learning Techniques in Power Systems
59B3E6B2	Parallel Problem Solving from Nature<---Lamarckian Evolution, The Baldwin Effect and Function Optimization
7E79227A	International Symposium on Neural Networks<---Pipelined neural tree learning by error forward-propagation
7E921BC3	Sigmod Record<---Data mining: practical machine learning tools and techniques with Java implementations
76C9339F	Biometrika<---Principles and procedures of statistics.
7A978A45	Machine Learning<---Trading Accuracy for Simplicity in Decision Trees
5DBDA75B	Information not present<---Cognitive models from subcognitive skills
5D1C587F	International Joint Conference on Artificial Intelligence<---Duce, an oracle-based approach to constructive induction
5D7C34D8	International Conference on Data Mining<---Using emerging patterns and decision trees in rare-class classification
71C09723	Information not present<---When does overfitting decrease prediction accuracy in induced decision trees and rule sets?
0649F04B	Information not present<---Choosing the Best Pruned Decision Tree: A Matter of Bias
7D62DB74	Information not present<---Learning to solve PP-attachment ambiguities in natural language processing through neural networks
2F68D1C4	Information not present<---The decision tree approach to classification
04A80B15	Information not present<---Constructing Decision Trees in Noisy Domains
767A3275	IEEE Transactions on Information Theory<---A unified approach for encoding clean and noisy sources by means of waveform and autoregressive model vector quantization
7AEC0533	IEEE Transactions on Pattern Analysis and Machine Intelligence<---Statistical Properties of Error Estimators in Performance Assessment of Recognition Systems
7559DC82	IEEE Transactions on Computers<---Simple Binary Identification Problems
08B225C5	International Joint Conference on Artificial Intelligence<---Learning oblique decision trees
7FCADBE2	Fuzzy Sets and Systems<---Can fuzzy neural nets approximate continuous fuzzy functions?
7F29961A	ACM Computing Surveys<---Decision Trees and Diagrams
7B685E64	Machine Learning<---Learning Decision Lists
753DB472	ACM Transactions on Programming Languages and Systems<---The Activity of a Variable and Its Relation to Decision Trees
7C0BA095	Proceedings of the IEEE<---Entropy nets: from decision trees to neural networks
7FB04BF9	IEEE Transactions on Neural Networks<---Classification trees with neural network feature extraction
80680BC3	IEEE Transactions on Acoustics, Speech, and Signal Processing<---On "Soft" bit allocation
7638AAF1	Fuzzy Sets and Systems<---A simple but powerful heuristic method for generating fuzzy rules from numerical data
61368C14	Information not present<---The Power of Decision Tables
5D5A7D09	Information not present<---A Theory of Approximate Reasoning
769F1FDD	Zygon<---CURRENT DEVELOPMENTS IN ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEMS
7988B4DC	Communications of The ACM<---The synthetic approach to decision table conversion
5F3E2E96	Information not present<---On changing continuous attributes into ordered discrete attributes
5D71CC3B	Information not present<---Some Guidelines for Genetic Algorithms with Penalty Functions
7F16474F	Machine Learning<---Very Simple Classification Rules Perform Well on Most Commonly Used Datasets
763C472A	Information & Computation<---Inferring decision trees using the minimum description length principle
7EF9E334	IEEE Transactions on Information Theory<---Optimal pruning with applications to tree-structured source coding and modeling
7FBAF15C	IEEE Transactions on Power Systems<---ALFA: automated load forecasting assistant
806FCA97	IEEE Transactions on Applications and Industry<---Artificial neurogenesis: an application to autonomous robotics
7AC72565	IEEE Intelligent Systems<---Machine learning approaches to power-system security assessment
809D1AC2	IEEE Transactions on Software Engineering<---Learning from examples: generation and evaluation of decision trees for software resource analysis
5F8220F2	Information not present<---On estimating probabilities in tree pruning
7CBAABF4	International Syposium on Methodologies for Intelligent Systems<---Prime rule-based methodologies give inadequate control
5E33C7E4	International Conference on Machine Learning<---Experimental comparison of human and machine learning formalisms
78A7CC4E	IEEE Transactions on Information Theory<---Decision tree design from a communication theory standpoint
7F3CE23A	Statistics and Computing<---Learning classification trees
7B132B81	Sigmod Record<---Mining frequent patterns without candidate generation
6F46966A	Information not present<---Fuzzy Logic in Control:
