Id,Label,indegree,outdegree,Degree,closnesscentrality,betweenesscentrality,Authority,Hub,eigencentrality
0,5A1FB275,0,2,2,0.36,0,0,0.024643,0
1,7F6C724D,125,3,128,1,851.492857,0.789847,0.01739,1
2,76AEA42F,0,1,1,0.306701,0,0,0.020925,0
3,7EDA0239,1,1,2,0.416667,5,0,0.000024,0.002777
4,5A752E57,0,5,5,0.431818,0,0,0.00177,0
5,77F57823,6,0,6,0,0,0.005643,0,0.020407
6,81300982,5,7,12,0.566667,91.333333,0.000545,0.000285,0.020126
7,76BC784C,0,7,7,0.733333,0,0,0.090813,0
8,7EBAF503,1,2,3,0.256303,0.5,0.000299,0.000142,0.002777
9,80B698C6,0,3,3,0.411765,0,0,0.020003,0
10,763B9EFE,2,1,3,1,7,0.000191,0.000707,0.012846
11,5ED229FC,2,1,3,1,0,0.000079,0.000039,0.005554
12,80CFC0BC,0,1,1,0.368421,0,0,0.00017,0
13,7F38C810,0,3,3,0.454545,0,0,0.016037,0
14,7671F8FB,0,9,9,0.346939,0,0,0.060788,0
15,7DC25052,1,2,3,0.6,1.833333,0.000829,0.073704,0.002777
16,7DA83B47,0,2,2,0.75,0,0,0,0
17,81776347,6,0,6,0,0,0.006106,0,0.028533
18,75C37236,0,2,2,0.278689,0,0,0.00004,0
19,7EAFBD91,1,1,2,0.666667,0,0,0,0.002777
20,804CC9CA,0,1,1,1,0,0,0,0
21,7CA63E85,2,2,4,1,50,0.000644,0.001193,0.030931
22,8045E665,1,2,3,0.4375,46,0,0.003283,0.005673
23,7C7DF24B,1,2,3,0.30303,0.333333,0.000034,0.000714,0.002777
24,77E864FA,1,1,2,1,0,0.000001,0.000014,0.012137
25,07D6437E,0,1,1,1,0,0,0.000707,0
26,7CC20AA0,1,1,2,1,1,0,0,0.002777
27,7BCF362F,10,6,16,0.666667,366.25,0.002861,0.001377,0.075088
28,7D03A556,0,1,1,0.428571,0,0,0.010246,0
29,7DC6DF15,3,1,4,0.306701,0,0.011067,0.020925,0.014238
30,78739CC6,9,1,10,1,12,0.000124,0.000491,0.028044
31,7DB22FE1,3,0,3,0,0,0.002636,0,0.009579
32,7F709D45,5,3,8,0.222222,54.333333,0.038201,0.014943,0.023259
33,7FCDF86F,0,1,1,1,0,0,0.015956,0
34,585591F8,1,0,1,0,0,0,0,0.002777
35,7F434525,1,1,2,0.424242,0,0.00105,0.004176,0.002777
36,5E9BB9DA,6,4,10,1,74.533333,0.000067,0.000823,0.044114
37,7B562E9D,1,7,8,0.411765,27.666667,0.000922,0.021788,0.004025
38,80C84811,0,1,1,1,0,0,0,0
39,7EE5954C,1,1,2,0.306701,119,0,0.020925,0.002777
40,803D202E,0,9,9,0.64,0,0,0.000731,0
41,7FF4827C,0,2,2,0.24,0,0,0.003225,0
42,805A9A2C,0,5,5,0.330556,0,0,0.064251,0
43,49793837,0,1,1,1,0,0,0,0
44,80F0AEE0,0,1,1,0.326531,0,0,0.00029,0
45,7F47D5AF,17,6,23,0.335616,652.942437,0.097264,0.030554,0.203323
46,0E4025F5,1,0,1,0,0,0,0,0.002777
47,5FA80935,0,3,3,0.311518,0,0,0.092196,0
48,767BAC6C,1,0,1,0,0,0.00006,0,0.002777
49,7E7FFD4B,2,3,5,1,4.5,0.000019,0.000002,0.005554
50,7F41E4C7,0,1,1,1,0,0,0.01184,0
51,7E77388F,5,6,11,0.53125,82.9,0.007246,0.019647,0.015411
52,7D5D9CD3,0,2,2,0.433333,0,0,0.003161,0
53,754C096A,1,0,1,0,0,0.005473,0,0.005596
54,7DFD9A8D,1,1,2,1,1,0.000001,0.000021,0.002777
55,7EFB27D7,1,1,2,1,1,0,0.000021,0.002777
56,7BA41BB1,7,0,7,0,0,0.008564,0,0.039226
57,807F1B34,0,1,1,1,0,0,0,0
58,7F9A8948,0,2,2,0.357143,0,0,0.002828,0
59,799F491A,0,4,4,0.588235,0,0,0.003671,0
60,7FE2281C,0,1,1,1,0,0,0,0
61,80AD06E8,9,6,15,0.419753,746.816667,0.021317,0.021526,0.046908
62,77D4512C,1,0,1,0,0,0.000079,0,0.002777
63,08468AE2,0,3,3,0.666667,0,0,0.005207,0
64,7DA756A5,1,0,1,0,0,0.000296,0,0.002777
65,6C55CB6F,19,2,21,0.478261,286.582143,0.015851,0.00082,0.082197
66,76369827,12,3,15,0.261905,491.50922,0.063609,0.024263,0.261339
67,80108BDB,7,0,7,0,0,0.000172,0,0.08691
68,5B07F2AD,0,5,5,0.241379,0,0,0.013486,0
69,7ED8644F,8,5,13,0.411765,660.304762,0.005531,0.00685,0.039974
70,802C40C2,0,1,1,0.333333,0,0,0.002377,0
71,76CF0C13,0,1,1,1,0,0,0.000166,0
72,7F07B6AE,0,1,1,0.666667,0,0,0,0
73,7F2392E3,1,1,2,0.346154,1.5,0.001354,0.00745,0.002777
