7D6DFE9C	Information not present<--Multi-agent segmentation for 3D medical images
7C680F0E	Computer Vision and Image Understanding<--Topology cuts: A novel min-cut/max-flow algorithm for topology preserving segmentation in N-D images
7E12A1BA	Computer Vision and Pattern Recognition<--Semantic segmentation using regions and parts
5C3EB232	Information not present<--Parallel Algorithms for Image Enhancement and Segmentation by Region Growing with an Experimental Study (Extended Abstract)
7E907330	Information not present<--Kernel Density Estimation and Intrinsic Alignment for Knowledge-Driven Segmentation: Teaching Level Sets to Walk
75EF76FB	Proceedings of the IEEE<--Image segmentation by clustering
5A8BF9CF	International Symposium on Biomedical Imaging<--Region segmentation in histopathological breast cancer images using deep convolutional neural network
7B8D1094	Information not present<--Fast template matching with partial skipping using sub-template
7DF6E3D8	IEEE Transactions on Medical Imaging<--Unsupervised vector image segmentation by a tree structure-ICM algorithm
7D6A2FF8	Computer Vision and Image Understanding<--Interpretation of complex scenes using dynamic tree-structure Bayesian networks
7046E954	European Conference on Computer Vision<--Coupled Geodesic Active Regions for Image Segmentation: A Level Set Approach
7CA2BEFD	International Conference on Image Processing<--Joint source-channel decoding of motion-information using maximum-a-posteriori
83F0A4FA	Information not present<--Live-Wires Using Path-Graphs
7DC6766A	IEEE Transactions on Pattern Analysis and Machine Intelligence<--Contour Detection and Hierarchical Image Segmentation
7DFCBC61	Information not present<--Automatic Region of Interest Based Medical Image Segmentation using Spatial Fuzzy K Clustering Method 1
7B2EC90E	IEEE Transactions on Systems, Man, and Cybernetics<--Thresholding Using the Isodata Clustering Algorithm
763D12D3	Pattern Recognition<--Iterative methods in image analysis
7F47189C	IEEE Transactions on Medical Imaging<--An accurate and efficient Bayesian method for automatic segmentation of brain MRI
5A16827E	European Conference on Computer Vision<--Multiphase Dynamic Labeling for Variational Recognition-Driven Image Segmentation
7B97D449	Pattern Recognition<--CONSTRAINT SATISFACTION NEURAL NETWORKS FOR IMAGE SEGMENTATION
80536573	Information not present<--Multi-sensor image interpretation using laser radar and thermal images
7CF618D4	IEEE Transactions on Nuclear Science<--Medical image segmentation by a constraint satisfaction neural network
729C792D	Information not present<--Image Segmentation by Region Based and Watershed Algorithms
7AA89257	Information not present<--Hyper-cube watermarking scheme
59F2E2C1	Information not present<--Document Image Segmentation Using Recursive Top-Down Approach and Region Type Identification
7FAF78B0	Computational Intelligence and Security<--An Adaptive Multi-objective Image Watermarking Scheme for QIM Using NSGA-II
81167D77	International Journal of Computer Vision<--A Multiphase Level Set Framework for Image Segmentation Using the Mumford and Shah Model
7EB30A18	IEEE Transactions on Pattern Analysis and Machine Intelligence<--Dynamic trees for unsupervised segmentation and matching of image regions
793A15A9	Pattern Recognition<--A survey on image segmentation
7532C61B	IEEE Transactions on Circuits and Systems for Video Technology<--Segmentation Over Detection via Optimal Sparse Reconstructions
7E51F583	International Journal of Computer Vision<--Graph Cuts and Efficient N-D Image Segmentation
7FB1ABBD	IEEE Transactions on Pattern Analysis and Machine Intelligence<--Unsupervised Category Modeling, Recognition, and Segmentation in Images
7E6EDD5E	Information not present<--An integrated approach for surface finding in medical images
