Id,Label,indegree,outdegree,Degree,closnesscentrality,betweenesscentrality,Authority,Hub,eigencentrality
0,7611B5A2,1,0,1,0,0,0.000016,0,0.001961
1,8165F1C2,4,0,4,0,0,0.001514,0,0.009732
2,807A309F,3,2,5,0.75,11,0,0,0.006513
3,7C881494,0,1,1,1,0,0,0,0
4,7D5AC305,0,3,3,0.25,0,0,0.000013,0
5,7DA2ADDE,0,1,1,0.318182,0,0,0.000583,0
6,7EE315E4,3,3,6,0.392857,22.902778,0.0078,0.014636,0.00777
7,7C751DC9,1,0,1,0,0,0.002747,0,0.001961
8,5A866383,1,2,3,0.354839,11,0,0.02885,0.001961
9,6D0C5830,2,0,2,0,0,0.0082,0,0.008126
10,8127AD76,0,5,5,0.333333,0,0,0.028489,0
11,80E7CCD9,1,3,4,0.421053,14.5,0.001117,0.036312,0.001961
12,8056B29F,0,1,1,1,0,0,0,0
13,7CEA6471,0,1,1,1,0,0,0,0
14,7E112C26,1,1,2,0.308943,2.722619,0.000066,0.000758,0.001961
15,81413229,0,1,1,1,0,0,0,0
16,7B259DF1,1,0,1,0,0,0.001716,0,0.001961
17,7EAEC8A3,2,0,2,0,0,0,0,0.003923
18,811F7228,0,1,1,1,0,0,0,0
19,7E77C9A4,0,5,5,0.39,0,0,0.046491,0
20,7FF15522,5,2,7,0.365079,42.952381,0.012709,0.008078,0.011295
21,7B3CC1C9,2,0,2,0,0,0.000112,0,0.00518
22,7E985D64,1,0,1,0,0,0,0,0.001961
23,7CC35BD6,0,4,4,0.4,0,0,0.002378,0
24,7D3041B6,0,2,2,1,0,0,0,0
25,6E5D376C,1,0,1,0,0,0,0,0.001961
26,7E971542,0,1,1,1,0,0,0,0
27,7DAF600A,14,4,18,0.565217,72.25,0,0,0.035931
28,7BE75C2F,0,1,1,1,0,0,0,0
29,7F01B239,27,0,27,0,0,0.018698,0,0.119675
30,764EA4BC,1,0,1,0,0,0,0,0.00259
31,811B7058,0,3,3,0.8,0,0,0,0
32,5CFB1EF8,0,4,4,0.348148,0,0,0.050999,0
33,7E17FE5A,1,9,10,0.39899,43.4,0.002503,0.011588,0.001961
34,689FAF01,1,0,1,0,0,0.000016,0,0.001961
35,7DAACA94,0,2,2,1,0,0,0.001068,0
36,59515FFB,0,2,2,1,0,0,0.000522,0
37,7B5EE65E,0,1,1,0.470588,0,0,0.008164,0
38,7E2F5497,7,0,7,0,0,0.009637,0,0.132933
39,7F4377DF,0,2,2,0.3,0,0,0.031276,0
40,7D4D8C4C,1,0,1,0,0,0,0,0.001961
41,80DB8F7E,5,0,5,0,0,0.000929,0,0.010934
42,7ED8D4C7,0,4,4,0.368852,0,0,0.045719,0
43,7EB947BD,0,3,3,0.320755,0,0,0.003344,0
44,79EF50B4,2,0,2,0,0,0,0,0.003923
45,7A27C41D,1,0,1,0,0,0.002503,0,0.001961
46,6E40ECDD,1,0,1,0,0,0,0,0.001961
47,7D610842,0,1,1,0.264901,0,0,0.002182,0
48,79E74473,1,0,1,0,0,0.00121,0,0.001961
49,7D1BADA6,0,6,6,0.382812,0,0,0.056995,0
50,7BF9C49A,0,4,4,0.7,0,0,0.000066,0
51,80A04F9E,0,1,1,1,0,0,0,0
52,77FAE27A,1,0,1,0,0,0,0,0.001961
53,7E3AD45A,1,2,3,0.300813,1,0.000891,0.006604,0.001961
54,5EF6C854,0,6,6,0.438356,0,0,0.039391,0
55,813A9195,1,0,1,0,0,0,0,0.001961
56,7B1100A1,1,0,1,0,0,0,0,0.001961
57,7EA5C558,1,1,2,1,0,0.00001,0.000186,0.001961
58,76197CBB,2,3,5,0.333333,13.076923,0.00508,0.030311,0.006207
59,80FE817A,1,1,2,1,1,0,0,0.001961
60,591D0EDC,1,2,3,0.384615,4.722222,0.001538,0.00559,0.001961
61,800F8DF4,1,0,1,0,0,0,0,0.001961
62,5E4FF945,0,2,2,0.377778,0,0,0.011508,0
63,5B79EE44,0,1,1,1,0,0,0,0
64,7F0378CA,0,1,1,1,0,0,0,0
65,7F42CAA4,1,0,1,0,0,0,0,0.001961
66,80F2D5E3,0,1,1,1,0,0,0.000166,0
67,7F236ECF,0,1,1,0.333333,0,0,0.028766,0
68,5F6F92AC,0,1,1,0.278481,0,0,0.000683,0
69,7812615D,139,4,143,0.583333,1710.508415,0.36906,0.001611,1
70,7E25CE1C,0,1,1,1,0,0,0,0
71,7F87037C,1,0,1,0,0,0,0,0.001961
72,807E61E3,6,1,7,1,4,0,0,0.013026
73,7DF8ED0E,1,7,8,0.5,24.416667,0.001476,0.043612,0.00269
74,7D386E49,0,4,4,0.470588,0,0,0,0
75,7D49E454,0,1,1,1,0,0,0.02131,0
76,756317BB,1,0,1,0,0,0.000442,0,0.001961
77,7EFF76F4,1,0,1,0,0,0,0,0.001961
78,8098EAF0,0,7,7,0.416107,0,0,0.02871,0
79,8154CD11,0,3,3,0.487805,0,0,0.008212,0
80,75CE674C,1,14,15,0.535211,38,0,0.055848,0.001961
81,80C2AFB4,5,5,10,0.308511,56.4,0.003868,0.001914,0.009807
82,802A38A8,0,7,7,0.324675,0,0,0.027189,0
83,781BC823,0,5,5,0.583333,0,0,0.053192,0
84,80D6AC53,0,1,1,1,0,0,0,0
85,813495CE,9,3,12,0.444444,53.133333,0.001152,0.000199,0.029729
86,76A7D81C,0,1,1,0.378378,0,0,0,0
87,7CF2ED3D,1,1,2,1,1,0,0.000382,0.001961
88,804AA69D,1,0,1,0,0,0,0,0.001961
89,6F006B25,4,0,4,0,0,0.004438,0,0.01929
90,7E7B912E,51,4,55,0.462687,1433.139671,0.114375,0.036345,0.284867
91,7F314D80,0,15,15,0.408638,0,0,0.056094,0
92,7E4A76E3,0,4,4,0.375,0,0,0.060352,0
93,8133BF31,3,1,4,1,2.75,0.007556,0.001494,0.006513
94,802FD1C9,0,7,7,0.365217,0,0,0.04399,0
95,7F31D621,0,2,2,0.274854,0,0,0.000178,0
96,809838D8,0,1,1,1,0,0,0.00101,0
97,7C879061,1,0,1,0,0,0,0,0.001961
98,7D419692,0,1,1,0.333333,0,0,0.028766,0
99,8061047A,1,5,6,0.371429,7.410714,0.003349,0.030334,0.001961
100,7A6A65B0,0,6,6,0.8,0,0,0,0
101,7F5938DE,0,6,6,0.394231,0,0,0.049819,0
102,7BC5FF57,1,2,3,0.354839,4,0.000343,0.030883,0.001961
103,7E1F2370,0,2,2,1,0,0,0.000019,0
104,8175EDC1,1,3,4,0.380952,3.333333,0.001297,0.037174,0.001961
105,7D99DD7D,0,2,2,0.24812,0,0,0.000001,0
106,7E47CEBD,0,1,1,0.333333,0,0,0.028766,0
107,7F5B3165,0,1,1,0.322222,0,0,0.002303,0
108,7877EAAA,0,2,2,0.5,0,0,0,0
109,7E04E4C0,1,2,3,0.666667,3,0,0,0.001961
110,7CF5BA4B,0,2,2,0.363636,0,0,0.002458,0
111,7207D717,1,0,1,0,0,0,0,0.001961
112,80272DCF,0,1,1,0.333333,0,0,0.028766,0
113,7B3DE5B2,1,0,1,0,0,0,0,0.001961
114,7A8AB444,32,2,34,1,1097.156957,0.067972,0.001396,0.544295
115,80EF0BB5,0,3,3,0.341667,0,0,0.001704,0
116,7F32933C,0,2,2,0.369565,0,0,0.001037,0
117,7DB86BDB,0,1,1,1,0,0,0,0
118,7D01EA78,0,2,2,0.485714,0,0,0.009965,0
119,5E62E4AE,0,1,1,0.333333,0,0,0,0
120,81124E86,0,2,2,0.428571,0,0,0.01999,0
121,816114C4,0,2,2,1,0,0,0,0
122,7D25F000,3,6,9,0.447059,80.266667,0.005406,0.064913,0.005884
123,7A590898,0,13,13,0.324948,0,0,0.107394,0
124,7EADF710,2,0,2,0,0,0,0,0.003923
125,72AE577D,2,0,2,0,0,0.001825,0,0.003923
126,709D23EB,7,0,7,0,0,0.012686,0,0.015715
127,80ACC02D,0,7,7,0.477273,0,0,0.00039,0
128,8105A213,4,2,6,0.625,4.333333,0,0,0.008474
129,7D0409E4,0,3,3,0.384058,0,0,0.004989,0
130,7560848C,14,1,15,0.470588,115.559524,0.019779,0.008164,0.037398
131,7D8494C4,0,8,8,0.44898,0,0,0.079591,0
132,80C8829B,0,1,1,1,0,0,0,0
133,79CF7220,2,0,2,0,0,0.000011,0,0.003923
134,7E4E5126,1,3,4,0.362745,9.916667,0.001731,0.030316,0.001961
135,5C43007C,1,4,5,0.461538,3.5,0.004049,0.066443,0.001961
136,5EAFAE8A,2,0,2,0,0,0.004742,0,0.029391
137,78826622,1,0,1,0,0,0.000036,0,0.003219
138,812390E2,5,6,11,0.425,180.496823,0.015417,0.058517,0.039677
139,80DB5AB2,6,0,6,0,0,0.008682,0,0.016169
140,7CEE4410,3,2,5,1,5.083333,0.001966,0.006012,0.007241
141,7D5776B9,1,2,3,0.269767,58,0,0.000309,0.001961
142,7AE4A72B,2,0,2,0,0,0.000895,0,0.00518
143,7CF9EEDD,5,3,8,1,10.5,0.000011,0.00013,0.010436
144,65F9BEFA,0,3,3,0.318182,0,0,0.000912,0
145,7409C451,1,1,2,0.470588,16,0,0.008164,0.001961
146,5AFB7E4D,0,6,6,0.432432,0,0,0.050864,0
147,7E974690,0,1,1,0.333333,0,0,0.000007,0
148,7D862D34,0,2,2,0.421053,0,0,0.020231,0
149,77ECAC40,3,0,3,0,0,0.00505,0,0.005884
150,80A915E4,1,0,1,0,0,0,0,0.001961
151,7EEBE016,1,0,1,0,0,0,0,0.001961
152,7D0F13DC,0,8,8,0.373984,0,0,0.052528,0
153,7D6C75AE,0,1,1,1,0,0,0,0
154,772BFED3,0,1,1,1,0,0,0.000042,0
155,5F1FE55F,1,0,1,0,0,0,0,0.001961
156,80DCEB0B,16,0,16,0,0,0.040255,0,0.061786
157,7DF9BB03,1,2,3,0.384615,3.366667,0.001479,0.012413,0.001961
158,59A9A1A7,1,5,6,0.416667,37,0.003245,0.01439,0.005137
159,809BB592,0,1,1,0.361702,0,0,0.010232,0
160,8105913A,1,1,2,0.4,0,0.001633,0.019928,0.001961
161,1420A1D1,1,0,1,0,0,0.000075,0,0.082724
162,7DC87D04,2,1,3,0.444444,2.25,0.00633,0.006917,0.003923
163,80E87F3D,2,5,7,0.335294,44.5,0.001049,0.001979,0.006959
164,7CECFF1C,2,1,3,1,0,0,0,0.004662
165,7EE2A41F,2,0,2,0,0,0,0,0.004551
166,757CF157,1,0,1,0,0,0.000086,0,0.001961
167,7CE607D3,1,0,1,0,0,0,0,0.001961
168,7D667E8F,3,1,4,1,0.833333,0.000093,0.00101,0.005884
169,7C724B05,1,0,1,0,0,0,0,0.001961
170,7E36FDB4,1,0,1,0,0,0.003032,0,0.001961
171,7961CD51,0,4,4,0.363636,0,0,0.009117,0
172,7D8F1657,0,4,4,0.351351,0,0,0.040235,0
173,75708811,0,3,3,1,0,0,0.000307,0
174,7D597566,0,2,2,1,0,0,0,0
175,7FAE9C94,3,10,13,0.534247,57.41746,0.00763,0.070702,0.014524
176,7FB6872A,0,1,1,1,0,0,0,0
177,806D68B7,0,1,1,1,0,0,0,0
178,7F75E23C,1,2,3,0.280255,6.816667,0.000045,0.00035,0.001961
179,7EAFA0BA,0,2,2,1,0,0,0,0
180,6D3A4F75,0,4,4,0.301887,0,0,0.023911,0
181,813CE0F2,1,0,1,0,0,0.001612,0,0.001961
182,72827FFC,1,0,1,0,0,0.000009,0,0.001961
183,7ACF7D5A,1,0,1,0,0,0.001565,0,0.001961
184,76630430,2,5,7,0.425287,52.816667,0.00971,0.029246,0.011934
185,785EEE88,1,0,1,0,0,0.003016,0,0.00259
186,801E6A66,0,2,2,1,0,0,0.000019,0
187,7DF576B8,2,0,2,0,0,0.002038,0,0.004551
188,7CF77EFA,1,0,1,0,0,0.001562,0,0.001961
189,7C65D32E,1,0,1,0,0,0.001558,0,0.00259
190,8153C51A,0,1,1,1,0,0,0.00006,0
191,59455385,1,0,1,0,0,0.000101,0,0.00259
192,59281F92,0,2,2,0.295455,0,0,0,0
193,7B04B340,0,3,3,0.304965,0,0,0.052586,0
194,7BD63948,0,2,2,0.34,0,0,0.014503,0
195,5BDFFA8C,0,1,1,1,0,0,0.02131,0
196,815809F5,1,0,1,0,0,0,0,0.00269
197,5A4ED18E,0,12,12,0.458015,0,0,0.114857,0
198,7E499195,0,3,3,0.5625,0,0,0,0
199,80F7C949,4,2,6,0.329897,96.309524,0.001978,0.0002,0.011188
200,7EC9524C,2,0,2,0,0,0.000008,0,0.003923
201,7E9DFC81,0,4,4,0.7,0,0,0.000001,0
202,811C9CEF,0,3,3,0.357895,0,0,0.011762,0
203,77173184,1,2,3,1,5,0.000103,0.001545,0.005105
204,7E1A8FDE,0,5,5,0.666667,0,0,0,0
205,7DCA3EAB,0,1,1,0.666667,0,0,0.000408,0
206,5BEEBB77,1,4,5,0.514286,12.625,0.000286,0.03197,0.003518
