Id,Label,indegree,outdegree,Degree,closnesscentrality,betweenesscentrality,Authority,Hub,eigencentrality
0,7DEFE1F2,0,1,1,0.212996,0,0,0,0
1,7E249644,0,2,2,0.375,0,0,0.000335,0
2,753BE470,1,0,1,0,0,0.000001,0,0.002742
3,76A3DFDB,1,1,2,1,1,0,0.00002,0.00189
4,80DCA4D5,1,3,4,1,2,0.000023,0.000037,0.00189
5,7DC7BEF2,17,0,17,0,0,0.000045,0,0.061455
6,7BF9DABB,0,2,2,0.301587,0,0,0,0
7,7EE11D6B,0,1,1,0.378788,0,0,0.000015,0
8,80F57EA4,0,1,1,0.428571,0,0,0,0
9,7DBFA157,1,0,1,0,0,0,0,0.00189
10,7611E4BD,1,0,1,0,0,0.000002,0,0.00189
11,7E196210,2,4,6,0.481481,21,0.000008,0.00136,0.003781
12,7FC95028,0,1,1,1,0,0,0,0
13,7F51C4C8,2,4,6,0.175637,588.083333,0.000061,0.000015,0.005866
14,801E16B3,1,1,2,0.320312,41,0,0.000002,0.00189
15,7A39A1E5,1,0,1,0,0,0,0,0.00189
16,7D7DFA28,0,2,2,0.75,0,0,0,0
17,5AC7481B,1,0,1,0,0,0,0,0.003924
18,7FD8F6E6,2,2,4,0.28,99,0.000016,0,0.004206
19,7EB7A941,0,1,1,1,0,0,0,0
20,802909FC,0,4,4,0.636364,0,0,0.000005,0
21,7DDD97FB,1,1,2,1,1,0,0.000011,0.00189
22,7D5382EC,63,0,63,0,0,0.000231,0,0.194993
23,815211C9,4,2,6,0.75,9,0.000022,0.000209,0.007987
24,7EED1641,0,2,2,0.75,0,0,0.000001,0
25,77085E76,0,2,2,0.75,0,0,0,0
26,7BA98665,1,0,1,0,0,0,0,0.00189
27,815D8BDD,1,2,3,1,2,0,0,0.00189
28,7BE153AD,0,1,1,0.211896,0,0,0,0
29,77FBC88E,1,0,1,0,0,0.000003,0,0.00189
30,811C52CA,0,8,8,0.22293,0,0,0.001946,0
31,7D135A00,1,0,1,0,0,0,0,0.002316
32,7FD14049,1,0,1,0,0,0.000003,0,0.00189
33,8135D0D0,0,1,1,1,0,0,0.000071,0
34,7FE8B6DF,1,0,1,0,0,0,0,0.00189
35,7E2FB730,1,6,7,0.552632,21,0,0.000493,0.00189
36,5DB06E0A,1,0,1,0,0,0,0,0.002742
37,8115BDF5,1,0,1,0,0,0.000871,0,0.00189
38,7555DE54,1,1,2,1,1,0.000082,0.000005,0.00189
39,816E9616,1,3,4,0.714286,12,0,0.000017,0.002742
40,7A37F97F,1,0,1,0,0,0,0,0.00189
41,75E14197,1,0,1,0,0,0,0,0.00189
42,7F47D5AF,12,7,19,0.253823,2681.166667,0.000015,0.00004,0.029562
43,720AB60B,1,0,1,0,0,0,0,0.00189
44,7F1B4E8F,1,0,1,0,0,0.000002,0,0.00189
45,7E95DD3E,1,0,1,0,0,0,0,0.002316
46,77F08D34,3,0,3,0,0,0,0,0.006097
47,7E641F38,0,1,1,1,0,0,0.000002,0
48,7D823389,0,2,2,0.666667,0,0,0.000591,0
49,7EEC5C7C,0,2,2,0.6,0,0,0,0
50,7F9D29B9,0,1,1,1,0,0,0,0
51,7CB82F89,0,1,1,0.666667,0,0,0.000003,0
52,7C33B3E2,4,1,5,1,4,0,0.000001,0.008508
53,77EAA26F,1,1,2,1,21,0.000083,0.000001,0.003951
54,8140B4CC,1,0,1,0,0,0.000001,0,0.003688
55,8057CF73,1,0,1,0,0,0,0,0.00189
56,7BDD6087,3,1,4,1,83,0.000004,0,0.008426
57,7B5E9716,0,2,2,0.444444,0,0,0.000005,0
58,801D5764,1,4,5,0.400826,97,0,0.000652,0.00189
59,79D347E8,3,0,3,0,0,0.000003,0,0.076582
60,7FFE124F,29,3,32,0.353659,1784.568393,0.000685,0.000113,0.074817
61,81444BBD,0,3,3,1,0,0,0.000144,0
62,7F835DA1,1,1,2,1,1,0,0,0.00189
63,787A6AD9,0,2,2,0.45,0,0,0.000001,0
64,79391B5B,0,3,3,0.210412,0,0,0,0
65,7DD73515,4,4,8,0.461538,484.558009,0.000026,0.001039,0.022103
66,7B1BCE56,1,0,1,0,0,0.000012,0,0.00189
67,7F2CA5CD,1,1,2,0.5,14,0,0,0.002316
68,5C7580CC,0,1,1,0.233766,0,0,0,0
69,7D3EA11A,0,1,1,0.251462,0,0,0.00037,0
70,7EA22FB1,2,2,4,0.180498,173,0.000002,0.000001,0.003781
71,7E6836C7,0,2,2,1,0,0,0.000001,0
72,7CF8D974,2,8,10,0.23736,251.566667,0.000001,0.000019,0.003781
73,76218B6A,1,1,2,1,1,0,0,0.00189
74,76972F1D,1,0,1,0,0,0,0,0.00189
75,77E038AC,0,5,5,0.470588,0,0,0.000004,0
76,5F3EA5BB,0,2,2,0.192703,0,0,0.000003,0
77,7EB6C3D8,1,1,2,1,1,0.002776,0.00002,0.00189
78,7AE814DC,0,2,2,0.454545,0,0,0,0
79,7FDD87CB,9,4,13,0.52381,641.566667,0.000347,0.000424,0.030404
80,70CF3A4E,5,0,5,0,0,0.000414,0,0.011085
81,7EDA8BA0,7,6,13,0.149137,1020.5,0.000001,0.000005,0.016212
82,76D9B359,2,0,2,0,0,0.00004,0,0.00468
83,6BD81586,1,0,1,0,0,0,0,0.00189
84,7F7F4292,2,2,4,0.666667,46,0.000458,0.001001,0.007758
85,61AAC2C7,1,0,1,0,0,0.000017,0,0.003269
86,0C62B4BC,0,4,4,0.309353,0,0,0.000744,0
87,0B6C3D63,2,0,2,0,0,0.000146,0,0.003781
88,685F7634,1,2,3,0.253644,87,0,0.000374,0.00189
89,7DE5D6E1,1,0,1,0,0,0,0,0.00189
