Id,Label,indegree,outdegree,Degree,closnesscentrality,betweenesscentrality,Authority,Hub,eigencentrality
0,783DE6E1,2,0,2,0,0,0.000001,0,0.00553
1,8120149A,0,2,2,1,0,0,0.000094,0
2,5F672FFF,1,0,1,0,0,0.000005,0,0.001882
3,7F01F683,2,10,12,0.355705,37.833333,0.000031,0.00001,0.003764
4,7E11D7DC,0,3,3,0.571429,0,0,0.037921,0
5,79C80870,0,4,4,1,0,0,0.000609,0
6,75855F8C,0,3,3,0.4375,0,0,0,0
7,7D1D5794,3,1,4,1,3,0,0,0.005646
8,7E13B934,0,1,1,1,0,0,0,0
9,7A9D9434,0,1,1,1,0,0,0,0
10,78230F02,2,0,2,0,0,0,0,0.003764
11,7C7BFCC8,1,18,19,0.433526,22.616667,0.001961,0.073688,0.001882
12,77D1FCC4,2,8,10,0.434211,51.033333,0.002766,0.083261,0.004353
13,7C9ED9DA,0,1,1,1,0,0,0,0
14,800FA3DC,1,4,5,1,5.833333,0,0,0.004611
15,7EE7D55D,1,2,3,0.6,0.5,0,0.000001,0.001882
16,7FD692D7,0,1,1,1,0,0,0,0
17,7854B34B,3,1,4,1,2,0,0,0.005646
18,7E5D1A70,0,1,1,1,0,0,0,0
19,7F14FD2B,0,1,1,1,0,0,0,0
20,79F2C80B,0,1,1,1,0,0,0,0
21,83E50945,1,0,1,0,0,0.000461,0,0.001882
22,7564F10F,0,1,1,0.366667,0,0,0.000007,0
23,77C4E837,0,1,1,1,0,0,0.000155,0
24,8126753B,1,1,2,0.454545,5,0,0,0.001882
25,7D378B8B,2,0,2,0,0,0,0,0.004353
26,5BF0C876,1,0,1,0,0,0,0,0.001882
27,8144865B,0,1,1,1,0,0,0,0
28,7E1A8CB5,2,1,3,0.6,3,0,0.000001,0.004353
29,5E57BBFA,1,0,1,0,0,0,0,0.001882
30,76026E3B,3,0,3,0,0,0,0,0.007407
31,5E051CFA,0,1,1,1,0,0,0,0
32,8118C034,5,0,5,0,0,0,0,0.013301
33,7E05B2D1,0,1,1,1,0,0,0,0
34,786FC2D3,1,0,1,0,0,0,0,0.004113
35,815E825E,0,1,1,1,0,0,0,0
36,7FAD3992,2,0,2,0,0,0,0,0.004942
37,7E82CFAC,1,0,1,0,0,0,0,0.001882
38,7E2B65D7,4,1,5,0.292683,48,0,0,0.007528
39,7D21550F,2,0,2,0,0,0,0,0.004353
