70083A04	The Vldb Journal<---Querying Heterogeneous Information Sources Using Source Descriptions
5A3E4CCD	Information not present<---Machine learning: applications in expert systems and information retrieval
0B012263	Information not present<---The identification of user criteria of relevance and document characteristics: Beyond the topical approach to information retrieval
7ABE0DC7	Computer Networks and Isdn Systems<---Applications of a Web query language
7B1A8818	Sigmod Record<---InfoSleuth: agent-based semantic integration of information in open and dynamic environments
766DE2F9	ACM Transactions on Information Systems<---An example-based mapping method for text categorization and retrieval
09643578	National Conference on Artificial Intelligence<---Moving up the information food chain: deploying softbots on the world wide web
77AE4313	Artificial Life<---Modeling adaptive autonomous agents
78E7087D	Computer Networks and Isdn Systems<---WebQuery: searching and visualizing the Web through connectivity
77850819	Journal of The American Society for Information Science<---Co‐citation in the scientific literature: A new measure of the relationship between two documents
771645AC	Conference on Information and Knowledge Management<---Architecture of a metasearch engine that supports user information needs
8045C8E8	International Conference on Data Engineering<---Estimating the usefulness of search engines
80901981	ACM Transactions on Information Systems<---A corpus analysis approach for automatic query expansion and its extension to multiple databases
7523D4B3	International ACM SIGIR Conference on Research and Development in Information Retrieval<---Improving two-stage ad-hoc retrieval for short queries
7C59B343	International ACM SIGIR Conference on Research and Development in Information Retrieval<---Searching distributed collections with inference networks
7A4C0E66	Computer Networks and Isdn Systems<---GENVL and WWWW: Tools for Taming the Web
5B79E3E4	Information not present<---Information Retrieval: Algorithms and Heuristics
80C661F3	IEEE Transactions on Information Theory<---Managing Gigabytes: Compressing and Indexing Documents and Images
75832596	Journal of Intelligent Information Systems<---Query reformulation for dynamic information integration
7C006A7C	International Journal of Intelligent and Cooperative Information Systems<---Retrieving and Integrating Data from Multiple Information Sources
7846667E	International ACM SIGIR Conference on Research and Development in Information Retrieval<---Phrase recognition and expansion for short, precision-biased queries based on a query log
77B562B0	International ACM SIGIR Conference on Research and Development in Information Retrieval<---Constant interaction-time scatter/gather browsing of very large document collections
0A019C45	Information not present<---An Information Gathering Agent for Querying Web Search Engines
7A5FC012	Communications of The ACM<---Visual information retrieval from large distributed online repositories
751F59CB	Journal of The American Society for Information Science<---Intelligent information agents: review and challenges for distributed information sources
7714A326	Information not present<---Information retrieval: data structures and algorithms
7A69DAB8	Information Processing and Management<---A re-examination of relevance: toward a dynamic, situational definition
58DD74A8	World Wide Web<---The Krakatoa Chronicle - An Interactive, Personalized, Newspaper on the Web
7F3A0C14	Information not present<---An Anytime Computation Approach to Information Gathering
7B1C9AB3	Information Processing and Management<---Query evaluation: strategies and optimizations
5A20CA87	Information not present<---Fast training of support vector machines using sequential minimal optimization
5C664574	Information not present<---A comparison of event models for Naive Bayes text classification
58742174	Information not present<---The Warwick Framework: A Container Architecture for Aggregating Sets ofMetadata
59EA0E00	Information not present<---Watson: Anticipating and Contextualizing Information Needs.
7FFAF0C8	Journal of The American Society for Information Science<---Indexing by Latent Semantic Analysis.
4B723E43	Information not present<---The TSIMMIS Approach to Mediation: Data Models and Languages (Extended Abstract)
779CE47F	Conference on Information and Knowledge Management<---Ontology-based web site mapping for information exploration
76A2E94A	International ACM SIGIR Conference on Research and Development in Information Retrieval<---Cluster-based language models for distributed retrieval
5BB84F6B	The Vldb Journal<---Distributed Hypertext Resource Discovery Through Examples
7F6CF0D2	Sigmod Record<---Automatic discovery of language models for text databases
77F48EC4	International Joint Conference on Artificial Intelligence<---\sc WebWatcher}: a tour guide for the Word Wide Web
7E0ED20D	Computer Networks<---Focused crawling: a new approach to topic-specific Web resource discovery
74998843	Information not present<---Finding the most similar documents across multiple text databases
0B6FB1BF	Information not present<---Information fusion with ProFusion
7DA1591F	Journal of Artificial Intelligence Research<---Reinforcement learning: a survey
7CE1777E	Information not present<---HyPursuit: a hierarchical network search engine that exploits content-link hypertext clustering
757AAE44	International ACM SIGIR Conference on Research and Development in Information Retrieval<---Noise reduction in a statistical approach to text categorization
5C913101	International Joint Conference on Artificial Intelligence<---Wrapper induction for information extraction
5FE553DF	International Joint Conference on Artificial Intelligence<---A machine learning approach to building domain-specific search engines
7CC898D6	Sigmod Record<---Efficient and effective metasearch for text databases incorporating linkages among documents
5963919F	Simulation of Adaptive Behavior<---Reinforcement learning architectures for animats
77635E60	Journal of The American Society for Information Science<---A smart itsy bitsy spider for the web
087F16A9	Journal of Universal Computer Science<---Profusion: intelligent fusion from multiple different search engines
7971C0DD	Human Factors in Computing Systems<---Silk from a sow's ear: extracting usable structures from the Web
7ABF1C20	ACM Transactions on Information Systems<---A decision-theoretic approach to database selection in networked IR
5D4900EC	The Vldb Journal<---Query Decomposition and View Maintenance for Query Languages for Unstructured Data
774F927A	ACM Transactions on Database Systems<---On the estimation of the number of desired records with respect to a given query
7C3E4C89	Information Processing and Management<---Combining the evidence of multiple query representations for information retrieval
77F32FF9	International ACM SIGIR Conference on Research and Development in Information Retrieval<---Effective retrieval with distributed collections
00691BD7	World Wide Web<---The RBSE Spider - Balancing Effective Search Against Web Load1
07E346DC	Information not present<---Intelligent Information Agents for the World Wide Web
812A7A06	National Conference on Artificial Intelligence<---Learning to extract symbolic knowledge from the World Wide Web
770435EE	International ACM SIGIR Conference on Research and Development in Information Retrieval<---Scatter/Gather: a cluster-based approach to browsing large document collections
7639488D	International ACM SIGIR Conference on Research and Development in Information Retrieval<---Cluster analysis for hypertext systems
045B025B	Information not present<---Reflecting user information needs through query biased summaries
7B3434F1	Adaptive Agents and Multi-Agents Systems<---WebMate: a personal agent for browsing and searching
7BF548B5	International ACM SIGIR Conference on Research and Development in Information Retrieval<---Improved algorithms for topic distillation in a hyperlinked environment
596BAF79	Computer Networks and Isdn Systems<---Inquirus, the NECI meta search engine
7515FAAC	IEEE Internet Computing<---Using relevance feedback in content-based image metasearch
798A7446	Information not present<---The use of cluster hierarchies in hypertext information retrieval
7EB50133	IEEE Transactions on Knowledge and Data Engineering<---The management of probabilistic data
052EC7BD	Information not present<---A Conceptual Framework for Text Filtering
59948136	Information not present<---Information Retrieval Systems: Theory and Implementation
81045DFD	Information not present<---Relevance Feedback in Information Retrieval
79159B28	Journal of The American Society for Information Science<---Measuring retrieval effectiveness based on user preference of documents
7616C000	Symposium on Discrete Algorithms<---Authoritative sources in a hyperlinked environment
5B250D99	Information not present<---Security of World Wide Web Search Engines
773E4590	International ACM SIGIR Conference on Research and Development in Information Retrieval<---Pivoted document length normalization
796E7DC1	Computer Networks and Isdn Systems<---Ethical Web agents
5A8ACA1E	Information not present<---World Wide Web Image Search Engines
780702D6	Computer Networks<---Learning page-independent heuristics for extracting data from Web pages
5DB4588E	Information not present<---Statistical Models for Co-occurrence Data
76F46DFE	Human Factors in Computing Systems<---Multitrees: enriching and reusing hierarchical structure
