80C888C7	7FBF1715 7686C41F 7C0CA322 7FF5BD10 77F3BEB4 7D81ED4B 7F9703BD 81592338 76044F7F 7849ABA5 7E2BAA8B 7EFB5EE6 7F0D1265 7C4A15F2 7D326E06 803893A1 7D746F20 80F378BC 7D466127 7FB897D3 7F3DA715 8025439A 7D379B11 7DFCAAA3 8015F391 7697AAAD 7F286543 7E08CCF6 7CD99DD2 7C71D353 7E6FC9D7 80094191 7EF7538E 7D0298F1 789FF9EB 7DA99FD4 7F683617 7E85B0FE 7DC58ED4 7F7D7BBD 816991BA 76C7A3F7 80F93AB6
79DA8799	7546CB87 6DF1B174 6EA465F4 07E5B9F4 79471849 09CBC945 78DA4353 7DD55259 7E4BB915
81481D38	7FBB8159 7943CC11 7D04969D 79442DC5 80BB0A8D 807ACA91 7A06AAF8 79471849 7E8CD976 640E3CAA 6E44B591 7BCA25FC 09536B1E 7841391A 8137812E 80374B28 76E0C500 7F7BF83A 7DB3FEEB 7BDEF745 6B1307A5 7DC456B7 7D9ABA27 7BBD9627 7E4BB915 791E064E 7C11C902 78396180 7B5C8F52 78150AEC 7CEA3755 073A7D61
8146C156	74DA2F52 7E102435 7F130607 7CC613E3 7597D4A0 7978F68E 7D3A52A1 79B9793F 752AF784 72F01464 7F26C4FD 78B3D1D6 76CD2FD3 79345DE7 7E6C123D
7F663B69	7B8F538E 80EF15A4 7B64AD18
7E2EB541	799DB89A 7A84463C 7604C557 7BAD6BED 7738532C 7C488B89 75E1CFEA 7C5196C9 863C8BD9 7E1319D9
58D62BE9	7E540248 81730EE7 7FA91A4A 78F14DCE 7F9EF735 7D81ED4B 78349602 7D6F4104 7E49F648 80A52097
7F95A7E4	05F4834D 4C01E6B6 78AB224D 7959A514 7E4BB915 7D58E42C 76E0C500 815C5EB8 75A13D3A
80713BC5	7A6048F3 5D6FA36F 7FC4468F 7D81ED4B 7614C27E 7C491A4E 7CD99DD2
801323B7	801B17AE 7D22B286 800D1DC1 7D0CE356 7D66847F 7FBF1715 0A034C83 7E7B7A21 8191921B 7F7D5905 80D53B31 7E0D14AE
7E73A4C6	78AB224D 7D81ED4B 813FF46C 7D466127 7CD99DD2 7525817F
7D1D1A0E	7959A514 8161A1FB 8071FAE1 5F904100 810D5864 80AFECEB
7F2A70BE	7D63A933 7E1C0433 769BFFDB 7E6578AD 808DED19 7DAC3F3F 80807D82 79D4C850 7CEB06D7 7D4339F2 7DBCDA0B 788A1514 7F40DE53 809EA0C2 80C8A432 7E41CF6B 806CE9BA 805C5F69 63E40B01 7DDB186E 7F70B93E 8089031C 7D14594B 7D71C1E0 80A42DB3 7E4D752B 7E58ABEB 7F34E0DC 692D3B89 7F50A72F 7E0D774B 7F15FEB6 7B1580A5 7FF4F327 7E59103B 7E05F338 7E26D217 7E5A752D 7E6AE14B 7EC8692A 5C572519 7FF05E31 64660525 7CEC025A 7CF6F4B1 7D987F97 8004A52D 644A3959 03538204 7E0ED72D 5DEA19BC 6F47CFAC 5E00BAB5 7DCFDE27 7F55E887 80861B71 760C1331 7F395143 815A976F
7B873C5E	8103C55A
7ACF6B61	753ECCE7 76D57CF8 7CD99DD2 6E7CA76B 75A8E695 5A8D9731 7DD25404 66D7B971 7D3B657E 78254B77 8170FD77 80E1E716 80150F54 79F82806 7F420D25 7849ABA5 755B12B8 7E85B0CC 5C59BA80 7BE51BBE 7FBF1715 81627C68 7D146D20 5F38E944 7A88E8E4 8027019D 7EF7653D 7720E27C 7F116C1B 7EDA3912 7F3121DA 7C357430 7D2C6537 79512A68 7B5615A1
7F9FC7D7	7DFE77E2 60AFB015 6B647D86 76EED4CA 684E1433 7F1D7FEE 58A4546D 7596B024 660C6D22 7F311DB4 7251DBC1 81C84395 0A597791 7E643432 7D9AD8C2
79710560	77684476 0A8EE6B8 7EB168EE 775A15D8 75B31B58 7691D307 7E9858D9
7F01004F	7AE67149 80060923 7FBF1715 7849ABA5
7F7308C4	7969C6CA 79E069C6 6ECDD928 763E2BF0 751B63E2 79512A68 5ADFDE92 7C58A6D9 788CC179 751403D0 7F261163 7AE4DC97
77A2EA60	79B1AB4D 7EC64C73 5CEB8838 78DA4353 86268B84 79471849 76E0C500 7E4BB915 78AB224D 752BB967 669CB1A5 75D5A653 019B26FB 77C570F8 7D58E42C 750A6417 7E646DA5 7BBD9627 75A13D3A
0C267322	5CEB8838 5E94FA61 7E4BB915
7D8079CB	7EC8468C 818C1F93
76A41C53	76CE3B4D 7899A126 7F1E2A14 7A4B3BE9 80A8F208 795C3042 7BB4E395 799ABBC7 58C201D1 760086F7 77841B8F 7C0F4ADA 7707FF11 7AA6EC47 762F2D3F 7A863A8A 78CFACE3 7B83941D 7A9213BB 80054A08 7525DFBC 76A147CD 7B06ADF6 803461FB 772520EC 777345B6 7A87B572 81097A83 7BA2BEAA 7800E286 7D74AC59
7CED8499	80B916E6
7EAB8545	6B9912C3 7A12833D 77429AFF 7E3A7C18 7BF82E24
5EF8880A	8069D968 815A8B07 03FAA06F 7819E481 0310BB53 5906039B 751B63E2 75D5A653 78FE798A 752BB967 770F0198 801E73DA 7DFB77A8 7F12FD84 7DFE56A7 7E646DA5 7CE46771 09443199 76E0C500 76DEA59F 7DD55259 7CFD7AF0 05154BF0 7F16B848 78266274 5CEB8838 5C9F79E0 7B34D8AC
7D5A81E6	80E6A3A9 7C9C2B58 58D345FF
810EE3C0	750D502E 8000D9EE 814F9082 805050D5 8170FD77 7D1AA0BA 7AD66C92
5A28EAA3	5FFBFC63 7F397FFD 00B6ACA8 5E17F183 7461D54F
79826E19	7C54A596 7D81ED4B 80C59B4C 75A7E190 7FBF1715 7FC275BB 5DFB8626 76E618BA 76C8DB1A 7BDB4E1F 5A6E15DA 7CB9892A 816D7F63 81627C68 7959A514 79D02E4A 7641A8AA 75620C89 7B50C386 76ED45D0
80D42121	7D4FA9B8 81159E48 7FCB1A91 816D58E3 7F493B26 794D547B 7E36CDF3 7C841258 8027019D 7DB162A2
7913EB96	7F5098C2 80BB159D 7AA3FD42 81627C68 751642E7 7FBF1715 380AA1DA
803AFC36	2506FA74 802AF481 798774FB 820A5FED 7C533125 5E5FEE08 8137FF80 7F28ADF5 8044D090 5C3800AA 5B6FEFCF 8095883C
7DD07AE1	771063C7
7F980C5B	7DCFDE27 7E6AE14B 7E58ABEB 7D327653 7D762A76 80FE5E76 7F81BC79 7E766CED 806CE9BA 7E5A752D
81B91587	7B5615A1 5F1482A9 8170FD77 799A1C90 72C2E3A3 7EDA3912 7580BAA9 6E7CA76B 787DFA03 7F3121DA 755B12B8 81627C68 7DD25404 7C357430 7FB3544A 79F82806 7BE51BBE 7E9B91DD 7CEA0E95 7849ABA5 7D3B657E 75A8E695 7F420D25 76D57CF8 8027019D 5A8D9731 765482DE 77F673AD 7F94681F 753ECCE7 7D146D20 7A88E8E4
7EA9175C	62945C42 807D5C97 5F807A1E 7E24CA94 5A111D76
7E37315E	7F593F22 7CFD906F 75BE2111
6302AC73	7CE46771 5B7BF45F 5BEAA2C3 6105E529 7D9A4E89 08AE26ED 7E84BB12 76E0C500 5CEB8838 7DF9403A 806BFFCC
7D691E7C	6E7CA76B 81627C68 7D889E09 7A066540 7FBF1715
5AF684CD	7D4FA9B8 7DC9911C 7F0385A2 7FFDFC71 7D635809 81159E48 673F7A26 8027019D 814250B7 815B7E0F 80AFECEB
760E25F1	78380876 8084CCE1 5E60E237 7D829563 62FA2C7B 774C9F21 7CD83719 79445B79 80DE15DA 7673AE9C 79BCCCAC
7EFC2F3C	806E93C7 799C6659 7D320798 81118B1A 75485BCD 7BCAFF92 752A42F5 77E78A17 781064C5 7F0F0B25 5BDDB61F 7D8BD804
8140B960	801AC063 75DEEB9B 7CE13BB6 7AE4DC97
7EBD9E0F	7B4F83C2 7E38B26B 5BC354FE 7E24CA94
7C0EB63B	7E148E22 79052ADE 7A066540 806A52E6 785C426B 7ED7007F 7F01A0D8 80C8CD6A 7F584F1A 7FD5AF19 75827BC8 7D429D22 7C65B57C 7F63201C 811634E9 7FBF1715 804CFD2A 81692CDD 797675E6 7D9C52AF
7EDE701C	814FC835 5B57EACC 786D1768 06A5E3FF 7E13D18C 59E470F0 0603D244 25202D1A 7F59FFBE 75E85E78 78BA1884 7FA59B3C 7FD56CD2 80E31996 5C5C4542 7ED12D76 5B5BBF66 7F965C91
7F1F639A	7CE46771 7641A8AA 79826E19 7959A514 5F6B1917 7BDEF745 5DFB8626 78DA4353 79808B05 76ED45D0 77C570F8 5A6E15DA 79471849 7E4BB915 76E0C500 7FC275BB 80C59B4C 5C35BF1B 7FBF1715
76472979	7C2D4F90 59DBC5D5 79E9F82A 7C357430 7E9B91DD 7CB9892A 75241594 7CC5F331 7B42359A 7CDDC877 7CEA0E95 5C3D7E42 76D57CF8 800AC799 7FB3544A 805C419E
7F28FE90	76774CF0 7ED5ED5E 80A8C921 7F54790A 6C7F2724 7A285086
7EE51EBA	79E176B4 58D4C3E2 801E594C 78AB224D 67D2A436 7D81ED4B 816D3E18 7CFFAF90 7FE133AE 80096728 7DD01828 8170FD77 7D1A7F15 7F57381B
80E2767B	7E57391C 7E270E79 78DD79F3 8091E93E 5DBDB604 806DA84A
7F0A68EE	813FF46C 80435559 7C5C1713
7EEAE6B6	6AC0B6C6 721207F0 7E2387C5
80027607	0A25F256 7DFB29AD 80060923 80B31354 7FEE4365 7C11C902 7D81ED4B 7D97E2A4 7FBF1715 7F616901 79F82806 6E7CA76B 7CD99DD2 7E85B0CC 7DC456B7 7CA9801E
0861F35F	7F2B4810 58B42CAA 09FE8431
80D42660	7A980845 59DE194B 757730B1 752BB967 5FF50B66 7CFDECF0 7DB8B5E5 6E44B591 5E1963AE 763A5ECA 760F992F 5C266DFB
759BD9C8	75CCA6EA 7B05D034 7CF59A17
7F200392	7F57C7DC 7E636F32 80A13A1D 78396180 7E44A621 7FB4A99D 7E511D32 76ED45D0 78DA4353 80EDA9F6
5A68FCE2	766C3DCB 75F0423C 81627C68 7830C088 7ED5ED5E 7894A4A4 7FBF1715
76ED45D0	7641A8AA 5A8D9731 76C8DB1A 7B50C386 7E85B0CC 5A6E15DA 7959A514 806A52E6
80464B18	76AB51E0 7F6861F2 8056BD01 7DD55259 7DA19022 7FBF1715 5B86FD80 5D5CDAC1 7D8B0037 5F58F167 5FC7A69D 7DD08A6D 7CFD2BA2 7DAD6720 810BAA50 5D73A135 7FFC078D 5A4CFC04 7571C5AC 761F3C51 7D026FF7 5F1802E3 75638423 7B6399F7 7E646DA5
7FD5D71D	8004BC10 58EE1929 7F24F3CE 8046A232 6B647D86 78A47B7B 806483D5 0947DB7D
6DB704B1	79D5C4C3 79512A68 7621D587 770BE776 5CA2CC28 80A78FEA 0AE18661 79EB18B1 5E5FF13B 7DCCEFEC 7A14D407 7EADDB17 81C36967 595BE346 7F910996 76560617 7D6FD853 806C5A44 63C96F99 7F374DBE
7EDFF13F	77D1437D 7DA910F5 7EC2E3A2
66D7B971	7BDB4E1F 05A256BC 59DE194B 76ED45D0 816D7F63 80E0B942 7C54A596 76C8DB1A 7959A514 81627C68 5DFB8626 7CE46771 11B32669 7641A8AA 5A6E15DA 7A980845 7FBF1715 8094AD88 770FC222 79D02E4A
7CECD81E	7D9FD6A8 7F80A316 7F244EA8 7B997E89 7EB7B7DD 7686C41F 808B8855 77F3BEB4 77E4CA01 6CA1CFB9 5958A2F3 80ABD4A0 79938996
811FEFFA	80674B23 7AC284CE 5C32073A
816664C7	7D1A7F15 7CF95A36 81627C68 78129FCD 7D466127 78AB224D 813FF46C 7CD99DD2 7D81ED4B 7F677305 7525817F 80A52097 7FBF1715
5D73A135	814F9082 7A665060 7F61BD8D 7849ABA5
816A6720	7DBC3C41 7F2B4810 7F261163 7753DF90 7D58E42C 7CE46771 7A629B43 78AB224D 7E4BB915 7F7FC54A
7FD230DD	8069D968 7FC275BB 7E2F0E9A 7F24F3CE 7697FD57 60FEAD84
5F4A4ACC	5EEA0AC2 5D8067FB 813906F0 79348FC1 77F09320 7EB5382D 7D1EE168 7DB20AB2 7E458DDB 588FD872 75E47DF1
7F0DBD83	7D269E98 79C2AF18 597573AD 09C357E7
80BEB94C	7EF6694C 7FBF1715 695A4750 81592338 7FF1BFAD 7CD307C1 7DEDD133 783C81CA 7FDC67E4 7697AAAD 77991C1E 7CD99DD2 79F82806 7CF9A53B
7A078443	7E4BB915
80DF8C2C	7849ABA5 0002F0A5 76ED45D0 5F9AED71 74F2D84B 80ECFA67 5F100458 5B345027 736738E8 7EA9B2E2
06FECFBF	58A6B9C4 7350F65E 5A94D239 0484DDE9 5906039B 5B86238E
78969FAD	7849ABA5 79F82806 7CF95A36
7D6B3EF3	0C046A32 78AB224D 7FC6BE3E 7E4BB915 6A238E8A 76E0C500 7CE46771
80417A7C	7D81ED4B 8007E758 5FC7A69D 806A52E6 59763FCD 7EB210D5 7C5C1713 5E9B87AB
7E743DB0	77D1437D 72BA6FA1 7C9C2B58 58D345FF 5B73D0D6 7DFC455D 7D5A81E6 7F21F811
7E263F28	12DA6F5A 60FEAD84 5F438F1A 6D7AAE0D 5D14690F 5E137C0D 732E55F7 772EBFC6 6103345E
