Id,Label,indegree,outdegree,Degree,closnesscentrality,betweenesscentrality,Authority,Hub,eigencentrality
0,7F86F2D7,0,1,1,1,0,0,0,0
1,77660E32,0,3,3,0.8,0,0,0.000054,0
2,7DA37ED7,2,1,3,0.666667,3,0,0.000153,0.00927
3,756E87AA,1,0,1,0,0,0,0,0.004635
4,5FB08E30,1,0,1,0,0,0,0,0.004635
5,79B7D74C,1,0,1,0,0,0.000045,0,0.004635
6,7965C479,0,1,1,0.666667,0,0,0,0
7,7DCBEE06,0,1,1,1,0,0,0.088133,0
8,7AAFEF2A,0,1,1,1,0,0,0,0
9,079F313E,1,0,1,0,0,0,0,0.004635
10,809D0A8B,3,0,3,0,0,0,0,0.013905
11,7D675461,0,1,1,1,0,0,0,0
12,80B08A4E,1,3,4,0.8,3,0,0,0.004635
13,7A3E2161,1,1,2,1,0,0,0,0.004635
14,7F0D508A,0,2,2,0.666667,0,0,0,0
15,79377EB2,0,1,1,0.666667,0,0,0.000012,0
16,7CC17956,1,1,2,1,0,0,0,0.004635
17,7C5DBEAA,0,1,1,0.666667,0,0,0,0
18,7AB9E30F,0,2,2,0.75,0,0,0.000002,0
19,5B1F33D9,0,1,1,1,0,0,0.00246,0
20,7A682805,1,2,3,0.5,0.5,0,0,0.004635
21,78F6B8F8,1,0,1,0,0,0,0,0.004635
22,77D2770C,1,0,1,0,0,0,0,0.004635
23,8048E7F3,0,1,1,1,0,0,0,0
24,7D37608F,1,0,1,0,0,0.000015,0,0.004635
25,799D5ADA,3,1,4,0.666667,4,0,0,0.01676
26,77E5AA1E,0,1,1,1,0,0,0,0
27,5A4F26B7,0,2,2,1,0,0,0.000004,0
28,7E53A31D,2,3,5,0.571429,21,0.000326,0.000081,0.014981
29,80A034EE,0,1,1,1,0,0,0,0
30,7A70697A,2,3,5,0.8,6.5,0.000128,0.002406,0.00927
31,766F53E7,0,1,1,1,0,0,0.000012,0
32,77A33C74,1,1,2,1,4,0.000221,0,0.011217
33,08472BC5,2,0,2,0,0,0.000021,0,0.012125
34,7F4F412A,0,7,7,0.533333,0,0,0.00127,0
35,61600F0D,1,0,1,0,0,0,0,0.004635
36,80ED5374,1,2,3,1,2,0,0.00046,0.004635
37,5A566CF8,2,2,4,0.5,16,0,0.005324,0.00927
38,0135ADFF,0,1,1,0.6,0,0,0,0
39,7D4541C6,0,1,1,0.666667,0,0,0.000012,0
40,704CEE65,0,1,1,1,0,0,0.000001,0
41,80377895,0,1,1,1,0,0,0,0
42,7C7DAD83,0,1,1,1,0,0,0,0
43,7CDB2884,0,1,1,1,0,0,0.088133,0
44,7D85E13D,0,1,1,0.666667,0,0,0.008185,0
45,78553A6E,1,1,2,1,0,0.000002,0,0.004635
46,800A71C3,0,1,1,1,0,0,0,0
47,7CB3BC2D,0,5,5,0.473684,0,0,0.000232,0
48,80CA0554,5,10,15,0.916667,48,0,0,0.023174
49,0A56188D,1,0,1,0,0,0.000767,0,0.004635
50,775AE8C8,1,1,2,1,0,0,0,0.004635
51,7815FF66,0,1,1,1,0,0,0,0
52,7CBF1791,0,1,1,0.421053,0,0,0,0
53,5941F98E,0,2,2,0.75,0,0,0.000933,0
54,7CCE1BD1,0,1,1,0.5,0,0,0.000052,0
55,7E7269CD,0,1,1,1,0,0,0,0
56,7C7F932B,3,1,4,1,3,0.000391,0,0.013905
57,7C8EC15F,1,0,1,0,0,0,0,0.004635
58,7E7B45A1,1,1,2,1,1,0.000078,0,0.004635
59,7C189708,0,1,1,0.6,0,0,0.00018,0
60,7CBEDF0B,1,0,1,0,0,0,0,0.007491
61,7F4D7063,0,1,1,1,0,0,0.088133,0
62,7F489D6E,1,0,1,0,0,0,0,0.004635
63,7A2E0446,1,2,3,1,0,0,0,0.004635
64,7A0D4B3B,1,1,2,1,1,0,0,0.004635
65,5CAF994F,1,0,1,0,0,0,0,0.004635
66,7F6A5A31,2,0,2,0,0,0,0,0.00927
67,5DC9ADAA,0,2,2,0.533333,0,0,0.002404,0
68,7E151CB1,2,0,2,0,0,0,0,0.00927
69,76FF4DE5,0,1,1,0.666667,0,0,0.000721,0
70,7F4DE1A4,0,1,1,0.571429,0,0,0.000091,0
71,741877BF,0,4,4,0.358696,0,0,0.000854,0
72,5A67DCD9,0,1,1,1,0,0,0,0
73,5A619F73,1,0,1,0,0,0,0,0.004635
74,7F4CBE01,0,3,3,0.583333,0,0,0.000351,0
75,7CEAC255,0,2,2,0.4375,0,0,0,0
76,8008D913,2,2,4,0.428571,7,0.000046,0.000294,0.00927
77,77127D26,1,0,1,0,0,0,0,0.010346
78,7E2EBB7F,1,0,1,0,0,0.000018,0,0.007491
79,80A6EF50,0,1,1,1,0,0,0.000746,0
80,0AD74EBA,1,0,1,0,0,0.00019,0,0.007491
81,7A826070,1,0,1,0,0,0,0,0.004635
82,7AF72A53,0,1,1,1,0,0,0,0
83,76E6196E,2,0,2,0,0,0,0,0.00927
84,78C7B7F1,0,1,1,1,0,0,0.000028,0
85,7D312CA5,3,2,5,0.571429,8.666667,0.000184,0.000005,0.022472
86,5DAC0D79,1,0,1,0,0,0,0,0.004635
87,79FE8F91,3,0,3,0,0,0,0,0.019616
