Id,Label,indegree,outdegree,Degree,closnesscentrality,betweenesscentrality,Authority,Hub,eigencentrality
0,7BAC9A86,0,2,2,0.75,0,0,0.00011,0
1,80CA5F1B,4,0,4,0,0,0.001466,0,0.004432
2,7DDA6253,1,0,1,0,0,0.000013,0,0.000941
3,7CFA596C,0,3,3,0.434783,0,0,0.001238,0
4,5BCB8C30,2,1,3,1,2,0.001362,0.000177,0.001881
5,5900F800,0,3,3,0.247573,0,0,0.000016,0
6,7AE5896F,0,1,1,0.231429,0,0,0.000014,0
7,7E0775CE,3,13,16,0.24612,103.424224,0.000753,0.014195,0.002822
8,6CED28F9,1,1,2,0.305389,0,0.002205,0.000109,0.000941
9,7E296183,0,3,3,0.278431,0,0,0.000153,0
10,48156941,1,0,1,0,0,0,0,0.000941
11,5C70D0BB,5,8,13,0.475,122.428211,0.000419,0.003587,0.005149
12,7E16289B,0,2,2,0.253165,0,0,0.000004,0
13,7C6E99E7,1,0,1,0,0,0.000096,0,0.001052
14,810B2B4E,0,2,2,0.5,0,0,0.000575,0
15,800E29E2,3,6,9,0.692308,27,0.000002,0.000466,0.002822
16,123B5830,1,0,1,0,0,0.000105,0,0.001177
17,7D9F7BE5,1,0,1,0,0,0.000001,0,0.000941
18,7A60498C,5,2,7,0.4,59.3,0.002544,0.037141,0.007231
19,012488F5,2,0,2,0,0,0.000045,0,0.002229
20,805AC391,0,4,4,0.28934,0,0,0.00001,0
21,758F2455,0,7,7,0.267275,0,0,0.004033,0
22,7E772D39,5,1,6,1,5,0,0,0.004703
23,7D84024B,1,6,7,0.28381,57.233333,0.00151,0.042386,0.000941
24,7FB4A55D,0,3,3,0.219718,0,0,0.000798,0
25,7CB63B06,1,0,1,0,0,0.000004,0,0.000941
26,80417D3D,4,4,8,0.303797,86,0.000013,0.000206,0.003762
27,7A460BAF,0,3,3,0.232833,0,0,0.000087,0
28,7B0477EE,0,1,1,0.5,0,0,0,0
29,7DD9D481,0,3,3,0.354839,0,0,0.008605,0
30,792AD67C,5,0,5,0,0,0.000004,0,0.004926
31,60598236,0,2,2,1,0,0,0,0
32,7EAC5D32,0,1,1,0.256494,0,0,0.000454,0
33,7F995092,0,8,8,0.265136,0,0,0.000328,0
34,724F009C,4,1,5,0.27451,4.488095,0.000393,0.000419,0.004918
35,7C6672C7,0,1,1,0.428571,0,0,0,0
36,7B9CF84A,1,0,1,0,0,0.000022,0,0.000941
37,6F157620,115,0,115,0,0,0.030624,0,0.195509
38,5ECBE873,3,3,6,0.6,2.416667,0.000083,0.000315,0.003386
39,5D1A2FAD,0,1,1,1,0,0,0.000014,0
40,78A02008,0,1,1,0.180412,0,0,0.000088,0
41,7CA55D06,5,1,6,1,23.403571,0.002643,0.000696,0.005753
42,5DB93340,2,16,18,0.290172,347.442857,0.001746,0.009079,0.002104
43,7FCF36E0,0,6,6,0.303935,0,0,0.001932,0
44,7DF76FD1,0,2,2,0.226415,0,0,0.035724,0
45,595A7D21,1,1,2,1,1,0,0,0.000941
46,7F3F0AE2,19,32,51,0.373402,8276.477982,0.002216,0.011232,0.024533
47,7D139314,10,0,10,0,0,0.000309,0,0.013025
48,5D499942,0,1,1,1,0,0,0,0
49,7DA5EF19,4,0,4,0,0,0.000215,0,0.005481
50,0671520F,0,1,1,1,0,0,0.000003,0
51,8066CCD0,1,3,4,0.262443,31.333333,0,0.035757,0.000941
52,5E1699DC,6,2,8,0.75,227.984632,0.007013,0.001475,0.017576
53,794AD0FB,0,3,3,0.235928,0,0,0.000007,0
54,7A0691B9,0,3,3,0.351351,0,0,0.001307,0
55,7D78F771,2,4,6,1,135.5,0.002731,0.000956,0.002725
56,5C2EE760,0,1,1,0.311475,0,0,0.000054,0
57,80A6EF50,1,3,4,0.233831,43,0.000006,0.001361,0.000941
58,6143721B,0,3,3,0.1875,0,0,0.000013,0
59,8018EE89,0,1,1,0.6,0,0,0.000166,0
60,7649917D,2,0,2,0,0,0.000007,0,0.001881
61,76C628A2,1,0,1,0,0,0.001612,0,0.000941
62,7D7A2245,0,1,1,0.4,0,0,0.000822,0
63,5B75D879,0,2,2,0.345455,0,0,0.000225,0
64,81596E14,13,12,25,0.37218,4643.86372,0.002757,0.011722,0.019111
65,7E0F22D7,2,1,3,1,2,0.000073,0.00001,0.002328
66,7C278EB1,1,0,1,0,0,0,0,0.000941
67,5D631F16,0,1,1,0.371429,0,0,0.000269,0
68,7DA761E7,0,1,1,1,0,0,0.000029,0
69,59E9CC88,2,3,5,0.28702,2,0.000018,0.000176,0.001993
70,5FE175E7,1,0,1,0,0,0,0,0.000941
71,7573BC0C,3,0,3,0,0,0.000111,0,0.003197
72,5FAA8571,0,1,1,1,0,0,0.000003,0
73,5E300829,1,0,1,0,0,0,0,0.000941
74,77AE2533,0,3,3,0.714286,0,0,0.038102,0
75,7A9BD9C7,1,0,1,0,0,0.000001,0,0.000941
76,5F02A7B2,0,1,1,0.377778,0,0,0.002688,0
77,7EE08D0C,2,0,2,0,0,0.001466,0,0.001881
78,5CE9A754,2,8,10,0.384146,2005.328938,0.000429,0.038887,0.004373
79,7A921B19,1,0,1,0,0,0.000045,0,0.001164
80,5C7441FA,2,0,2,0,0,0,0,0.002513
81,0B7AD8BD,2,0,2,0,0,0.000194,0,0.002229
82,8131EDC6,1,0,1,0,0,0,0,0.000941
83,7663A97B,0,1,1,1,0,0,0,0
84,7FE6FCE0,1,0,1,0,0,0.000158,0,0.000941
85,7EEBECDF,1,3,4,1,0,0.000002,0.000002,0.000941
86,7EFA505C,2,0,2,0,0,0,0,0.002236
87,7E91250E,1,9,10,0.342629,32.883333,0.000258,0.003483,0.000941
88,81697002,0,1,1,0.202479,0,0,0,0
89,7849DB64,0,2,2,0.375,0,0,0.00262,0
90,7E4E8326,5,6,11,0.268564,946.601794,0.000441,0.002654,0.006325
91,81697008,3,1,4,0.6,6.575,0.000196,0.035653,0.002933
92,7AE86079,5,0,5,0,0,0,0,0.005275
93,5EC1DC2B,0,1,1,1,0,0,0.001097,0
94,7EB9AAB2,0,7,7,0.289796,0,0,0.039578,0
95,7D8A9941,9,7,16,0.355,328.191142,0.00009,0.000993,0.009036
96,5878C214,1,1,2,0.6,4.5,0.000029,0.035653,0.001499
97,7A30F5A5,0,5,5,0.323944,0,0,0.042399,0
98,7784EEC3,5,14,19,0.315657,406.31627,0.002895,0.006209,0.005636
99,7B82D34B,1,2,3,0.411765,6,0.00003,0.000001,0.001059
100,7EA2EF7D,0,1,1,1,0,0,0,0
101,797BB677,2,6,8,0.356061,91.5,0.000004,0.045959,0.001881
102,76F65C74,0,8,8,0.245119,0,0,0.002127,0
103,755BB3FE,0,2,2,1,0,0,0.000002,0
104,7F7D848F,34,0,34,0,0,0.003734,0,0.106792
105,5FC37564,4,0,4,0,0,0.000179,0,0.00434
106,09FF76AC,2,0,2,0,0,0.000073,0,0.0022
107,5FE572FE,0,2,2,0.5,0,0,0.000666,0
108,7DD5D2EA,3,0,3,0,0,0.000163,0,0.003708
109,7DE7D1FC,0,3,3,0.369565,0,0,0.001324,0
110,7E42CAE3,0,16,16,0.291732,0,0,0.009121,0
111,5A633CB0,0,1,1,0.37037,0,0,0,0
112,750AB3D7,0,1,1,1,0,0,0.000188,0
113,7CA27FBE,0,7,7,0.213333,0,0,0.000391,0
114,79BBE59E,1,0,1,0,0,0.000001,0,0.000941
115,801566D7,2,4,6,0.5,48.130495,0.000226,0.004614,0.002658
116,808472EA,0,2,2,0.5,0,0,0.000187,0
117,7F2CC9FA,10,1,11,1,21,0.000031,0,0.01089
118,774ED892,0,7,7,0.231156,0,0,0.00049,0
119,7D72B48E,1,0,1,0,0,0.000186,0,0.001991
120,7F42312D,1,0,1,0,0,0,0,0.001072
121,62BDA97E,7,0,7,0,0,0.002157,0,0.007048
122,6E900EFA,1,1,2,0.198565,55,0.000004,0,0.000941
123,7F9C52AF,0,15,15,0.318182,0,0,0.015287,0
124,7E946E29,3,5,8,0.412698,51.766667,0.000223,0.003398,0.002822
125,7DF4A2A3,13,18,31,0.4,3249.735642,0.009411,0.056009,0.01511
126,5DB6F87A,0,6,6,0.411765,0,0,0.000175,0
127,5A17EE62,1,0,1,0,0,0.000001,0,0.001072
128,5CEE4738,4,4,8,0.283105,1726.017605,0.000616,0.002102,0.006019
129,75301B0B,1,0,1,0,0,0,0,0.000941
130,7AB4A687,0,1,1,0.6,0,0,0.035653,0
131,7A2D309A,4,1,5,0.666667,2.666667,0.000042,0,0.00455
132,6BEB397C,11,1,12,1,116.733333,0.008864,0.000187,0.022853
133,77AE097E,0,3,3,0.254491,0,0,0.001492,0
134,78E87320,1,3,4,0.8,4,0.000006,0,0.000941
135,815C8689,2,5,7,0.277865,130.3,0.00022,0.004229,0.002216
136,7E6AF8B0,0,2,2,0.25,0,0,0.000076,0
137,7B67A049,0,5,5,0.43038,0,0,0.002024,0
138,7BF5E8EA,0,2,2,0.256473,0,0,0.000068,0
139,7EA2667D,1,3,4,0.221239,7.5,0.000258,0.000709,0.000941
140,03E464DD,1,0,1,0,0,0,0,0.000941
141,7E479EDA,0,1,1,0.333333,0,0,0.000379,0
142,765FB72C,0,1,1,1,0,0,0,0
143,78DD1455,0,3,3,0.240572,0,0,0.000696,0
