7CF04631	5D8C433A 7F0326D0 58B69443 7D1C7B54 7A50571B 7FFA79C9 7FF035C4 7DDA225C 7EF38774 7BFDF785 80925941 7E242C15 8167639B 7AFAC7C0 7F7CDF45 7CE95A40 7D5A3BC7 66C36D8B 7EF4A7F4 8111BF0D 80E95E76 8134F88A 815EC73F 7A504AE2 752818DB 7C6529B3
052CE7B1	75B57560 8062F579
5C84863A	8158D31F 77CCF70F 7B86882B 815C05E9 7DBDF4ED
7E4ADF34	807D3DF5 7E4B68F8 5BDF38AD 805C9CB2 81737FC2 76BD7794 811C86A5
7D3636D0	05D77D7A 814CC1D5 7EB1C671 86352176 7285CCC4 7D66B5EF 59FE232B 7792E75F 7F7FFB14 7F1E58E4 75B04030 6E5A012C 7CFCA431 7E0D6DEF 824ADE22
80668AA9	7D141F0C
7D373674	80DEBB1D 5B4A8543 7E1C2B73 7E2833F1 7D87F696
80D014B4	7D438AB0 8109F7D8 80802B6D 80BAC9AA 73C00045 7F6DD75A
7DF7BB15	764BC4A7 810624A3 777D100E 62AC0C91 78989739 7A812FE6 6D6C6B05
7F4CFA5C	7E8850D9 80CCAC32 0773E721 7407BA24 7E9CF79F 78CBC16F 5C9FFC30 8155F88B 7D1EA974 7E171120 7DF5F5F9 7D38E356 7742E0AA 77F1EA2B 80DC7F83
7E63D03B	7B6223EB 7E3651F7 7EBAA1D2 75C6AC9E 763483F9 803AEB6B 8499FFED 80E6336D 68B27EDB 760587ED 7EB62FF3 7CC0F5E0 78AA0678 7FE0417E 7E5DCD58 0A11FD3C 7BBDB1B6 7DEA6ACE 79866AAC 08C3DBE6 734B5E60 80C5DEF7 8631CCC3 58BF0E83 59F53525 5BDBC396 77904F67 77D9E75C 756C0F16 80F38AC7 7EA15035 80538745 5CDC139A 8008633A 5C09C9FC
7F79C4AC	7CAAF7A5 7CFF8568 806F3FE3 8124B7EA 58B42CAA 58C22075 5E7B223F 38CBD0D4 7D1DCBAC 7ADB1194 0A896B1E 09AD424B 68AD03BF 7DE38A28 76463CEA 7D5A10EE 7625752A 7F346749 7C6245DD 05D77D7A 096EB003 7E580B2E 859E2B06 8043BEC2 7F79614A
764E54C3	5B7E8259 08C8A2BB 763A1DF1
8030BD43	7F41B761 7F97884E 7E47948D 80AD170F 7FCD225A 5C711DC9
780078AB	7FA8B40D 5F6E61AA 782E4FEE 7E6EF713 80B512ED 793EB522 7ECD2D3F 8041E7C4 5AB1377B 5DEDCA86 77A92D73 7AA3D87D 7D52F1FB 7E0AF933
800821D5	81190663 5974D3DA 800DBC97 7EE653EE 7CAF8137 0719A308 792FCB9F 7EF94362 0A918C2C 7BDB80BB 8548F409 8130E08D 7711E9BF
8054EA05	7DDF5DA3 7B4EF47C 5F2C3C2D 79178AD0 7B24AE41 5FE0AF9F 7D755E1C 7DFD6EF4 8015DB7D 80B776B4 5880F837 7EC5683F 5DF36DCA 7CF35A09 8148145C 7EFA995F
7EF7DE20	78A3ECE6 71944D3A 77CFBD72 7DE2155F 7DE838D2 80FF284B 7DEB7F50 8125BB36 5C969A4B 6EC96DFB 827BF8AA 75B0453B 7CD2BF45 8147C0A0
7FBA45FD	7DA1A4C1 7B466E8B 78AC2A6C 2EFF89D2 7CF539CA 7DC5FC14 7F8E016B 7F05A1D1 7E8B85C0 85EEF7CD 76C12EF4 7C3A62A0 7DBCA384 79B5CF13 7B07F307 7D232B48 7A2F4C9E 7D9E3C81 7ACAC434 830FC14B 80D5B2DE 82036910 5B5D21F1 7CA0C7C7 805DEA23 79DF6CDB 5B86259C 75ED9F55
811FCF98	757B7005 81331DE3 7E2A21FC 7EE453C7 805B2B18 7CD15DFA 80834473 784412D5 7D351FEC 7CD9D144 7E35C802 8015A087 7D187955 7F49EDC7 7991719D 8166D99C 7EF26172 7FDB7211 75E0C6A3 7DB2CA82 7DC31E0A 75AF9DAE 7E6070C5 807CABE8 7E6C87D5 7FBDE9A1
7D2F4869	77AF1236 7C1E2C07 7A5D4CD3 7FB02DA3 7A954714 7873CA63 7FAD8AD4
7646D86C	79CAEF89 7E186562 780EA399 764AF17F 7602E261 7711FA87 78BF0034 7B55AEC4 753A5EE3 7E726A57 81BBC402
