Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality
83,7E089879,,0,1,1,0,1,1,2,0.6,0.666667,0,0
84,5FE38DC1,,5,1,6,5,1,6,4,0.413793,0.472222,50.933333,0.013885
85,810E3869,,1,2,3,1,2,3,6,0.272109,0.297361,9.4,0.002777
86,81CFEF52,,1,0,1,1,0,1,0,0,0,0,0.004025
87,78E24B05,,1,0,1,1,0,1,0,0,0,0,0.002777
88,7ECADF59,,1,1,2,1,1,2,1,1,1,0,0.002777
89,80290151,,2,0,2,2,0,2,0,0,0,0,0.00708
90,7EEFA497,,0,5,5,0,5,5,6,0.290168,0.329752,0,0
91,5A874BBF,,0,6,6,0,6,6,5,0.395349,0.492157,0,0
92,7D4873BD,,1,1,2,1,1,2,3,0.388889,0.452381,1,0.002777
93,0C2C26A0,,1,2,3,1,2,3,4,0.372549,0.438596,36,0.004025
94,81430221,,1,1,2,1,1,2,6,0.269036,0.29717,35.183333,0.002777
95,5EA414E7,,0,1,1,0,1,1,1,1,1,0,0
96,5F985E92,,0,4,4,0,4,4,3,0.484848,0.572917,0,0
97,7B1C5478,,12,4,16,12,4,16,2,0.75,0.833333,149.366667,0.056777
98,008B8FE9,,0,4,4,0,4,4,8,0.252294,0.335974,0,0
99,7E86E05C,,12,3,15,12,3,15,4,0.45,0.592593,35.542857,0.047304
100,803F2CCD,,0,1,1,0,1,1,4,0.413793,0.472222,0,0
101,750A59D3,,0,1,1,0,1,1,3,0.5,0.566667,0,0
102,6F75A518,,4,1,5,4,1,5,1,1,1,18,0.030527
103,7BCFF474,,0,2,2,0,2,2,2,0.625,0.7,0,0
104,8080BCCB,,0,1,1,0,1,1,2,0.666667,0.75,0,0
105,77EAC0FF,,0,3,3,0,3,3,3,0.4375,0.52381,0,0
106,725493D0,,1,0,1,1,0,1,0,0,0,0,0.002777
107,7E24127D,,0,3,3,0,3,3,3,0.5625,0.648148,0,0
108,7A883B04,,1,0,1,1,0,1,0,0,0,0,0.002777
109,8170FB55,,2,1,3,2,1,3,5,0.319149,0.371111,38,0.007635
110,7E409A3D,,1,1,2,1,1,2,7,0.253472,0.277299,82.9,0.004025
111,7FC47FC5,,1,0,1,1,0,1,0,0,0,0,0.002777
112,7CC98D73,,5,0,5,5,0,5,0,0,0,0,0.132239
113,7A2DA630,,0,2,2,0,2,2,4,0.421053,0.541667,0,0
114,75573250,,0,2,2,0,2,2,1,1,1,0,0
115,77B83940,,11,4,15,11,4,15,3,0.483871,0.577778,64.5,0.037066
116,7F29B5DE,,1,2,3,1,2,3,2,0.625,0.7,5,0.002777
117,75B3AD0C,,1,0,1,1,0,1,0,0,0,0,0.002777
118,0B8CFF40,,0,3,3,0,3,3,2,0.714286,0.8,0,0
119,79725013,,0,8,8,0,8,8,6,0.321256,0.387093,0,0
120,5B77DD72,,5,0,5,5,0,5,0,0,0,0,0.016659
121,77F4FEAB,,1,1,2,1,1,2,1,1,1,1,0.002777
122,812C1569,,5,4,9,5,4,9,3,0.52,0.615385,44.75,0.016659
123,5936A073,,0,2,2,0,2,2,2,0.625,0.7,0,0
124,7E8F0581,,0,1,1,0,1,1,7,0.236967,0.272381,0,0
125,77F6201F,,0,1,1,0,1,1,4,0.36,0.425926,0,0
126,7E16D608,,0,1,1,0,1,1,2,0.666667,0.75,0,0
127,782A66E7,,3,1,4,3,1,4,8,0.211268,0.254762,48,0.117132
128,7F15536D,,0,3,3,0,3,3,7,0.262976,0.303195,0,0
129,77A6E821,,0,3,3,0,3,3,5,0.32,0.376667,0,0
130,7E3299F4,,0,7,7,0,7,7,6,0.342175,0.400129,0,0
131,7E140BEE,,0,1,1,0,1,1,8,0.209302,0.249947,0,0
132,6DD38A49,,0,3,3,0,3,3,1,1,1,0,0
133,7FFC0DAE,,2,4,6,2,4,6,2,0.7,0.785714,56.4,0.021032
134,7599F55D,,1,1,2,1,1,2,3,0.5,0.566667,5,0.002777
135,6D8EA314,,2,0,2,2,0,2,0,0,0,0,0.008646
136,7DE1187F,,0,1,1,0,1,1,4,0.375,0.472222,0,0
137,7EECA124,,0,1,1,0,1,1,4,0.376623,0.408046,0,0
138,5E601D93,,2,0,2,2,0,2,0,0,0,0,0.036799
139,80157FE2,,2,5,7,2,5,7,6,0.302326,0.362564,72.452381,0.005554
140,7C8ADCE3,,1,1,2,1,1,2,1,1,1,0,0.002777
141,7E5C7E38,,0,4,4,0,4,4,2,0.833333,0.9,0,0
142,7F54E9D3,,7,3,10,7,3,10,1,1,1,22.333333,0.024709
143,78C7AB14,,0,2,2,0,2,2,1,1,1,0,0
144,7D3796FE,,0,1,1,0,1,1,1,1,1,0,0
145,81431585,,0,3,3,0,3,3,6,0.328467,0.369136,0,0
146,8052A44D,,0,1,1,0,1,1,1,1,1,0,0
147,76A5909E,,3,2,5,3,2,5,4,0.361111,0.442308,37,0.008331
148,77841166,,0,2,2,0,2,2,8,0.197767,0.22259,0,0
149,762C513D,,0,2,2,0,2,2,1,1,1,0,0
150,58A64AFA,,6,0,6,6,0,6,0,0,0,0,0.019436
151,6EC92A46,,0,1,1,0,1,1,1,1,1,0,0
152,79529622,,1,2,3,1,2,3,4,0.441176,0.511111,13,0.002777
153,808223E6,,0,2,2,0,2,2,2,0.666667,0.75,0,0
154,08165A76,,0,1,1,0,1,1,1,1,1,0,0
155,790AA726,,0,3,3,0,3,3,4,0.381818,0.460317,0,0
156,78BB60D5,,3,1,4,3,1,4,1,1,1,3,0.009579
157,77F66EBD,,0,1,1,0,1,1,1,1,1,0,0
158,5ED3EA5D,,0,1,1,0,1,1,5,0.35,0.445238,0,0
159,75F6219A,,0,1,1,0,1,1,1,1,1,0,0
160,7EAE22EB,,0,1,1,0,1,1,4,0.307692,0.361111,0,0
161,7F618C0B,,6,4,10,6,4,10,6,0.314516,0.385897,481.904762,0.031845
162,77697209,,1,11,12,1,11,12,3,0.65625,0.753968,17,0.002777
163,7595122A,,0,2,2,0,2,2,7,0.264865,0.297182,0,0
164,5AA548D4,,0,2,2,0,2,2,3,0.473684,0.555556,0,0
165,796072BF,,2,4,6,2,4,6,5,0.358491,0.426316,80.666667,0.008051
166,796E6702,,0,2,2,0,2,2,6,0.308483,0.350972,0,0
167,011C2D8A,,1,0,1,1,0,1,0,0,0,0,0.005551
168,82FBCB28,,0,5,5,0,5,5,7,0.249516,0.291824,0,0
169,7DE52B87,,1,0,1,1,0,1,0,0,0,0,0.002777
170,7B640F4C,,1,2,3,1,2,3,1,1,1,2,0.002777
171,80243CA2,,0,6,6,0,6,6,4,0.392857,0.456061,0,0
172,7E448213,,7,6,13,7,6,13,6,0.337079,0.418611,430.452381,0.030813
173,7FD7C0A0,,1,0,1,1,0,1,0,0,0,0,0.002777
174,7DA0621C,,0,3,3,0,3,3,3,0.448276,0.538462,0,0
175,5885C3D3,,1,0,1,1,0,1,0,0,0,0,0.002777
176,7F405981,,1,0,1,1,0,1,0,0,0,0,0.002777
177,0C1C44E6,,1,0,1,1,0,1,0,0,0,0,0.002777
178,7F0BF26F,,0,2,2,0,2,2,8,0.212329,0.2524,0,0
179,751C861C,,12,3,15,12,3,15,3,0.625,0.766667,98.75,0.050422
180,5A5C2C13,,1,0,1,1,0,1,0,0,0,0,0.002777
181,77D167F3,,1,0,1,1,0,1,0,0,0,0,0.002777
182,79BD9F06,,2,5,7,2,5,7,4,0.408163,0.529167,4.5,0.005554
183,79DA40ED,,1,0,1,1,0,1,0,0,0,0,0.002777
184,78DB638C,,0,6,6,0,6,6,5,0.364583,0.470476,0,0
185,5F212E49,,0,2,2,0,2,2,3,0.466667,0.571429,0,0
186,80EF80A4,,2,1,3,2,1,3,3,0.5,0.611111,6,0.005554
187,7D68A994,,0,1,1,0,1,1,1,1,1,0,0
188,7594A4C5,,0,1,1,0,1,1,9,0.18,0.224724,0,0
189,7E3C89FE,,0,1,1,0,1,1,1,1,1,0,0
190,7823B06B,,0,2,2,0,2,2,3,0.545455,0.638889,0,0
191,80F8BB3C,,0,2,2,0,2,2,7,0.209184,0.256562,0,0
192,7C5AAA1F,,1,2,3,1,2,3,2,0.75,0.833333,1,0.005551
193,7DA4333B,,0,2,2,0,2,2,1,1,1,0,0
194,7EC9628C,,0,1,1,0,1,1,2,0.6,0.666667,0,0
195,7A521808,,0,8,8,0,8,8,6,0.334184,0.393003,0,0
196,79B16F84,,1,1,2,1,1,2,2,0.666667,0.75,1.333333,0.002777
197,80147C91,,1,0,1,1,0,1,0,0,0,0,0.002777
198,0827B238,,0,1,1,0,1,1,5,0.33871,0.384127,0,0
199,76569778,,0,4,4,0,4,4,5,0.313725,0.454167,0,0
200,8136169A,,1,3,4,1,3,4,1,1,1,2,0.002777
201,76A0094C,,1,2,3,1,2,3,2,0.666667,0.75,3,0.002777
202,80EDF3CE,,0,2,2,0,2,2,3,0.571429,0.708333,0,0
203,7F4642F0,,9,4,13,9,4,13,3,0.461538,0.546296,181.516667,0.056617
204,7EEDADD9,,0,3,3,0,3,3,3,0.538462,0.666667,0,0
205,5DC305F8,,0,1,1,0,1,1,1,1,1,0,0
206,6EFCE74F,,0,2,2,0,2,2,6,0.270408,0.306604,0,0
207,792D4E99,,3,1,4,3,1,4,1,1,1,4.5,0.010265
208,7D77746B,,0,4,4,0,4,4,3,0.529412,0.666667,0,0
209,71F4616F,,12,0,12,12,0,12,0,0,0,0,0.088484
210,07035DF2,,2,2,4,2,2,4,7,0.242248,0.272362,7.875,0.008051
211,795C95A1,,0,1,1,0,1,1,2,0.666667,0.75,0,0
212,806A05D3,,1,1,2,1,1,2,5,0.363636,0.426389,21.410256,0.004711
213,5E2DADC4,,0,1,1,0,1,1,1,1,1,0,0
214,5B63AB2D,,1,4,5,1,4,5,1,1,1,7,0.004025
215,5FC0053B,,1,0,1,1,0,1,0,0,0,0,0.002777
216,5EE5FD05,,1,0,1,1,0,1,0,0,0,0,0.002777
217,816472CA,,20,8,28,20,8,28,4,0.511111,0.630435,2950.388889,0.220973
218,812CD9F0,,1,7,8,1,7,8,6,0.327004,0.375269,30.37619,0.002777
219,7FEB10F2,,0,1,1,0,1,1,1,1,1,0,0
220,810E30B0,,27,3,30,27,3,30,4,0.38806,0.455128,768.988889,0.110653
221,78E5537F,,1,0,1,1,0,1,0,0,0,0,0.002777
222,765E8E1A,,1,0,1,1,0,1,0,0,0,0,0.002777
223,7857440D,,0,2,2,0,2,2,7,0.240385,0.267429,0,0
224,7E317CA3,,12,8,20,12,8,20,4,0.4625,0.54955,371.832143,0.040813
225,7E231F54,,1,0,1,1,0,1,0,0,0,0,0.002777
226,76231E5F,,1,0,1,1,0,1,0,0,0,0,0.002777
227,0915E85E,,2,0,2,2,0,2,0,0,0,0,0.005554
228,7DAE5B93,,0,2,2,0,2,2,1,1,1,0,0
229,80600816,,1,2,3,1,2,3,2,0.666667,0.75,1,0.002777
230,77E08C3C,,0,2,2,0,2,2,4,0.365385,0.434211,0,0
231,79ABC9E8,,0,4,4,0,4,4,3,0.578947,0.666667,0,0
232,76221630,,0,3,3,0,3,3,3,0.571429,0.666667,0,0
233,80B25939,,0,3,3,0,3,3,3,0.545455,0.611111,0,0
234,69FF2EB3,,0,1,1,0,1,1,7,0.243902,0.281905,0,0
235,81635C4A,,0,3,3,0,3,3,3,0.583333,0.690476,0,0
236,7E3BF479,,1,3,4,1,3,4,2,0.8,0.875,4,0.002777
237,78FE576A,,0,1,1,0,1,1,1,1,1,0,0
238,81696610,,0,1,1,0,1,1,1,1,1,0,0
239,7E154E60,,1,2,3,1,2,3,1,1,1,2,0.002777
240,7D3F41AB,,0,3,3,0,3,3,9,0.200927,0.240098,0,0
241,811FEC65,,0,3,3,0,3,3,6,0.271605,0.337121,0,0
242,7F1F4465,,2,0,2,2,0,2,0,0,0,0,0.005554
243,7EB97528,,4,0,4,4,0,4,0,0,0,0,0.302442
244,7BDA36B8,,0,2,2,0,2,2,1,1,1,0,0
245,80C6FA3E,,0,1,1,0,1,1,2,0.666667,0.75,0,0
246,7CEEB5F7,,7,2,9,7,2,9,2,0.666667,0.75,14.5,0.039869
247,0B39EC26,,2,0,2,2,0,2,0,0,0,0,0.1181
248,75C47E6A,,2,1,3,2,1,3,4,0.375,0.427778,29,0.005554
249,7CC4587B,,0,7,7,0,7,7,5,0.347458,0.39878,0,0
250,7AD29FB9,,1,1,2,1,1,2,4,0.346939,0.382353,17,0.002777
251,75D8BCFD,,0,3,3,0,3,3,7,0.257812,0.345022,0,0
252,7C848458,,0,1,1,0,1,1,4,0.388889,0.464286,0,0
253,7F489851,,1,3,4,1,3,4,3,0.538462,0.666667,2,0.004025
254,7EDB7DB7,,0,1,1,0,1,1,4,0.428571,0.513889,0,0
255,7E2E34D6,,1,0,1,1,0,1,0,0,0,0,0.002777
256,79AF77CD,,16,1,17,16,1,17,1,1,1,38.166667,0.124988
257,78D54798,,1,2,3,1,2,3,1,1,1,2,0.002777
258,7D934CBB,,0,1,1,0,1,1,2,0.571429,0.625,0,0
259,74F82595,,0,1,1,0,1,1,1,1,1,0,0
260,7A2F2834,,16,0,16,16,0,16,0,0,0,0,0.157113
261,81571646,,2,3,5,2,3,5,1,1,1,4.666667,0.009854
262,79A853D6,,1,0,1,1,0,1,0,0,0,0,0.002777
263,7DB6A23C,,0,5,5,0,5,5,5,0.4375,0.605952,0,0
264,7BF9CD89,,2,0,2,2,0,2,0,0,0,0,0.007161
265,75254C12,,0,1,1,0,1,1,4,0.342857,0.395833,0,0
266,7068B645,,1,0,1,1,0,1,0,0,0,0,0.002777
267,7BC8DDC9,,3,0,3,3,0,3,0,0,0,0,0.010828
268,7C3B4512,,0,3,3,0,3,3,2,0.636364,0.714286,0,0
269,767DE289,,1,1,2,1,1,2,1,1,1,0,0.002777
270,7DAD286B,,1,1,2,1,1,2,4,0.342857,0.395833,12,0.002777
271,791D5934,,1,3,4,1,3,4,1,1,1,3,0.002777
272,7B24507F,,2,0,2,2,0,2,0,0,0,0,0.008328
273,7CF22724,,0,1,1,0,1,1,3,0.458333,0.5,0,0
274,80F77A3D,,4,2,6,4,2,6,6,0.270408,0.306604,139.5,0.012356
275,797F1FB0,,30,0,30,30,0,30,0,0,0,0,0.271682
276,5999B5AC,,0,2,2,0,2,2,3,0.5,0.633333,0,0
277,75D3F6DD,,1,1,2,1,1,2,1,1,1,1,0.002777
278,76F5F22F,,1,1,2,1,1,2,2,0.6,0.666667,3,0.002777
279,59DD4AA3,,0,1,1,0,1,1,2,0.6,0.666667,0,0
280,047589A5,,2,0,2,2,0,2,0,0,0,0,0.013223
281,0C1150B6,,2,0,2,2,0,2,0,0,0,0,0.013033
282,7BF8F865,,1,0,1,1,0,1,0,0,0,0,0.008684
283,796A67CF,,0,1,1,0,1,1,4,0.346154,0.393519,0,0
284,7AB23632,,0,3,3,0,3,3,1,1,1,0,0
285,7CEAC9A3,,1,0,1,1,0,1,0,0,0,0,0.002777
286,80B0986E,,0,2,2,0,2,2,2,0.75,0.833333,0,0
287,7F12D6E1,,0,3,3,0,3,3,2,0.8,0.875,0,0
288,7EDFEC4A,,1,0,1,1,0,1,0,0,0,0,0.002777
289,713ABD9A,,2,0,2,2,0,2,0,0,0,0,0.00708
290,5D984D4E,,1,0,1,1,0,1,0,0,0,0,0.002777
291,7DC2B485,,0,4,4,0,4,4,7,0.244186,0.314097,0,0
292,78A5801E,,0,1,1,0,1,1,1,1,1,0,0
293,7F5384F7,,0,1,1,0,1,1,2,0.666667,0.75,0,0
294,7645885E,,6,0,6,6,0,6,0,0,0,0,0.019713
295,7BBEA7A8,,2,0,2,2,0,2,0,0,0,0,0.005554
296,80D237D8,,0,2,2,0,2,2,7,0.247444,0.274065,0,0
297,7947EC23,,9,0,9,9,0,9,0,0,0,0,0.042608
298,7F3F299A,,1,1,2,1,1,2,4,0.375,0.427778,7.5,0.002777
299,7C8F5F98,,7,0,7,7,0,7,0,0,0,0,0.089005
300,77C23EAD,,0,3,3,0,3,3,3,0.442308,0.5,0,0
301,7CE6373D,,2,0,2,2,0,2,0,0,0,0,0.012855
302,45AF6488,,1,1,2,1,1,2,1,1,1,0,0.010846
303,7DB7DB38,,0,1,1,0,1,1,1,1,1,0,0
304,810DEA87,,0,1,1,0,1,1,2,0.666667,0.75,0,0
305,76592B06,,0,1,1,0,1,1,9,0.18,0.224724,0,0
306,7DCE5FEC,,0,1,1,0,1,1,2,0.666667,0.75,0,0
307,77D15CFD,,0,1,1,0,1,1,4,0.326531,0.380208,0,0
308,7F710180,,0,2,2,0,2,2,5,0.349206,0.412121,0,0
309,7F882636,,1,1,2,1,1,2,2,0.666667,0.75,0.5,0.002777
310,7639D773,,2,1,3,2,1,3,1,1,1,4,0.008051
