Paper_ID,Paper Title,Year,Indegree,Betweenness
800D9974,Centroid-based summarization of multiple documents,2004,174,244
7EA3EFF7,Focused Crawling Using Context Graphs,2000,173,55
7B67FDF4,Fast and effective text mining using linear-time document clustering,1999,172,77
782B14AC,ConceptNet — A Practical Commonsense Reasoning Tool-Kit,2004,171,107
6848153C,Efficient Filtering of XML Documents for Selective Dissemination of Information,2000,168,100
80580560,A probabilistic model of information retrieval: development and comparative experiments Part 2,2000,163,2216
7758C523,Improving the effectiveness of information retrieval with local context analysis,2000,158,2166
7CEE121E,Adaptive web search based on user profile constructed without any effort from users,2004,155,370
814C71BB,Web Spam Taxonomy,2005,148,50
7C85E674,The Measurement of Textual Coherence with Latent Semantic Analysis.,1998,148,143
7B0F0125,Distributional clustering of words for text classification,1998,146,731
753F4DA2,Generic text summarization using relevance measure and latent semantic analysis,2001,142,322
806E7AE3,"Real life, real users, and real needs: a study and analysis of user queries on the web",2000,139,180
5D578C66,Corpus-based and knowledge-based measures of text semantic similarity,2006,136,253
7F108C9B,Ranking on Data Manifolds,2004,134,147
816FE39A,The perfect search engine is not enough: a study of orienteering behavior in directed search,2004,133,78
794827F5,Summarizing text documents: sentence selection and evaluation metrics,1999,133,1758
7DEDED2C,Movie review mining and summarization,2006,133,74
766C98BA,Query-based sampling of text databases,2001,132,515
7D568AF1,Peer-to-peer information retrieval using self-organizing semantic overlay networks,2003,132,146
5D3A31DC,Query recommendation using query logs in search engines,2004,130,343
7FB4861E,AdaRank: a boosting algorithm for information retrieval,2007,128,296
7D7A259C,Probabilistic models of information retrieval based on measuring the divergence from randomness,2002,125,570
74D3A5A0,"An effective, low-cost measure of semantic relatedness obtained from Wikipedia links",2008,124,130
7F4E6307,Probabilistic query expansion using query logs,2002,123,1409
7F3441E6,Query chains: learning to rank from implicit feedback,2005,122,1607
75A6D5C4,Clustering user queries of a search engine,2001,121,2355
76C3E2CA,An experimental comparison of click position-bias models,2008,119,378
