Id,Label,indegree,outdegree,Degree,closnesscentrality,betweenesscentrality,Authority,Hub,eigencentrality
0,7F9AF423,2,11,13,0.304878,350,0,0.004337,0.001756
1,0ABA86A4,0,3,3,0.201742,0,0,0.000185,0
2,7A6041B5,3,6,9,0.356322,67.298217,0.001871,0.00825,0.002634
3,7D78E547,0,7,7,0.272727,0,0,0.024503,0
4,01524FA3,0,1,1,1,0,0,0.000191,0
5,76DF70A9,0,1,1,1,0,0,0.00002,0
6,77967773,1,2,3,0.239905,13.666667,0.000425,0.000047,0.00135
7,7763856C,1,0,1,0,0,0.000034,0,0.000878
8,7FAE7C8E,0,1,1,0.257453,0,0,0.000022,0
9,7FA925CD,0,2,2,0.221024,0,0,0.001032,0
10,7CE3A409,0,9,9,0.249502,0,0,0.000938,0
11,7E38F812,0,3,3,0.227083,0,0,0.000325,0
12,7EB5A725,3,1,4,1,3,0,0.011052,0.002634
13,7CA070CD,0,7,7,0.284114,0,0,0.023825,0
14,7D31B5DA,0,2,2,1,0,0,0.004008,0
15,089080EA,3,0,3,0,0,0.001901,0,0.004106
16,77CD3C82,0,1,1,0.314516,0,0,0.000619,0
17,5C19007C,5,5,10,0.326087,163.564261,0.001555,0.009206,0.005515
18,62DA15A2,0,6,6,0.276644,0,0,0.000754,0
19,7C92474C,1,0,1,0,0,0.000068,0,0.000878
20,5EBA4DD7,4,4,8,0.283668,148.655913,0.001938,0.002471,0.003801
21,06F92C5B,0,3,3,0.304615,0,0,0.007718,0
22,81437A84,16,3,19,0.350649,506.803012,0.003543,0.003259,0.014871
23,7D4FA28D,3,3,6,0.269439,19.847619,0.000136,0.001689,0.002878
24,05814A25,1,0,1,0,0,0.000001,0,0.000992
25,59D5BFEE,1,0,1,0,0,0.000017,0,0.001
26,7EB3F7B0,1,0,1,0,0,0.000129,0,0.000992
27,5F860251,3,1,4,1,4,0.000008,0.000037,0.002748
28,7EB42496,27,0,27,0,0,0.024539,0,0.044598
29,5A07B53B,2,0,2,0,0,0.000872,0,0.002801
30,765588D1,0,1,1,0.263941,0,0,0.002775,0
31,7E8C21FD,0,2,2,0.555556,0,0,0,0
32,7E3BAE40,0,3,3,0.5,0,0,0.006144,0
33,7F32BE81,0,2,2,0.272921,0,0,0.000936,0
34,5F25B700,0,3,3,0.281579,0,0,0.004756,0
35,7CDC9022,1,0,1,0,0,0.000345,0,0.000878
36,7B6BF9AD,0,1,1,0.378378,0,0,0.005772,0
37,7F817E5D,0,3,3,0.26283,0,0,0.000729,0
38,7D314681,0,13,13,0.319066,0,0,0.016324,0
39,7A3B32C4,0,9,9,0.299758,0,0,0.002784,0
40,590EE414,4,8,12,0.287302,37.246717,0.001303,0.006905,0.003977
41,8118E886,0,3,3,1,0,0,0.020958,0
42,7E3ADA45,1,0,1,0,0,0.000238,0,0.000878
43,01D023DD,1,5,6,0.271454,43.840335,0.000047,0.000662,0.001107
44,7E772682,1,8,9,0.274959,2,0.000207,0.001419,0.000878
45,80571BAC,1,1,2,0.246696,0,0.000513,0.001712,0.000878
46,7F365DCF,3,8,11,0.297602,210.059993,0.003758,0.015388,0.002634
47,81DB4C02,1,0,1,0,0,0.000757,0,0.00161
48,5DE263A7,2,0,2,0,0,0.000014,0,0.002252
49,78975DA8,1,0,1,0,0,0.000097,0,0.000878
50,028BE359,83,7,90,0.324561,9719.696955,0.047488,0.017708,0.120109
51,805471AF,4,14,18,0.356061,595.135609,0.002493,0.016879,0.005073
52,78C5BA00,1,5,6,0.254438,7.236111,0.000369,0.00059,0.000878
53,75FA7280,0,15,15,0.3135,0,0,0.008444,0
54,717A99A7,0,7,7,0.262895,0,0,0.00088,0
55,7C0BF81A,1,0,1,0,0,0.000397,0,0.000878
