7D1648CC	5FC5A2D1
7BCAC0C2	07BBBC93 38E99C0C 105E447C 7229A9C2 47D9D5E9 040A7879 7E6A35A6 65D6A8FB 2548FC56 805BC773 0CC61D9A 7EAD3652 7A06589D 03C4B5AB 0A406BD5 3D40E104 7F20B58F
79044EDF	78BC7A71 7D790D73 8059669C 80AA40E6 7DF86ECA 7A549639 5866FA58 763AA898 786EFA07 5B190B67 7EC1B232 5B287497 5C8275E8 5F86818B 80BB6721 77543CC6 80F12E55 7F8CFC3D 7717557C 7AD183B2 80DC006E 7DF571EC 7FDD4B93
7B8D943C	80ADA81C 0086716B 68996528 7AFFBE95 12C96B10 7810623C 7D20ACB7 7EEED6E0 5A19C34F 6910E9C4 6DB9AAA7 72CA24F7 7BA870A4 5FA4E2B7 73FED56B 7910FB13 80DAD72C 5DAA029C 6F5DAEC5 80BB6721
79A27D60	788E9EA3 02DF2779 76DD8064 7A9A21D8 7EA88DC0 7D88AFD2 0B8562AC 596ACC35 75FED5A3
5ADC727F	7C70E1B5 0B9E5615 050E435B 054B5F68 027C48C6 77FE1CC4
7CF96C3B	77426C16 77E21B0F 787187BB 7A2A29DC 5E14A80A 7513F80A 7BDD0A0C 7C15F7DE 7A27E75A 75205FBB 7984EB1C 79CD3013 7C405989 779CD37E 77CF2901 77745CD1 750B583B 7B18B23A 7D2D552A 077EBA88 80CB8BDA
803E2456	58D85C33 75EC2F49 5E6745F1 0B9EBBF3 7717557C 7DC4D00C 7ACFD432 810202BB 093EF642 8149E0C8 7D9A97B7 2C9F6EC4 7E59A083 588168D5 7C64A48E 730C865C 7BD97B8D 816062BB 765C411F 7BAB9F7B 5AD22141 7DBB7D59 7D1DD257
788B7B63	59A502E7 5A38CD83 77D1AD80 5FB27DA9 7628D68E 0B1BCD0F 7A590FF7
7B4B23D5	78D4F52F 59320B0C 5F22F9EB 584E66D0 7F5D8A13 7F725D33 7FC7B28C 81316FB8 056C8408 5EC01292 7DD4489E 8188BF82 5D964C68 03A9AAD0 7D99CFD6 6B511E7A 7AB54FBA 7D44178B 7DC9A7DB 022DD89A 7C5335BE 0A0743D1 7DA7BA7E 5F0C3FA4 017C2E8F 798DE486 7872A6BD 7E6AAA21 7F1F5E32 7C59AFE7 80D4A844 7F341408 62232664 80DB18D7 7930EFA8 8019F6EB 7A0801EC 003D43F8 5C92E693 08847C5D 5A19C34F 7DAB2108
7F8E333E	763A20E5 7D0CE7A9 013DDD0B 7F80F69B 773878D7 8019F6EB 80E67720
810712A6	75A8C74A 7F3658AE 7A7E227A 5EE2E494 7F21FE81 6EEF0070 77AA313E 7E6BA3E8
7D7A8DA1	5E66CC07 7702D63F 7ABB7697 7723B280 786AB4BE 7E646A94 7B644C33 76F2C1C2 5BACE8C9
6D8991A0	583C2FBB 751C6734 5CBF4D72 064DF15C
7E911D9B	784FA041 5AF4603F 5CF9E2E0 0388B4BB 082D8BC1 62539784 58517606
803FA931	7A67D11F 7E6ECF8A 761F62EA 7BB3E8AC 7FAE99BF 0035D506 5EC9C4FF 5E660A2D 7A5AAD45 7DDBDF23 5C4A407D 0912B54D 040AD937 00208456 5A40861B 780620EC 7F08C554 5F6B17C8 7737FE50 75FAB409 810B6FBE 7E597189 802E41D0 8220004D 06D9AFCA 57CD0912 7D72CE15 00E2B4EC 7B3E03F9 037E71B9 7F47A216 77FBCECA 7E839D51 7EE11A8B 809DC446 79AC5A62 76987969 21B0AD0F 7FAD70EE
7F62DF4A	028093D0 6DF7DFA0 056C8408 5A3DB87D 07D5AF1A 75BF3E12 8019F6EB 763E0817
800FB406	7847F31D 774707B4 5E1B3013 15C48B14 7D8C546F 7F5599AB 5D7488A9 0F040CC6 7A7A213F 8001202B 0B8D4013 04AC6685 5940CA84 2DAC2174 5CBDDDC6 80DAD72C 79D79436 03AA98A1 59681953 5B50E56E 80A831F1 7849ACFD 7B2313F5
80D3B796	5AA5C48D 75B8288B 7E2C63B9 7F30060C 751CEE73 75E9E0B0 589530FA 7CF46E5F 5CF9BDA5 7F65DC56 80F2F450 76A41E9A 74C7E1BD 78AFEF25 77DB9635 7E4C9960 5924660A 7E869160 7628F5BF 7A457F65 7C69C157
70FE38AF	7B227AD5 7AFF873A 79DCC1BF 79C6F7CF 78E461D1 79566479 777D9274 77B17F6D 80599432
7EBA0BD2	7A48EF29 80ADA81C 7F79614A 58FEFB28 80B94AAA 7E791BA1 80FD4FE7 80B55C20
80C9EE88	7F3BE916 77DA4C98 7F205640 7B100FF3 7CEF078F
8001613E	5F34338D 5D5403BB 774ADEDC 5C93430C 7A6EEB0C 81189131 752C4539 80F382F4 7E835A37 5CB292F8 23594883 80C95BC1 7AE501B1 7D20ACB7 7A8EB31E 793DBC76 7A4E3176 77E93D2A 7719DF2A 788CE2F2 75DD2267 78C59AF4 79694613 7E1C4DD3 78CC1B8F 7EA7928E
