7FAB472E	7A257281 76F8E2F7 7E82D131 77271972
7FC55BC4	5DAD061F 7730B91E 5F436B87 086EDB66 5CA663C5 7E5D6CC6 7E669E76 800620F7 7E7FA93D 77B2D3AB 7DA2B013 7E5F6715 7E582790 7EDFD25E 7EBFFBBE 803CA4E6 8074A90A 7EFFF297 799D3394 7E118EEF 08223FB5 6D8844EE 783C29AB 7C632F84 7EB49DFE 7C2FF84A 808A0F7F 79BC5279 7D62E4ED 7B9DB627 5AA35C16 7BE64836 758A0995 810EC25A 5E394056 7817D838 789EAD7D 5CAC6A8E 6AC81266 8071C7C5 7E1FCF4B 7C272F29 7C2DFE6C 81480ADE 743CEEDD 7534DA6E 854FB044
7D146D15	07811B27 5FC5B0D8 8030711D 0962C732 09D137B2 8035F555 5C67A7C8 58EE5C69 58DE4A4C 01659211 7C00D9FC 7D963C01 7E29B1D0 06BABB36 5E7073E2
7E8300EB	803D0D0B 7B822A67 7FA8F1B5 81162556 813573F7 7F5EDA30 813942E9 8068D892 2C6FF134 7D330407
7EAA676B	773587E4 80F002B5 807448FC 7FC37BF8 7DB13E18
7F927639	7DBEEE03 5D7D9DD6 806553AE 5BF17F8E 7EC06E87 79375F47 7B5393C2 80A373FB 7BED3CAA 80227483 7F15044B 81526426 7FD535A7 5B18B33D 7D8F40F7 1114E607 7AD3E400 7E974F08 80834DEE 7D1DE51B 7E7C0518 5DDF156F 0148A94D 7012E6D7 76CF1CEE 805E25EB 613B0E36
7CCFAFF6	7B0FF34B
7F0DA77B	77C416FC 7AE160C0 800A8251 62E5DF72 5BC866AE 7CB4EBB3 593F9FFD 5FD31007 799608A3 72F84459 78BE4D68 0189447A 5888356A 7E52A01D 772B64B7
7FB6E17E	7791D708 75491166
7C33AD49	113A2FBF 7BD75654
7F43452B	803D0D0B 7CF1E95E 75AEC1E9 7E6E9CBA 75C28142 7F57E457 8118B836 7607337E 7F577988 02F8D010
81679456	5B022D8D 805A908E 7B361AA4 7FAB11A0 052506F1 5D5C6466 767C284A 5EC15D00 7751C870 5F59CAC1 599D142F 7979799C 7AC56360 752AB856
7EFC7117	7D304685 78990575 7891DC8C 7F53830E 7A595E55 70A9C51C 6428F362
7FD1F9F5	7B5FEB41 7933C8A4 039E40EF 7EDCAB99 75455212 7624C895 0C3E324E 7D328497 5A3A3C8E 5C5839A7 77863C35 7D0FAECD 7C0D34CA 7F612DD6 7B61551E 5EDDFF61
7F94378C	58FBBA43 7E7ABE10 76F1786D 7CF76851 6F8F51C0 75BCB67C 80FD9DE9 812CEAA4 809149DA 8050064D 7EE0AE0C 8072DA88 5C9DA055 794148E6 755BA24D 6F63DC3E 7DDA55CB 7D290794 76EB7C35 7F83453B 60DB95BC 801F4D80 5C33B621 778C2710 8517AE29
7F6AB96D	7FBEB132 7BBED825 8135F781 7DB25884 0B6E7E46 77DEBD78 7F776343 8136B2B3 7F743F74 7F980572 813D5FF4 59AA77FC 0314287A 7AD1251C 7D80D2E2 7A060BF4 7E87EA45
7F0F8709	7824F0CC 7E7792A4
7DE3F002	7DE170E9 7E752EB9 5F436B87 8144797E 801C6900 81752C28 7921BF83 814CD270
803D67E4	7F4FC72C 0500845D 74CF67A0 7FBF8304 79D2959D 800A3B52 8088C627 5CFBEC12 7DAC494A 0040A198 80700961
815A7C49	68472993 801176C5 727C30D7 7E55FDC7 054FA48D 814B3288
7DAAB38B	7669B4E8 7A55B1DE 09D4858E 031587B9
7706E882	80366501 7F982DD7 02643F96 7C4BB8D8 79E9E6CE 7F18E93C 8627953A 7804C70C 7E30D880 7F0FF89C 766F18F9 86298CA5 7B4B8790 862DB873 7B51C698 7F53AC20 80A297B3 7E8C967B 70EADA47 827BC3B7 26AE259F 7F98DDE9 7D30A99D 7F77A3BC 79CD840F
7EDBCCF0	5C8AB516 7EFE7EAF 5B102FBD 7D5712E6 58A43FBD 7F394F17 6B1E7575 7ACAC47B 7D35CF22 75777698 58879A77 81598750 7DAC9295 5D6E1CF3
8151463A	7EC46970 7FECDB98 78301353 80D2D6DB 7F9AAA37 101FC980 8016EE35 7CE4C917 70128864 7761AF90 7F3D6ABE 7CC69AE9 7B402A2B
7C255660	7514213F 7B9B1C26 7E241857 754B023A 76CA3793 781E991D 7803D112
7846432B	816A6D87 5F2BF881 5F8850A8 7B530F7C 7C8A5B10 7E93B269 7A76D166 00211B0A 752876E4 7978BA4C 7E1E93FF 77976214 7E30F712 817073D6 5E366E28
7EE1AE81	0756E49D 770E7C32 7757DFB2 7E42B42C 77D01589
7FA8CF57	7145D444 80A5DE1B 5ED4C3A6 7D57283C 5BEEE739 783F7838 5A06A3B6 00B4E659 7E65DDE2
7DE80EA5	768E9DDB 7E890EA4 7EA5A27D 0665C8BD 80C07DC5 7F9865E7 815B7B41
7F58A7C2	5E4FD53A 81209657 7EFC329F 7EBEA0D4 7D226E1E 80C7FF9D 7D86F2B2 7FCB536C 7F2154EA 7DA81380 26D11D20 812222F1 7F1E245F 7F6CCCDE
7ED18A31	814CDBE1 7D027B98 589EBE68 7AA6364F 8001646D 7F41311B 59B726AF 7F8B0DDD 7FE2BA93
7EAAF97B	00F3237C 76A4E3D5 7A1006FF 5EA40DC4 801507EC 24A97F87 02602D0F 7DEE83F1 6E95A346 5EF315C8 6ED6BBB0 64217376 7DEEB5FF 76B930CF 7966E101 7FCAEAA0 58BB020B
7EC29223	76F5E9C9 7D3C2538 780590A5
7DDA78A1	7786B5AB 022A977D 75280E8A 808D7B43 79251AFE 81693449 79F2D2F1 80828A75 791A544C 7F397B7D 0AE08AB9 5F6BCBE9 8094A537 80284E56
80C325C8	806FF108 7F0E9F1C 7D3E6D4F 6DF10FD2 5D56D935 78B0F278 63755F5F 742D35B9 5D777EB9 7D30D956 81F7D970
