7F9EFE2E	808D1407 7D262C2C 7D13BD6D 80D60D07 7D916A29 7DD23AD3 7BD10CBE 7F1C856E 7DD7BC41 8097BF51 7D025409 7CEAB55A
0B20FBAE	756CF312 61B1A771
6829A827	5A0D15B6 77CA01A7 7C43B6E0 78EDF66D 011DFC3F 78911BE2 77D83230 7C5B6718 587CBB40 0B521859 7DC76EBE 6A33EC93 5CED5F34 7E6ED76B 5C60E416 7F2CA464 769E32EC 5AA9913C 0B40E7BB 7F99C9A7
8126F1D0	75864A32 5E6021F8 7F6F08EB 7638DF34 77A33F20 7D612707 59FBE915 7D548D38 7870A1FA 0429D0BD 7D5D583C
004441E3	7D8C7D20 80343F37 0BD977E2 80A187E5 7EA7C17B 7BFD7B72 0478DA64 7A66F4DD 7DAABBEF 7D2E34B6 7EE5F9DD 7DCFB8AD
7E19674E	715EA462 81452B2A 5E5D9E3A 802CBC64 05CFCF6E 7A1C7DC9 7F7D15B8 0B0CF8ED 7E461698 7F014385 7E22E78C 783D6236 7A7DE1C5 07E8CB03 8021093A 0BF38566 5E3BC24C 59B16BB2 80781DD6 02AC1393 7BA47970 7E2D05AA 8089CE6F 5C3645AD 7D60268A 73D28BE8
80BA814E	5DCDDCC1 7F90B621 7EA9C51B 7ACEB6AA 7C4B3240 0303F086 09FC1691 5DDF156F 08D3E050 59A557CA 7F2A0ED7 80E01C78 8170556A 62528C71 8021EC0E 0237FA8C 7E3E6E2D 6A886314 6247FD76 7A3DD1B0 5D4DC460
77FF541F	7CA7E755 80B12C04 79BABCCB 5E79544F 7537398E 7A75FF81 7A6FB77C 7E54DAC7 7FE558A2 757BB126 8075C34F 7B6939C6 7E33262D 7A0469C3
80F82D3C	592E61A4 80AB88BE 6F622FCF 7DD1DB4C 5C7CDAF0 7D30F998 5A568894 7766EBB6 5A2525D0 02067FE6 7E89273B 61B1A771 7C43B6E0 5D4DC460 04D04DFD 5918680B 80656A0B 8639C73A
7E81D61E	5BDC9CD5 7B356ADE 7C5402AE 7D257314 064D9F08 8170556A 7CF119A0 7530F546 6247FD76 749EBC54 79835403 5FB20F79 814E2F4D 59A557CA 7EFFD54D 7DAA4EC1 7C91B301 02592BB8
7DCEB9A7	7E01DC53 599658BA 0CB642B6 240F780C 70968731 7D74B394 7ED518C6 7D6CADB0 7821E695 5D48C57E 7B5B7E2B
5B947BDF	80508A7F 7ED2F299 7B69D8E2 7CCB97C7 7FBAD9E4 78B1E657 5FB4DE45 7E05A45D 5EC97772 7D0F4DF1 7FE9F665 7D2D6CDC 759A48E0 5D2DD921 7F46000D 7DDC9DD6
7610A4BD	029676B8 7725D723 7F90B621 7D9332DE 7E40BF97 587FD39A 773FB43E 24C81202 7D1156EE 7D50045E 781C8E1A 7F072E49 7DA812F5 7F2EEF71 811DD37B 77DBC547 5F02FE51 7D7736B5 7FD24991
7884B919	5B5B032E 79D0EF1C 7E8B029C 76A9F33F 772563D0 7BA51DEA 7FF8337F 7AE03C72 7C6F8517 7F7E2426 77486665 7A85CC61
80DF6078	0218CF1D 81270CD4 09B1E87A
78E60E03	7996D9A9 7D696270 04C63987 7C78F873 7D24CFFF 758CB93F 79C66B75 7B3C9E7C 7D496C4B
5A95AE8F	758E0C19 0827011D 8021EC0E 5F70E1A4 59E736C0 5E00E583 77267DD5 7EA9C51B 5A0A9AE5
78A943C4	7AFFCD5F 79F2539C 7B6FA19C 08C2D193 773B0327 5DEE1FC9 5C079EBD 0C506F9A 04E4FCE2 78182DB6
81759BE1	7FC0FBB2 77286D88 5A34249F 7974ABE8 77267DD5 7E54A098 08B225C5 5EF42389 7821E695 7E8D734E 7B7D6EDF 8021EC0E 7A38DE82 7B685E64 773F5CFB 5A568894 5F587D80 79FEBE53 7CDF2937 5BBCC2A5 6411D2DB 5A0A9AE5 7C395D05 6E27ED49 7999C789 7AFA9998 7AFB01ED 5E0F9609 74C4EFBC 03B8A029 5F808E3B 7B63B193 7F3CE23A 5A8A3CC1 63E66364 76F6A597 77608E86 5E19C7FF 7F50C661
7A835936	0344D04C 5B975253 5CB759B9 5A0A9AE5 5E82EF62 80207711 7E94C8BE 798D6A3F 7F50C661 02E2EF2F 7A12255B 78F0AD23 5B953584 7B11E515 7CF54868 78690A9E 584497FB 7E1EEEC8 7FD0BD90 7A61329F 5A7FF5BE 81163D7E 6FCD75F7 62496F8C 7C301522 04231267 7D0AC1A7 8129BEF3 0944F306 63CDEA04 0712C164 58FF82EC 04BA8759 5D2A966F 5A0563FA 7DAA3E4F 014AA876
7F9C2F03	8021EC0E 7821E695 7FAA726B 7D029F4D 76F6A597 7763A0ED 7252FDE9
8023BB8D	8091D2D4 5A141C94 59A0F453 80B07372 7FAEC230 70FA6252 81368B69 2646EBC6
80D69D20	70BE9CB6 75976ECA 78A3469F 7D3485AF 80E7FA96 795F0697 05E4855B 7A0E3417 769D2945 77306098 7E6C1A41 814B378E 7785624C 236FEC93 80931CF4 7604C54C 5F02FE51 58DEE2BE 7893AF67 81508024 75C506F2 7B69D8E2 7EA8CB25 7C8F372E 791FF8B0 81754FFE 7987EFAC 5F69D1F2 5E15495E 7E4524E0 5D675337 7D245BEC 7DEDDAA0 7BC84852 2648836B
5CB43DAC	05148071 7EA9C51B 7A18D63D 599F338D 7F539BFA 5DFE89CF
06A3DC56	75FE5376 011DFC3F 8021EC0E 7C395D05 82011D15 779E4D25
7EB293D1	7F90B621 8156EEAE 805B7197 6A1B7A68 8039BFF4 08FF284D 7F1178B0 5BA61BA1 07409007 760893F5 00538093 7ECB0580
5A8F318C	7CDB828D 7E245523 7CCCCF9B 80DD088B 8128E969 7EDE10BD 80E12234
5A656BA6	77C02462 81543AD8 7B7A336C 7E178C53 7AACCA3C 7BF1C066 7EDDD5FA 7B61B072 7C691FED 7D78B27A 7C31B56B 812FBC8F
7FE7BADF	7F17DB81 7E274CB0 6409AE20 80EB8DEC 7E134F36 628195A3 2DDA222B 7FD2A9C1 7B9ABEA5 80428DCC 7A5C93D5 7D572707 80A2BB1D 7E208230 7D514F4B 7E7E9319 75CDF4E8 7C7E8D19 754AC901 7FFDDDEE 80C7FDD1 7D41EF62 7E3A428F 00511E98 5B492517 5F02FE51 7E1FD533 8014C2F0
7719C851	7DA1591F 7D43E90E 777B0234 7F2CA464 7FF0B780 80F49E74 79F64B7A 597749FA 8021EC0E 7A8FD006 7FD8A917 7FFB34E3 596A7F01 7B64C5DF 7D617148 78504EB3 7D70CD44 7D9E9488
08C3A708	8156EEAE 7B4E1464 80DE68B9 5CB83675 7FBE07E1 7EB563FF 0B1A1302 7E1942F8 809FE8F8
80F93DBE	5E658977 01F61E56 7CABC5CF 76C49D97 7CFF814E 77AC54A7 808FD230 7FB3C679 0E73B810 7DF586C0 7E0A9649 7F1C2084 7D014A2D 7F71A04F
7F13DCEC	7E54A098 76F0AEA1 7E5BB76A 7DEF67AE 776105CF 7A0999A2 8119F87D 7BB4F64B 5F9F5068 7C5B6718 619947F4 7B4E1464 588B6754 7CA0C70A 7D596D49 5DFE89CF 7B5EE6A2 5866D921 7E65981A 5F02FE51 774C12D8
78C74676	7A2E74B7 7C197E60 5E31A9FE 79CE8C2F
7D8DD24B	7E2744D3 6D43C62F 6E40A1A0 7DB346FE 7EC3A01A 7AD16281 0002EFED 80AA26AC 8106E07A 7DB91CDE 80CEB042 7D6F4B12 7F320DDC 7F33477E 7C487300 80724413 79AD650C 8081DD17 7F5D1E5D 7F97B224 79B3C142 7EA3B7BC 7E800F4C 7F368F82 7F41E265 7EBE7C63 7E65E7AB 7A790B48 80C6E257 786F761E 7EE1A199 80B72E58 7EF12DEC 7CE8F08F 7F70E674 7E68B2CB 7E734F25
7D99ABCF	5FC9E16B 7B499F6A 7795907E 79306BEB 7838A5AC 7B50949A 5EC133ED 5EEFA1BF 7AC320A5 7F601C55 5910D280 7976E768 7B7C7CBD 78A521FD 7CB74AA5 7E37C7FA 7EAF825D 7C4145DE 7E3C2D5D 7C946156 7C52B8FA 5E6A9CFF 76BA42A3 7A35A04A 01028F4F 76FABBED 765D4A8B 597655FF 5A4B2A34 5D509E76 77B329A6 76A73E1E 7DF5A315 7E7E03E0 7DC01832 7A5104B0 7F8F287F 7E870FB8 0515F537 7ABD9659 031CB1F7 760E9DB4 77F441E8 613C87EF 77A18F7E 7BB610F1 7EDB9DC6 5981E560 037B2173 5DF9EEB6 7AB8CDF5 8040CE68 80B32F95
764AEF98	76FBD59E 8021EC0E 7AD186E6 5EA21C77 092B87BF 7582CDAA 5D52FEA3 795CB0A4 7E99A60D 7C1C8E8C 75B2C5A6 5F8740CB 7C46E26B 7832EDBC 80888D74 0ADCE457 5F02FE51
067D27C2	5FA02166 7EA9C51B 7D1498A9
6F1BA089	81658378 03F1E9CC 7D8DA9FF 78BD0691 7EA9C51B 019FE3F4 080A7D49 7AB5C51B 6A1B7A68 7CCD4D25 6428C27D 7DD3A52B 7934EB29 75EE81A9 5F400EDE 0C2427B7 029DE0D4
75507D11	6E8F1AE6 80D5B223 80B8C245 780EB3D8 75558E30 7C169608 7AB96AD3 80E74CAF 78C63E80 7831EE5D 7708D4FE 7F45F2BA 787862F3 806A5EA8 7A1C4AD8 7B8916FC 7E242FB2 7811C0D0
7D46E0F3	801E11A2 6411D2DB 719E0B33 806C4E9C 7F4CA19C 7F99C9A7 7FFB5B14 67D722B4 5CAA4824 80F6A7FF 5E848630 70D3FB5D 7EB1BE9B 8033A60B 5987C41A 83CF418C 7E2BD533 758C5527 7A9A7DFC 7D89B210 7DB0A443 8022EB19 7DD6BCBA 802F74AF 79E204FD 783E20F6 60E33AF9 751F3814 6E811732 6C55CB6F
8016B316	7F778F79 7FCD436C 7FC1C1D7 7D14753A 78BE4497 81608BDB 78F66C8E 7FAA17E9 801AE443
5FA02166	04A01478 77267DD5 779E51C8 77D18045 09A2FB12 7BA7A523 081593C5 24781013 04A80B15
