Id,Label,indegree,outdegree,Degree,closnesscentrality,betweenesscentrality,Authority,Hub,eigencentrality
0,5FCC59D9,0,1,1,0.666667,0,0,0.029388,0
1,7A1C686F,0,3,3,0.318966,0,0,0.00243,0
2,7EDD69F1,2,10,12,0.493151,72,0,0.031999,0.001493
3,7E4D850F,0,1,1,1,0,0,0,0
4,04EE942A,0,1,1,1,0,0,0.000065,0
5,71E39879,0,1,1,1,0,0,0,0
6,7739DC23,1,0,1,0,0,0.000904,0,0.000746
7,76799382,1,0,1,0,0,0.000001,0,0.000746
8,7F1CC319,0,1,1,1,0,0,0,0
9,81306C0E,1,0,1,0,0,0.000015,0,0.001262
10,78259F5C,1,0,1,0,0,0,0,0.000746
11,7DCD63D1,0,2,2,0.305556,0,0,0.000764,0
12,5D25C398,0,1,1,0.5,0,0,0.000355,0
13,7BF031AE,1,0,1,0,0,0.00001,0,0.000746
14,7E65575B,0,1,1,1,0,0,0,0
15,7D2AEA26,4,0,4,0,0,0.000006,0,0.003111
16,7D69C60D,1,5,6,0.727273,2.5,0.000001,0.029753,0.000746
17,7DBFA157,1,1,2,0.5,3,0,0,0.000746
18,79CEC788,3,9,12,0.344523,549.157587,0.000244,0.002524,0.002552
19,7D822549,0,2,2,0.298507,0,0,0.000134,0
20,7C46D28A,1,0,1,0,0,0.000026,0,0.000746
21,78FC75A6,0,2,2,0.666667,0,0,0,0
22,8126F1D0,0,1,1,1,0,0,0,0
23,58A0E60A,0,1,1,0.5,0,0,0.000123,0
24,7E19674E,0,1,1,1,0,0,0,0
25,80BA814E,0,3,3,0.248936,0,0,0.029729,0
26,77FF541F,1,1,2,0.666667,4,0,0,0.000809
27,79F43BF1,0,1,1,0.205128,0,0,0.000001,0
28,7A04CCB7,0,5,5,0.200247,0,0,0.000119,0
29,7F3129C8,2,2,4,0.265823,17.9,0.000008,0.029499,0.001555
30,7DCEB9A7,0,2,2,0.238893,0,0,0.000125,0
31,5B947BDF,0,5,5,0.338843,0,0,0.001666,0
32,7D9C577E,0,1,1,0.266667,0,0,0,0
33,7DEAE6B7,0,3,3,1,0,0,0,0
34,78E60E03,1,1,2,1,1,0,0,0.000746
35,7E52B9DA,3,3,6,0.625,15,0,0,0.002239
36,7FB81A6D,5,2,7,0.292308,158.554762,0.00033,0.002973,0.008462
37,7A835936,0,3,3,1,0,0,0.001326,0
38,7BBBEA86,0,12,12,0.268246,0,0,0.004355,0
39,8023BB8D,0,1,1,0.411765,0,0,0.00032,0
40,80D69D20,23,7,30,0.244493,4934.13658,0.000411,0.000429,0.020874
41,7EB293D1,0,5,5,0.404943,0,0,0.001042,0
42,5A8F318C,0,1,1,0.318182,0,0,0,0
43,71AAD2F4,2,0,2,0,0,0.00002,0,0.001564
44,7D2B770D,1,0,1,0,0,0.000001,0,0.000746
45,7CF7F140,0,1,1,1,0,0,0.000321,0
46,5977E34C,1,0,1,0,0,0.000034,0,0.000746
47,76FB9E43,0,1,1,0.368421,0,0,0.000095,0
48,7A10D5B1,0,7,7,0.329825,0,0,0.00151,0
49,7F13DCEC,2,10,12,0.316597,156.166667,0.000147,0.004598,0.001558
50,78D1AB07,1,0,1,0,0,0.001967,0,0.007496
51,6092E681,0,1,1,1,0,0,0.000002,0
52,764AEF98,0,9,9,0.313808,0,0,0.02975,0
53,75507D11,0,1,1,1,0,0,0,0
54,7EBC5979,0,1,1,0.6,0,0,0.000003,0
55,7E4FEFD3,1,4,5,0.291667,17.5,0.000019,0.030084,0.000871
56,80DBDB12,3,6,9,0.8,647.303139,0.003312,0.032113,0.008989
57,7ED0BE26,2,7,9,0.254364,193.916667,0.000053,0.001568,0.00162
58,8076287D,0,1,1,1,0,0,0.001391,0
59,5C504764,0,8,8,0.423077,0,0,0.00499,0
