7DE66AA2	5FFC6186 704F9A0B 7DDE4170 7E5BCEA1 80DCEB0B 7CEA8C2F 6F4B61AE 80BB4AA9 7E3E0BA5 7FE37086 7812615D 81BCA1C2 805628BD 737B17DB
58330F00	5E38CC31 5BBF19D1 7E3EC119 5C42AAAF 7FDE1A1F 5D0564BA 5AA5E72E
7DC6D5A5	7F2F1214 004FEAD7 6D650F20 7EA703CB 5AC97ED6 7DB20E6E 080BD72E 5866EF99 6AADD4C5 5F087905 5DA4D743 7ED2629A 78AC0104
7985B229	7560848C
7F086564	750BAA16 7785DF1C 7FDA76F3 7EC51143 8002D933 80D1E3E7 0A9F8855 7D01E1FB 7F57CF47 62E3E5FA 5E82299F 784F970D 79CF3221 7CC07684 78AC0104 75B56323 80DA9D2E 7ED2629A 8000B275 8037ED87 812A5476 8057A35B 80C2AFB4 59755BD8 7DF576B8 7EC8B8E4 5CB06647 7FAFC9D5 7F5B3A76 812E8A86
7E074256	7C44F4BA 7D3D811B 017134AD 7B3CC1C9 75EBEA78 7933F72F 76E41529 7E614125 775BD0A2 79F192F3
772BFED3	7CE10ADC 75B35BB5 80F5A0BE 75B12FB9
7F786111	7A8049D2 7EEF99F4 0736598A 5835D16F 7ACEB37A 7CEAF6EF 7DAEA7E3 5DB52021 763C4655 7F5D15FB 5CE86D68 75C8D07B 79DC11FC 7602567E 5D51A3A8 7D9D95F4 758340F0 7E8EA430 803F03F6 8110670A 7FCCCBB3 7576667A 7E4C87CC
7B6E8358	7812615D 7C013B7E 7E3E0BA5 794398C9 59A9A1A7 7DB6CB3D 7FB3ABDE 798E45B4 7A39A21B 7D05F951 815003FB 7CF0EB54 7F772360 7C9A1796 750D6368 7A8AB444 7C354D4E 80B3C828 6FF10E4E
7E9D1D46	76CDA486 5FB5477E 768EAE83 8010EE03 7F22C203 68799076 7F8623A7 7E81E0B9
7E441B27	7560848C 61BD4AF1 7D26E523 8162B29E 7B515C2A 5ABDC04E 7A1F8977 7F624B57 5D51A3A8 77F22535 7DB6CB3D
