Id,Label,indegree,outdegree,Degree,closnesscentrality,betweenesscentrality,Authority,Hub,eigencentrality
0,7FE7C6FB,0,1,1,1,0,0,0,0
1,596BB690,5,5,10,0.224344,415.434964,0.000627,0.000264,0.002823
2,7DD5B89C,0,1,1,1,0,0,0,0
3,5CAB231D,0,1,1,1,0,0,0,0
4,047FDF15,3,0,3,0,0,0.000008,0,0.001542
5,7D81335C,1,0,1,0,0,0.000004,0,0.000514
6,06C818F9,0,8,8,0.335793,0,0,0.000614,0
7,7BC1BCB9,24,1,25,1,7682.3,0.001887,0.000061,0.014271
8,628A88E4,0,1,1,0.284672,0,0,0.000103,0
9,7C9F67C1,1,0,1,0,0,0,0,0.000514
10,7DA775A5,3,1,4,1,3,0,0.000001,0.001542
11,7D2085CB,0,1,1,1,0,0,0,0
12,7949A997,4,0,4,0,0,0.000015,0,0.002083
13,814BCA95,11,0,11,0,0,0.000021,0,0.005815
14,817049A7,0,1,1,1,0,0,0,0
15,7DBD8438,0,1,1,1,0,0,0,0
16,7E296183,0,2,2,0.198276,0,0,0.000006,0
17,0705200B,0,1,1,0.454545,0,0,0.000013,0
18,7C46D28A,1,0,1,0,0,0.000003,0,0.000514
19,7EFC9217,0,1,1,1,0,0,0.000026,0
20,794B6F05,2,0,2,0,0,0.000036,0,0.001028
21,77A01D46,9,13,22,0.293594,3012.338175,0.000364,0.001549,0.00624
22,80BA814E,0,2,2,0.261563,0,0,0.022693,0
23,7A5B883A,0,1,1,1,0,0,0,0
24,80E0C9CB,1,0,1,0,0,0,0,0.000514
25,7F3129C8,6,1,7,1,26,0.000552,0.000013,0.003658
26,7DCEB9A7,0,4,4,0.219247,0,0,0.000219,0
27,75810D92,0,1,1,1,0,0,0,0
28,801C46CD,0,1,1,0.195965,0,0,0.000006,0
29,77D941A1,0,1,1,1,0,0,0,0
30,7D2822B7,0,1,1,1,0,0,0,0
31,79ECFD06,0,1,1,1,0,0,0,0
32,7CF2D65B,0,1,1,1,0,0,0,0
33,7D087FEE,0,1,1,1,0,0,0,0
34,752106B7,1,6,7,0.278409,57.687092,0.000553,0.000429,0.000514
35,75D71633,0,4,4,0.197302,0,0,0,0
36,815D8BDD,1,7,8,0.75,9,0,0.000016,0.000514
37,7704A7C9,0,2,2,0.5,0,0,0.000233,0
38,80161CAB,0,2,2,0.266667,0,0,0.022804,0
39,7EB2581B,1,0,1,0,0,0.000005,0,0.000514
40,0CEDBD15,4,4,8,0.35443,79.142857,0.000706,0.000353,0.00211
41,5D457066,1,2,3,0.264286,1,0.000012,0.000018,0.000541
42,80FA0226,2,3,5,0.278132,528.370996,0.000041,0.000119,0.001437
43,7BABA78F,1,0,1,0,0,0,0,0.000514
44,7DEB99AE,0,1,1,1,0,0,0.000001,0
45,7F5B5059,1,0,1,0,0,0,0,0.000514
46,7D217A0E,1,0,1,0,0,0.000005,0,0.000514
47,7FF5A541,0,4,4,0.358974,0,0,0.000217,0
48,7D2A642F,0,2,2,0.184615,0,0,0,0
49,7A414636,1,4,5,0.232461,7.033333,0.000094,0.001495,0.000568
50,80F9257F,1,0,1,0,0,0,0,0.000514
51,7E868789,0,1,1,1,0,0,0,0
52,812E78B6,2,0,2,0,0,0.000019,0,0.001147
53,7E683BCE,2,1,3,1,1,0.000012,0,0.001083
54,7D314681,0,5,5,0.365385,0,0,0.000046,0
55,815A2F7E,0,4,4,0.391667,0,0,0.000695,0
56,5972B4EB,0,4,4,0.263911,0,0,0.02291,0
57,7D5709C4,1,0,1,0,0,0,0,0.000514
58,814564A5,0,2,2,0.75,0,0,0.000045,0
59,814D97BD,0,1,1,0.444444,0,0,0,0
60,70A50BE0,3,7,10,0.317961,235.65303,0.000539,0.000695,0.001569
61,7C15EDCA,0,2,2,0.220809,0,0,0.000368,0
62,7EEC5C7C,0,5,5,0.4,0,0,0.000058,0
63,0B5669A2,0,1,1,0.265625,0,0,0.000026,0
64,7D0DB225,0,2,2,0.350877,0,0,0.002904,0
65,79D3FAC5,0,2,2,0.19627,0,0,0.000029,0
66,7EE9EC21,0,1,1,0.26455,0,0,0.000469,0
67,7F6612DD,0,2,2,0.75,0,0,0,0
68,80C34A5E,0,1,1,1,0,0,0,0
69,7E9BC424,2,1,3,1,2,0.000021,0,0.001028
70,804C8110,0,1,1,1,0,0,0,0
71,7F293378,1,0,1,0,0,0,0,0.000514
72,7C07A1D9,1,0,1,0,0,0,0,0.000514
73,0338A913,0,5,5,0.408451,0,0,0.000743,0
74,769A5B2D,0,1,1,0.229323,0,0,0,0
75,5C53A8A3,61,1,62,0.454545,1016.042507,0.004548,0.000206,0.043228
76,7D21B6F2,0,6,6,0.182314,0,0,0.000044,0
77,7D6EA76E,0,2,2,1,0,0,0.000479,0
78,01B27CCE,1,0,1,0,0,0.000019,0,0.000789
79,7D2AE564,2,2,4,0.327189,140,0,0.00013,0.001028
80,7C16EA68,0,2,2,0.257496,0,0,0.00009,0
81,7FF1AC52,0,2,2,1,0,0,0.000045,0
82,8132FBA8,0,1,1,0.666667,0,0,0,0
83,7CF6A9CE,0,1,1,1,0,0,0,0
84,5E8EED1D,0,1,1,0.298701,0,0,0.000018,0
85,585134CE,0,2,2,0.625,0,0,0.000072,0
86,7E2D2896,1,3,4,0.240385,1.428571,0,0.000003,0.000514
87,7F74552B,1,1,2,0.666667,0,0.000023,0.000001,0.000541
88,793E921A,5,4,9,1,36.333333,0.000081,0.000614,0.002652
89,7E58361C,1,1,2,0.48,24,0,0.000107,0.000541
90,7A99BABF,3,0,3,0,0,0.000005,0,0.001596
91,7E6616E4,0,1,1,0.257862,0,0,0.000025,0
92,7DA7539D,5,6,11,0.247899,386.935714,0.000023,0.001513,0.002624
93,7824527E,1,3,4,0.244318,25.0625,0.000008,0.000421,0.000514
94,80673CA3,0,1,1,1,0,0,0,0
95,7E83BABF,0,1,1,1,0,0,0,0
96,7E8A8570,0,1,1,0.555556,0,0,0,0
97,7E6D4505,0,1,1,1,0,0,0,0
98,788D0334,1,12,13,0.290323,100,0.000013,0.000736,0.000514
99,8093AABD,5,2,7,0.355932,33.55119,0.001237,0.00295,0.002689
100,814D7870,0,3,3,0.249064,0,0,0.000553,0
101,751013DC,1,9,10,0.27833,49.441373,0.000003,0.000677,0.000678
102,7DE5D6E1,6,4,10,0.379747,6351.663889,0.000636,0.000372,0.003871
103,7D91756D,0,1,1,1,0,0,0.000051,0
104,5F568DB2,30,0,30,0,0,0.002467,0,0.024695
105,7D06549A,0,1,1,0.5,0,0,0,0
106,79833844,0,1,1,0.411765,0,0,0,0
107,7EEDFD02,1,0,1,0,0,0,0,0.000514
108,7E5B1279,1,2,3,0.75,2.5,0,0,0.000514
109,7F6B15D5,1,3,4,0.5,7,0,0,0.000514
110,7D2D2480,19,2,21,1,157.083333,0.000094,0.000001,0.011659
111,80757A6A,1,0,1,0,0,0,0,0.000514
112,5EA66F7C,0,1,1,0.223131,0,0,0.000001,0
113,79CF6024,0,12,12,0.256714,0,0,0.000348,0
114,7FC8EC59,19,1,20,1,18.268994,0.002121,0.00085,0.013211
115,77B0AB33,4,0,4,0,0,0.000012,0,0.002315
116,59A69D32,2,1,3,0.202733,91,0.000002,0.00003,0.001055
117,8061C9EB,1,0,1,0,0,0,0,0.000543
118,79F7A7DC,5,5,10,0.191993,2415.779212,0.000032,0.003105,0.002663
119,7FCD8E66,0,1,1,1,0,0,0,0
